t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,217,0,35,0.1389,1.0,0.0,1.0,1.0,1.0,0.1389,0.2439,0.8046,0.4099
0.01,0,216,0,35,0.1394,1.0,0.0,1.0,1.0,1.0,0.1394,0.2448,0.8046,0.4099
0.02,73,143,0,35,0.4303,1.0,0.338,1.0,0.662,1.0,0.1966,0.3286,0.8046,0.4099
0.03,79,137,0,35,0.4542,1.0,0.3657,1.0,0.6343,1.0,0.2035,0.3382,0.8046,0.4099
0.04,103,113,0,34,0.548,1.0,0.4769,1.0,0.5231,1.0,0.2313,0.3757,0.8046,0.4099
0.05,110,106,0,34,0.576,1.0,0.5093,1.0,0.4907,1.0,0.2429,0.3908,0.8046,0.4099
0.06,114,102,1,33,0.588,0.9706,0.5278,0.9706,0.4722,0.9706,0.2444,0.3905,0.8046,0.4099
0.07,116,100,1,33,0.596,0.9706,0.537,0.9706,0.463,0.9706,0.2481,0.3952,0.8046,0.4099
0.08,118,98,1,33,0.604,0.9706,0.5463,0.9706,0.4537,0.9706,0.2519,0.4,0.8046,0.4099
0.09,122,94,1,33,0.62,0.9706,0.5648,0.9706,0.4352,0.9706,0.2598,0.4099,0.8046,0.4099
0.1,123,93,3,31,0.616,0.9118,0.5694,0.9118,0.4306,0.9118,0.25,0.3924,0.8046,0.4099
0.11,126,90,5,29,0.62,0.8529,0.5833,0.8529,0.4167,0.8529,0.2437,0.3791,0.8046,0.4099
0.12,131,85,7,27,0.632,0.7941,0.6065,0.7941,0.3935,0.7941,0.2411,0.3699,0.8046,0.4099
0.13,139,77,8,26,0.66,0.7647,0.6435,0.7647,0.3565,0.7647,0.2524,0.3796,0.8046,0.4099
0.14,142,74,8,26,0.672,0.7647,0.6574,0.7647,0.3426,0.7647,0.26,0.3881,0.8046,0.4099
0.15,145,71,9,25,0.68,0.7353,0.6713,0.7353,0.3287,0.7353,0.2604,0.3846,0.8046,0.4099
0.16,150,66,11,23,0.692,0.6765,0.6944,0.6765,0.3056,0.6765,0.2584,0.374,0.8046,0.4099
0.17,155,61,12,22,0.708,0.6471,0.7176,0.6471,0.2824,0.6471,0.2651,0.3761,0.8046,0.4099
0.18,169,47,14,20,0.756,0.5882,0.7824,0.5882,0.2176,0.5882,0.2985,0.396,0.8046,0.4099
0.19,175,41,15,19,0.776,0.5588,0.8102,0.5588,0.1898,0.5588,0.3167,0.4043,0.8046,0.4099
0.2,181,35,18,16,0.788,0.4706,0.838,0.4706,0.162,0.4706,0.3137,0.3765,0.8046,0.4099
0.21,183,33,18,16,0.796,0.4706,0.8472,0.4706,0.1528,0.4706,0.3265,0.3855,0.8046,0.4099
0.22,188,28,19,15,0.812,0.4412,0.8704,0.4412,0.1296,0.4412,0.3488,0.3896,0.8046,0.4099
0.23,190,26,21,13,0.812,0.3824,0.8796,0.3824,0.1204,0.3824,0.3333,0.3562,0.8046,0.4099
0.24,193,23,21,13,0.824,0.3824,0.8935,0.3824,0.1065,0.3824,0.3611,0.3714,0.8046,0.4099
0.25,194,22,22,12,0.824,0.3529,0.8981,0.3529,0.1019,0.3529,0.3529,0.3529,0.8046,0.4099
0.26,199,17,22,12,0.844,0.3529,0.9213,0.3529,0.0787,0.3529,0.4138,0.381,0.8046,0.4099
0.27,201,15,22,12,0.852,0.3529,0.9306,0.3529,0.0694,0.3529,0.4444,0.3934,0.8046,0.4099
0.28,202,14,22,12,0.856,0.3529,0.9352,0.3529,0.0648,0.3529,0.4615,0.4,0.8046,0.4099
0.29,202,14,22,12,0.856,0.3529,0.9352,0.3529,0.0648,0.3529,0.4615,0.4,0.8046,0.4099
0.3,206,10,23,11,0.868,0.3235,0.9537,0.3235,0.0463,0.3235,0.5238,0.4,0.8046,0.4099
0.31,208,8,27,7,0.86,0.2059,0.963,0.2059,0.037,0.2059,0.4667,0.2857,0.8046,0.4099
0.32,211,5,27,7,0.872,0.2059,0.9769,0.2059,0.0231,0.2059,0.5833,0.3043,0.8046,0.4099
0.33,212,4,29,5,0.868,0.1471,0.9815,0.1471,0.0185,0.1471,0.5556,0.2326,0.8046,0.4099
0.34,214,2,29,5,0.876,0.1471,0.9907,0.1471,0.0093,0.1471,0.7143,0.2439,0.8046,0.4099
0.35,215,1,30,4,0.876,0.1176,0.9954,0.1176,0.0046,0.1176,0.8,0.2051,0.8046,0.4099
0.36,216,0,31,3,0.876,0.0882,1.0,0.0882,0.0,0.0882,1.0,0.1622,0.8046,0.4099
0.37,216,0,32,2,0.872,0.0588,1.0,0.0588,0.0,0.0588,1.0,0.1111,0.8046,0.4099
0.38,216,0,32,2,0.872,0.0588,1.0,0.0588,0.0,0.0588,1.0,0.1111,0.8046,0.4099
0.39,216,0,32,2,0.872,0.0588,1.0,0.0588,0.0,0.0588,1.0,0.1111,0.8046,0.4099
0.4,216,0,33,1,0.868,0.0294,1.0,0.0294,0.0,0.0294,1.0,0.0571,0.8046,0.4099
0.41,216,0,34,0,0.864,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.42,216,0,34,0,0.864,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.43,216,0,35,0,0.8606,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.44,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.45,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.46,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.47,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.48,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.49,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.5,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.51,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.52,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.53,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.54,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.55,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.56,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.57,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.58,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.59,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.6,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.61,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.62,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.63,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.64,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.65,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.66,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.67,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.68,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.69,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.7,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.71,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.72,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.73,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.74,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.75,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.76,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.77,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.78,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.79,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.8,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.81,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.82,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.83,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.84,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.85,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.86,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.87,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.88,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.89,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.9,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.91,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.92,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.93,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.94,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.95,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.96,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.97,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.98,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
0.99,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
1.0,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
1.01,217,0,35,0,0.8611,0.0,1.0,0.0,0.0,0.0,0.0,,0.8046,0.4099
