,ROC-AUC,F-max
root:12M,0.7619,0.5041
root:3Y,0.6242,0.3043
root:4M,0.8384,0.6609
root:5Y,0.7786,0.4421
root:B,0.7823,0.3038
root:M,0.7528,0.4651
root:12M:C,0.5219,0.0109
root:12M:V,0.7642,0.5792
root:3Y:C,0.361,0.0102
root:3Y:V,0.7734,0.4833
root:4M:C,0.992,0.5
root:4M:V,0.6425,0.56
root:5Y:C,0.882,0.0351
root:5Y:V,0.6901,0.4655
root:B:V,0.5497,0.2545
