,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2795,0.4467,0.7564
1,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2795,0.4467,0.7564
2,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2795,0.4467,0.7564
3,0.1642,1.0,0.0008,1.0,0.9992,1.0,0.1637,0.2792,0.4467,0.7564
4,0.1672,1.0,0.0042,1.0,0.9958,1.0,0.1646,0.2803,0.4467,0.7564
5,0.1792,1.0,0.0183,1.0,0.9817,1.0,0.1664,0.283,0.4467,0.7564
6,0.2673,0.9905,0.1228,0.9905,0.8772,0.9905,0.1784,0.3006,0.4467,0.7564
7,0.3329,0.9905,0.2004,0.9905,0.7996,0.9905,0.1937,0.3222,0.4467,0.7564
8,0.4094,0.9501,0.2969,0.9501,0.7031,0.9501,0.2071,0.339,0.4467,0.7564
9,0.4746,0.903,0.3822,0.903,0.6178,0.903,0.2233,0.3559,0.4467,0.7564
10,0.498,0.8778,0.4163,0.8778,0.5837,0.8778,0.2299,0.3612,0.4467,0.7564
11,0.5187,0.8525,0.4462,0.8525,0.5538,0.8525,0.2354,0.3645,0.4467,0.7564
12,0.5368,0.8378,0.4702,0.8378,0.5298,0.8378,0.2423,0.3704,0.4467,0.7564
13,0.575,0.7848,0.5192,0.7848,0.4808,0.7848,0.2836,0.3771,0.4467,0.7564
14,0.5863,0.7778,0.5347,0.7778,0.4653,0.7778,0.2947,0.3827,0.4467,0.7564
15,0.5991,0.76,0.5537,0.76,0.4463,0.76,0.2901,0.3774,0.4467,0.7564
16,0.6312,0.7257,0.599,0.7257,0.401,0.7257,0.3011,0.3858,0.4467,0.7564
17,0.6613,0.6538,0.6502,0.6538,0.3498,0.6538,0.3051,0.3813,0.4467,0.7564
18,0.6948,0.6048,0.7003,0.6048,0.2997,0.6048,0.3361,0.3899,0.4467,0.7564
19,0.7242,0.5771,0.7415,0.5771,0.2585,0.5771,0.3661,0.4008,0.4467,0.7564
20,0.7537,0.5387,0.784,0.5387,0.216,0.5387,0.3828,0.4059,0.4467,0.7564
21,0.7751,0.5131,0.8144,0.5131,0.1856,0.5131,0.395,0.4096,0.4467,0.7564
22,0.7872,0.4932,0.8329,0.4932,0.1671,0.4932,0.409,0.4119,0.4467,0.7564
23,0.7945,0.4851,0.8436,0.4851,0.1564,0.4851,0.4185,0.4148,0.4467,0.7564
24,0.8099,0.4819,0.863,0.4819,0.137,0.4819,0.4583,0.431,0.4467,0.7564
25,0.8146,0.4667,0.872,0.4667,0.128,0.4667,0.4647,0.4289,0.4467,0.7564
26,0.8199,0.4556,0.8808,0.4556,0.1192,0.4556,0.4734,0.4301,0.4467,0.7564
27,0.8226,0.419,0.8912,0.419,0.1088,0.419,0.4711,0.4102,0.4467,0.7564
28,0.8253,0.3755,0.9045,0.3755,0.0955,0.3755,0.5042,0.3742,0.4467,0.7564
29,0.8253,0.3755,0.9045,0.3755,0.0955,0.3755,0.5042,0.3742,0.4467,0.7564
30,0.8347,0.3344,0.924,0.3344,0.076,0.3344,0.5848,0.3566,0.4467,0.7564
31,0.834,0.3026,0.9288,0.3026,0.0712,0.3026,0.6128,0.333,0.4467,0.7564
32,0.8334,0.2652,0.9345,0.2652,0.0655,0.2652,0.4504,,0.4467,0.7564
33,0.8361,0.2552,0.9402,0.2552,0.0598,0.2552,0.4584,,0.4467,0.7564
34,0.8382,0.2321,0.9475,0.2321,0.0525,0.2321,0.4611,,0.4467,0.7564
35,0.8428,0.1997,0.9594,0.1997,0.0406,0.1997,0.4681,,0.4467,0.7564
36,0.8456,0.1626,0.9704,0.1626,0.0296,0.1626,0.4138,,0.4467,0.7564
37,0.847,0.1414,0.9759,0.1414,0.0241,0.1414,0.4016,,0.4467,0.7564
38,0.8537,0.1285,0.9864,0.1285,0.0136,0.1285,0.4433,,0.4467,0.7564
39,0.8498,0.1085,0.9872,0.1085,0.0127,0.1085,0.4432,,0.4467,0.7564
40,0.8466,0.0952,0.9872,0.0952,0.0127,0.0952,0.2752,,0.4467,0.7564
41,0.8467,0.0952,0.9872,0.0952,0.0127,0.0952,0.2752,,0.4467,0.7564
42,0.846,0.092,0.9872,0.092,0.0127,0.092,0.2738,,0.4467,0.7564
43,0.8462,0.092,0.9872,0.092,0.0127,0.092,0.2738,,0.4467,0.7564
44,0.8455,0.0889,0.9872,0.0889,0.0127,0.0889,0.2724,,0.4467,0.7564
45,0.8455,0.0889,0.9872,0.0889,0.0127,0.0889,0.2724,,0.4467,0.7564
46,0.8448,0.0857,0.9872,0.0857,0.0127,0.0857,0.2708,,0.4467,0.7564
47,0.8462,0.0857,0.989,0.0857,0.011,0.0857,0.2763,,0.4467,0.7564
48,0.8448,0.079,0.989,0.079,0.011,0.079,0.2748,,0.4467,0.7564
49,0.8448,0.0759,0.9898,0.0759,0.0102,0.0759,0.2762,,0.4467,0.7564
50,0.8448,0.0759,0.9898,0.0759,0.0102,0.0759,0.2762,,0.4467,0.7564
51,0.8415,0.0539,0.9915,0.0539,0.0085,0.0539,0.2692,,0.4467,0.7564
52,0.8371,0.0036,1.0,0.0036,0.0,0.0036,0.1667,,0.4467,0.7564
53,0.8371,0.0036,1.0,0.0036,0.0,0.0036,0.1667,,0.4467,0.7564
54,0.8371,0.0036,1.0,0.0036,0.0,0.0036,0.1667,,0.4467,0.7564
55,0.8371,0.0036,1.0,0.0036,0.0,0.0036,0.1667,,0.4467,0.7564
56,0.8371,0.0036,1.0,0.0036,0.0,0.0036,0.1667,,0.4467,0.7564
57,0.8371,0.0036,1.0,0.0036,0.0,0.0036,0.1667,,0.4467,0.7564
58,0.8371,0.0036,1.0,0.0036,0.0,0.0036,0.1667,,0.4467,0.7564
59,0.8371,0.0036,1.0,0.0036,0.0,0.0036,0.1667,,0.4467,0.7564
60,0.8371,0.0036,1.0,0.0036,0.0,0.0036,0.1667,,0.4467,0.7564
61,0.8359,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
62,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
63,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
64,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
65,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
66,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
67,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
68,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
69,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
70,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
71,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
72,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
73,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
74,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
75,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
76,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
77,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
78,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
79,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
80,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
81,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
82,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
83,0.836,0.0,1.0,0.0,0.0,0.0,0.0,,0.4467,0.7564
