,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4281524,0.09984073,0.10020653,0.03599193,0.034774844,0.20880468,0.20586638,0.032789547,0.07443424,0.17334026,0.03395084
ERR4281525,0.114714146,0.06753383,0.046029765,0.04078582,0.17729118,0.24643813,0.049217515,0.1283756,0.08955436,0.040059697
ERR4281526,0.111977376,0.17289405,0.037793607,0.086748965,0.031523976,0.1101318,0.18561512,0.17894751,0.023356527,0.061011087
ERR4281527,0.1077807,0.0990619,0.036228597,0.024491312,0.25061345,0.16522293,0.030963892,0.06619112,0.1821487,0.037297357
ERR4281528,0.06939557,0.14131509,0.046171073,0.21286556,0.027212964,0.12634552,0.13095129,0.16446754,0.0150822485,0.06619312
ERR4281529,0.085365325,0.16010088,0.056523867,0.032754987,0.20245291,0.14052473,0.05840834,0.060346294,0.14768419,0.055838473
ERR4281530,0.0824046,0.15348159,0.05577715,0.15841672,0.04097111,0.106293954,0.14314567,0.15963416,0.01989302,0.07998203
ERR4281531,0.07895058,0.19721545,0.07546339,0.18816859,0.040080473,0.119878635,0.09391423,0.1111282,0.018086249,0.07711424
ERR4281532,0.107767664,0.09907744,0.036232717,0.024521202,0.25046033,0.16533662,0.030969262,0.0662226,0.18212634,0.03728579
ERR4281533,0.080411725,0.21168645,0.0842617,0.18037139,0.043604806,0.11683845,0.08551394,0.09945494,0.018702602,0.07915398
ERR4281534,0.1291952,0.26514012,0.025786186,0.046822317,0.046025746,0.08009638,0.16582192,0.12369043,0.057540562,0.05988114
ERR4281535,0.082570255,0.16816647,0.059129782,0.03365981,0.19627301,0.13704598,0.062456388,0.059326917,0.14323647,0.058135014
ERR4281536,0.07758199,0.20175381,0.096208625,0.1712148,0.053915765,0.103174224,0.09523626,0.100093514,0.023039008,0.077781975
ERR4281537,0.07259729,0.13818714,0.074349135,0.08684595,0.07707625,0.20402782,0.124058396,0.11770076,0.04767944,0.057477836
ERR4281538,0.07993728,0.12829484,0.097138405,0.043020494,0.14471228,0.07059897,0.18821526,0.1081508,0.084188275,0.05574346
ERR4281539,0.07607356,0.12634772,0.08310682,0.059118718,0.11975876,0.18306744,0.118161656,0.106350735,0.0602423,0.0677723
ERR4281540,0.09040862,0.14185934,0.0574656,0.03593057,0.19598798,0.15868227,0.060941987,0.071505725,0.13219438,0.0550236
ERR4281541,0.1148644,0.06887742,0.045750547,0.04008712,0.1805522,0.24333404,0.048466388,0.12538657,0.09258655,0.040094852
ERR4281542,0.067810066,0.13435438,0.042961035,0.21515699,0.025674142,0.12651832,0.13609517,0.17232816,0.014627141,0.06447461
ERR4281543,0.08046124,0.21121395,0.08439261,0.18015641,0.043784227,0.11658198,0.08577117,0.09978218,0.018784305,0.079071924
ERR4281544,0.06725798,0.16550559,0.12115012,0.14907275,0.08397816,0.073980585,0.12743303,0.10420714,0.03670868,0.070706025
ERR4281545,0.10129024,0.086381756,0.058457214,0.047967058,0.15700072,0.22741517,0.06942595,0.12352179,0.07892367,0.04961644
ERR4281546,0.072629414,0.13516213,0.043145016,0.19343331,0.028387954,0.11975621,0.14435998,0.17806497,0.015520234,0.06954083
ERR4281547,0.10458667,0.099825166,0.036226775,0.02854455,0.23238249,0.18208547,0.031820975,0.06980219,0.17880397,0.035921745
