,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4281524,0.1742729,0.099690884,0.45798996,0.06744898,0.108478285,0.09211903
ERR4281525,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281526,0.157816,0.23284422,0.11401982,0.25909975,0.07146651,0.16475375
ERR4281527,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281528,0.1318644,0.15853755,0.10204733,0.39962563,0.051129412,0.15679567
ERR4281529,0.09872399,0.2460892,0.21337797,0.07882439,0.21180436,0.15118015
ERR4281530,0.07043198,0.39179894,0.05798677,0.20881724,0.039324116,0.23164092
ERR4281531,0.25203633,0.28683296,0.15082213,0.10862072,0.07925187,0.12243596
ERR4281532,0.1743429,0.09949407,0.4586113,0.06735934,0.10822639,0.09196596
ERR4281533,0.31354094,0.2701614,0.17957172,0.056571662,0.06851438,0.11164003
ERR4281534,0.15421402,0.18296324,0.11485122,0.33890548,0.05896903,0.15009698
ERR4281535,0.098649934,0.24618846,0.21328536,0.07876391,0.21164759,0.15146476
ERR4281536,0.20993362,0.25385278,0.13820215,0.18822834,0.07717886,0.13260429
ERR4281537,0.11866664,0.1535681,0.09243747,0.4247498,0.04891757,0.16166046
ERR4281538,0.09752814,0.2476557,0.21187477,0.077855624,0.20926279,0.15582292
ERR4281539,0.07601238,0.26641518,0.18038182,0.060383044,0.1635612,0.25324643
ERR4281540,0.09885416,0.24590538,0.21355759,0.07892189,0.21204077,0.15072021
ERR4281541,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281542,0.14680548,0.18011837,0.10992801,0.35338172,0.058025464,0.1517409
ERR4281543,0.25898248,0.28739786,0.15344335,0.10025722,0.07817857,0.12174045
ERR4281544,0.12430494,0.14824687,0.09775311,0.4228488,0.04776647,0.15907978
ERR4281545,0.099454895,0.24465376,0.21517116,0.07896825,0.21134396,0.15040796
ERR4281546,0.12346339,0.14885688,0.097814605,0.42205507,0.046994127,0.1608159
ERR4281547,0.17426205,0.09964016,0.45828965,0.06739533,0.10835874,0.09205407
ERR4281548,0.12235223,0.24888259,0.09879831,0.28584877,0.04468444,0.19943367
ERR4281549,0.18734288,0.10699623,0.44062614,0.066684015,0.10460285,0.09374789
ERR4281550,0.06753503,0.2682557,0.16585894,0.053548686,0.14547753,0.2993241
ERR4281551,0.06742771,0.26825228,0.16566712,0.053462315,0.14524877,0.29994175
ERR4281552,0.04597152,0.16617778,0.16825087,0.30701098,0.09849467,0.21409416
ERR4281553,0.17435941,0.09945261,0.45869943,0.06735104,0.108194776,0.09194278
ERR4281554,0.07044719,0.42460862,0.040434312,0.19205654,0.027462438,0.24499096
ERR4281555,0.2905788,0.24458437,0.21174602,0.06095072,0.07788881,0.11425127
ERR4281556,0.102354564,0.2386401,0.22303554,0.07915024,0.20790152,0.14891799
ERR4281557,0.17435604,0.09945977,0.4586805,0.06735348,0.10820252,0.091947645
ERR4281558,0.1743606,0.09945008,0.45870715,0.067349866,0.108191445,0.09194081
ERR4281559,0.0825774,0.12231714,0.15671344,0.37092498,0.08722028,0.18024671
ERR4281560,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281561,0.3397558,0.21240704,0.23172441,0.051313266,0.0636121,0.10118743
ERR4281562,0.2737419,0.27837613,0.16652097,0.08397049,0.0760899,0.121300586
ERR4281563,0.17404814,0.10005087,0.4574057,0.06748903,0.108711496,0.09229486
ERR4281564,0.17437577,0.0994644,0.4586736,0.067350045,0.1081903,0.09194591
ERR4281565,0.17435847,0.09945456,0.45869437,0.067351684,0.10819685,0.09194408
ERR4281566,0.07832452,0.26523542,0.18411879,0.062255118,0.16850102,0.24156515
ERR4281567,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281568,0.096958324,0.24840085,0.21114184,0.077383,0.20806566,0.15805036
ERR4281569,0.07566388,0.26652613,0.17979984,0.060102925,0.16282354,0.25508377
ERR4281570,0.14891526,0.14771451,0.36360833,0.07554438,0.14721434,0.11700319
ERR4281571,0.16463946,0.2415708,0.14421767,0.19573648,0.08818143,0.16565412
ERR4281572,0.17435865,0.099454075,0.45869848,0.06735078,0.10819483,0.09194316
ERR4281573,0.18001072,0.22177573,0.12607007,0.26116338,0.070226,0.14075404
ERR4281574,0.098697014,0.24612539,0.21334422,0.07880236,0.21174723,0.15128374
ERR4281575,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281576,0.10823052,0.23260076,0.23262975,0.07916993,0.20051125,0.14685783
ERR4281577,0.14030659,0.31686917,0.1523732,0.08987018,0.14213297,0.15844795
ERR4281578,0.17426683,0.09963058,0.45831314,0.06739245,0.10834913,0.09204787
ERR4281579,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281580,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281581,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281582,0.17436033,0.09945065,0.4587045,0.067350365,0.10819267,0.09194146
ERR4281583,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281584,0.14164819,0.18127173,0.10596002,0.35991135,0.058204938,0.15300374
ERR4281585,0.17431335,0.09960205,0.45837423,0.067380704,0.10830392,0.092025705
ERR4281586,0.17436202,0.09944719,0.45871347,0.067349195,0.10818896,0.091939114
ERR4281587,0.19633025,0.25402847,0.13059641,0.20812097,0.07880762,0.13211626
ERR4281588,0.13708979,0.17002039,0.32505447,0.07766088,0.16363242,0.12654206
ERR4281589,0.11041941,0.17843467,0.08981677,0.39675474,0.049655214,0.17491917
ERR4281590,0.09875752,0.24604422,0.21341984,0.07885178,0.21187532,0.15105133
ERR4281591,0.22591753,0.2525102,0.14828828,0.16419755,0.07529795,0.13378847
ERR4281592,0.17428607,0.1001082,0.45725295,0.06746476,0.10859955,0.09228847
ERR4281593,0.17436212,0.099447064,0.45871377,0.06734918,0.10818882,0.09193903
ERR4281594,0.17432109,0.0996379,0.4582937,0.06738531,0.108319044,0.092042886
ERR4281595,0.063869014,0.26795983,0.1592263,0.050600532,0.13764575,0.32069856
ERR4281596,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281597,0.22275384,0.27612182,0.14040568,0.15301266,0.0816327,0.12607324
ERR4281598,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281599,0.06358035,0.2675319,0.15881115,0.050278373,0.13694346,0.32285476
ERR4281600,0.31622094,0.2738953,0.17541926,0.05588388,0.067411065,0.111169554
ERR4281601,0.17429537,0.0996186,0.45821485,0.067417495,0.10838976,0.092063956
ERR4281602,0.09865643,0.24617973,0.21329346,0.07876921,0.21166132,0.15143976
ERR4281603,0.070122354,0.39385116,0.05712486,0.20807673,0.039024364,0.2318006
ERR4281604,0.11833573,0.14930317,0.09282065,0.43034345,0.04768963,0.16150743
ERR4281605,0.2818278,0.28595778,0.16274565,0.0765917,0.07445888,0.11841826
ERR4281606,0.13970259,0.15380707,0.108981274,0.39244717,0.04999196,0.15506998
ERR4281607,0.17569229,0.10094453,0.45524472,0.067400016,0.10821462,0.09250379
ERR4281608,0.17436258,0.09944602,0.45871603,0.06734893,0.10818797,0.09193841
ERR4281609,0.098686315,0.24613972,0.21333085,0.07879361,0.21172458,0.1513249
ERR4281610,0.09905073,0.24549858,0.21407977,0.07894006,0.21182534,0.15060557
ERR4281611,0.06336748,0.26762733,0.1583907,0.05013279,0.1365096,0.32397214
ERR4281612,0.13534534,0.1561576,0.10513727,0.39694136,0.05057034,0.15584813
ERR4281613,0.0633331,0.2678589,0.15823905,0.050169975,0.13650033,0.32389864
ERR4281614,0.17431042,0.099574484,0.45834905,0.067398794,0.10833638,0.09203086
ERR4281615,0.063333146,0.26785848,0.15823933,0.05016991,0.13650034,0.32389873
ERR4281616,0.09883821,0.24586967,0.21364214,0.078855,0.21176676,0.15102814
ERR4281617,0.11908994,0.15154725,0.094198145,0.4249416,0.04737197,0.16285114
ERR4281618,0.098846175,0.24592021,0.21353963,0.078919515,0.21204221,0.15073213
ERR4281619,0.09815445,0.24461696,0.21359545,0.07985378,0.20872352,0.15505585
ERR4281620,0.063754864,0.2679396,0.15901643,0.05050883,0.1374018,0.32137844
ERR4281621,0.17441075,0.0994964,0.45859846,0.067350276,0.10818708,0.09195711
ERR4281622,0.07244156,0.36039653,0.07731558,0.22109127,0.049719997,0.21903498
ERR4281623,0.17435694,0.099457026,0.458691,0.06735178,0.10819809,0.091945164
ERR4281624,0.0633334,0.26785675,0.15824047,0.05016962,0.13650042,0.32389933
ERR4281625,0.33097628,0.20162827,0.24772643,0.052680336,0.066028275,0.1009604
ERR4281626,0.32027447,0.27033842,0.17803572,0.054521948,0.06657589,0.11025345
ERR4281627,0.062604934,0.11007081,0.19741534,0.33301398,0.10564609,0.19124894
ERR4281628,0.17436245,0.09944627,0.45871547,0.067348994,0.10818819,0.09193857
ERR4281629,0.22478424,0.26508188,0.14383684,0.15820986,0.07837579,0.12971139
ERR4281630,0.09907838,0.24543454,0.2141654,0.07893633,0.21176705,0.15061834
ERR4281631,0.064072266,0.2679191,0.15961418,0.05075027,0.13806906,0.3195751
ERR4281632,0.29487115,0.27929166,0.1714523,0.06602118,0.072428204,0.1159356
ERR4281633,0.32594612,0.25657687,0.19024113,0.052775014,0.06605425,0.10840665
ERR4281634,0.14523906,0.15828979,0.11248342,0.37854898,0.05143984,0.15399896
ERR4281635,0.17436253,0.0994462,0.45871568,0.06734897,0.10818814,0.091938525
ERR4281636,0.09941986,0.24472822,0.21507496,0.078966655,0.21138953,0.15042076
ERR4281637,0.09025751,0.2732171,0.0846584,0.2957786,0.05053144,0.20555687
