,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4282283,0.09527517,0.174419,0.08261234,0.164254,0.044383045,0.11278727,0.117752954,0.11316062,0.031369526,0.06398609
ERR4282284,0.09514198,0.1725009,0.0818504,0.16521825,0.04354002,0.11306453,0.119541265,0.11438161,0.031075168,0.06368588
ERR4282285,0.095201746,0.17225818,0.08190057,0.1651605,0.043458156,0.11319193,0.11981207,0.11430602,0.031013591,0.06369725
ERR4282286,0.11124368,0.113692686,0.10242598,0.13101622,0.026562123,0.14958966,0.20400022,0.078423545,0.01672631,0.06631963
ERR4282287,0.095476344,0.17157206,0.08221388,0.16475023,0.043258857,0.11363333,0.12065892,0.11383718,0.03081021,0.063789025
ERR4282288,0.11237533,0.107768685,0.103991956,0.12663794,0.024961147,0.15272719,0.21508971,0.074883796,0.015513236,0.066050895
ERR4282289,0.09513002,0.1735244,0.08209533,0.16489929,0.04396274,0.11281364,0.118538745,0.11398427,0.031259164,0.06379234
ERR4282290,0.09719563,0.18518166,0.089641914,0.15547565,0.04981523,0.11257749,0.10860348,0.102504306,0.032545153,0.06645956
ERR4282291,0.099223025,0.18493979,0.09346363,0.15075499,0.05047024,0.11455688,0.10957328,0.09752264,0.03190515,0.067590386
ERR4282292,0.16690788,0.13792208,0.064078316,0.08024856,0.1453222,0.1758634,0.0309221,0.07516663,0.07026585,0.05330304
ERR4282293,0.045152865,0.043624997,0.03915227,0.031322844,0.120034054,0.05013866,0.058709033,0.15568675,0.44767848,0.008500035
ERR4282294,0.14305452,0.11674376,0.06446043,0.06598121,0.20525713,0.13053979,0.037124284,0.07039568,0.11404491,0.052398223
ERR4282295,0.12324949,0.1634889,0.10724374,0.10916322,0.088803045,0.14288239,0.07676956,0.07811641,0.038924098,0.07135913
ERR4282296,0.09563564,0.17097281,0.0823859,0.16457462,0.043062378,0.114001125,0.12132369,0.11356058,0.030652352,0.063830845
ERR4282297,0.08967069,0.058112938,0.09406677,0.060282804,0.23710163,0.23055571,0.036397092,0.054268662,0.09497151,0.04457225
ERR4282298,0.095137656,0.17309582,0.08199765,0.16502814,0.043785747,0.11292263,0.11895919,0.114142425,0.031181348,0.063749366
ERR4282299,0.12614293,0.10193956,0.062323984,0.057503004,0.2412923,0.106024705,0.040786702,0.06659906,0.14719686,0.050190885
ERR4282300,0.109949484,0.12830894,0.10569597,0.13371211,0.03228173,0.14490896,0.17733406,0.07977928,0.01970414,0.068325415
ERR4282301,0.09768011,0.18827869,0.09172677,0.15288273,0.051488407,0.112422116,0.10597624,0.09953114,0.032866716,0.06714709
ERR4282302,0.11586612,0.1585509,0.057799444,0.11025466,0.02213016,0.119999915,0.2218954,0.12872279,0.028045908,0.03673468
ERR4282303,0.11125537,0.19211474,0.094639845,0.13212821,0.070148274,0.12357296,0.08050152,0.08798865,0.03963384,0.06801666
ERR4282304,0.07472743,0.03482819,0.094717,0.047409892,0.26118287,0.23358586,0.05235843,0.041456744,0.11671833,0.043015283
