,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282799,0.059559133,0.07165577,0.17042962,0.41922113,0.11209076,0.16704366
ERR4282800,0.10383736,0.18748155,0.23717575,0.07063053,0.2744871,0.12638761
ERR4282801,0.025904732,0.12462876,0.048012517,0.06574274,0.10498643,0.63072485
ERR4282802,0.25604135,0.23037975,0.13247333,0.16432132,0.08307102,0.13371326
ERR4282803,0.17348552,0.07525357,0.51332814,0.050679736,0.1255681,0.06168494
ERR4282804,0.13787352,0.15321328,0.0738926,0.3959915,0.050389826,0.18863924
ERR4282805,0.3454608,0.21457575,0.21562701,0.048157167,0.08631944,0.08985982
ERR4282806,0.08126176,0.33456072,0.061299697,0.20424943,0.046615396,0.27201292
ERR4282807,0.3658379,0.23405346,0.18687081,0.045342624,0.078321315,0.08957393
ERR4282808,0.15427358,0.15224768,0.08392606,0.37875295,0.051286995,0.17951274
ERR4282809,0.18752857,0.1846076,0.099697426,0.30020544,0.06499425,0.16296674
ERR4282810,0.15954705,0.15548138,0.08674504,0.3684001,0.05272544,0.17710099
ERR4282811,0.16741209,0.085465245,0.48425186,0.053176228,0.14182049,0.067874074
ERR4282812,0.10361572,0.19541201,0.23262548,0.0614152,0.290017,0.11691455
ERR4282813,0.17211096,0.074741654,0.51490176,0.050685007,0.1260264,0.061534293
ERR4282814,0.19097668,0.18845217,0.10121292,0.2916579,0.06663004,0.16107029
ERR4282815,0.2810515,0.25961986,0.13995093,0.109564625,0.0933711,0.11644198
ERR4282816,0.37894288,0.21711087,0.20176315,0.042817757,0.07437661,0.08498869
ERR4282817,0.32424426,0.2600314,0.16039415,0.064330906,0.08884314,0.1021561
ERR4282818,0.41403016,0.17906086,0.23120008,0.039544877,0.062257297,0.07390673
ERR4282819,0.41177142,0.18532518,0.22460794,0.039673153,0.063274875,0.07534741
ERR4282820,0.14589241,0.15012835,0.07901099,0.3910814,0.050013334,0.18387352
ERR4282821,0.07736556,0.34918037,0.059850402,0.19226514,0.045708105,0.27563038
ERR4282822,0.13934103,0.15180571,0.07476245,0.39645165,0.050190967,0.1874482
ERR4282823,0.12183501,0.19875245,0.071706146,0.3394403,0.051175218,0.2170909
ERR4282824,0.07738424,0.34910974,0.059857488,0.19232205,0.045712568,0.2756139
ERR4282825,0.37851244,0.2064839,0.21440595,0.04275808,0.074536994,0.08330262
ERR4282826,0.21442261,0.21224153,0.11153471,0.23670311,0.07675214,0.14834586
ERR4282827,0.17213471,0.07470138,0.51501954,0.050674256,0.12596096,0.06150911
ERR4282828,0.26534033,0.24079004,0.13556544,0.14375748,0.08692994,0.1276168
ERR4282829,0.040495273,0.19491713,0.1301507,0.24027978,0.093532585,0.3006246
ERR4282830,0.25577953,0.21710362,0.13642275,0.17386955,0.0781418,0.1386828
ERR4282831,0.18265106,0.1805246,0.097347766,0.31091517,0.06323813,0.16532327
ERR4282832,0.17213492,0.074692525,0.5150457,0.05067231,0.12595043,0.061504085
ERR4282833,0.13340831,0.16102986,0.07171591,0.3886394,0.051338565,0.19386797
ERR4282834,0.1721394,0.074730195,0.5149342,0.050680112,0.12599109,0.061524935
ERR4282835,0.32011232,0.2524268,0.16346231,0.07060232,0.08837728,0.10501895
ERR4282836,0.1721301,0.07469952,0.515025,0.050674263,0.12596244,0.061508548
ERR4282837,0.18488424,0.18339258,0.0982883,0.3049594,0.06445161,0.16402386
ERR4282838,0.15877318,0.15396792,0.08646968,0.37084958,0.052061614,0.177878
ERR4282839,0.38269395,0.20452507,0.21501386,0.04227637,0.07309254,0.08239815
ERR4282840,0.17276065,0.07727932,0.5044505,0.05175237,0.13037412,0.06338315
ERR4282841,0.17214294,0.07468532,0.5150667,0.05067006,0.12593585,0.061499197
ERR4282842,0.13052802,0.17764191,0.07424709,0.36253563,0.05041723,0.2046301
ERR4282843,0.17196341,0.07507392,0.5139281,0.050769392,0.12652841,0.06173675
