,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4281524,0.22487362,0.34295446,0.08580013,0.016787238,0.10257211,0.058458336,0.013849208,0.04804617,0.070630476,0.036028244
ERR4281525,0.052091327,0.07668729,0.016428133,0.009833833,0.21679501,0.3937972,0.020731427,0.014178402,0.08151032,0.11794702
ERR4281526,0.12881254,0.0833615,0.16207218,0.13067213,0.03833444,0.01214183,0.1399592,0.25005096,0.035853457,0.018741746
ERR4281527,0.03636702,0.09232744,0.012184211,0.054809745,0.094267,0.1819632,0.019776022,0.02469686,0.31777984,0.16582865
ERR4281528,0.09470814,0.0607106,0.08864887,0.21635137,0.027535435,0.02318317,0.14175023,0.30207863,0.024991497,0.02004204
ERR4281529,0.04760511,0.07615956,0.02347313,0.01812401,0.10941648,0.053924188,0.014971694,0.011423292,0.47012728,0.17477527
ERR4281530,0.1460455,0.112730205,0.16278222,0.104534395,0.05471796,0.015797298,0.13293214,0.20709379,0.04402307,0.019343473
ERR4281531,0.040285602,0.39191914,0.028597578,0.10077093,0.026386594,0.2708172,0.019441726,0.0349173,0.01989971,0.06696429
ERR4281532,0.21465959,0.06762154,0.10053124,0.01994118,0.3484978,0.061650544,0.055355646,0.043610785,0.06500881,0.023122802
ERR4281533,0.042615023,0.36508593,0.028201928,0.10409041,0.0303329,0.26452896,0.018641999,0.034608092,0.031889584,0.08000513
ERR4281534,0.079396866,0.07413269,0.099741526,0.23136814,0.017175721,0.012958883,0.12120104,0.32967356,0.021313177,0.013038487
ERR4281535,0.047442637,0.07626904,0.02347965,0.018178644,0.109165244,0.053997334,0.014992678,0.011402956,0.47005978,0.17501199
ERR4281536,0.13281322,0.11939722,0.2969186,0.08646737,0.07075236,0.016889628,0.12171248,0.08630568,0.041116834,0.027626688
ERR4281537,0.31650558,0.16826454,0.14291056,0.11958456,0.051722888,0.010487753,0.031881224,0.041170467,0.05962861,0.057843875
ERR4281538,0.1127615,0.040903904,0.13450594,0.023934443,0.18385762,0.22787398,0.17864437,0.014385928,0.035078615,0.048053745
ERR4281539,0.13850284,0.091217354,0.31079245,0.039470673,0.07234746,0.059126265,0.20862488,0.024327109,0.019756652,0.03583434
ERR4281540,0.046534773,0.036909617,0.010858105,0.016414093,0.16414265,0.19416311,0.015192234,0.007214236,0.20686896,0.3017022
