sample_accession	run_accession	sample_alias
SAMEA7001179	ERR4281648	1219-M
SAMEA7001180	ERR4281649	1220-3Y
SAMEA7001181	ERR4281650	1220-4M
SAMEA7001182	ERR4281651	1220-5Y
SAMEA7001183	ERR4281652	1220-NB
SAMEA7001184	ERR4281653	1220-M
SAMEA7001185	ERR4281654	122-12M
SAMEA7001186	ERR4281655	1221-NB
SAMEA7001187	ERR4281656	1222-12M
SAMEA7001188	ERR4281657	1223-3Y
SAMEA7001189	ERR4281658	1223-4M
SAMEA7001190	ERR4281659	1223-5Y
SAMEA7001191	ERR4281660	1223-NB
SAMEA7001192	ERR4281661	1223-M
SAMEA7001193	ERR4281662	122-3Y
SAMEA7001194	ERR4281663	122-4M
SAMEA7001195	ERR4281664	122-5Y
SAMEA7001196	ERR4281665	1227-12M
SAMEA7001197	ERR4281666	1227-3Y
SAMEA7001198	ERR4281667	1227-4M
SAMEA7001199	ERR4281668	1227-NB
SAMEA7001200	ERR4281669	1227-M
SAMEA7001201	ERR4281670	122-M
SAMEA7001202	ERR4281671	1231-12M
SAMEA7001203	ERR4281672	123-12M
SAMEA7001204	ERR4281673	1231-NB
SAMEA7001205	ERR4281674	1231-M
SAMEA7001206	ERR4281675	1232-12M
SAMEA7001207	ERR4281676	1232-4M
SAMEA7001208	ERR4281677	123-3Y
SAMEA7001209	ERR4281678	1234-4M
SAMEA7001210	ERR4281679	1234-NB
SAMEA7001211	ERR4281680	123-4M
SAMEA7001212	ERR4281681	1234-M
SAMEA7001213	ERR4281682	1235-12M
SAMEA7001214	ERR4281683	1235-3Y
SAMEA7001215	ERR4281684	1235-4M
SAMEA7001216	ERR4281685	1235-5Y
SAMEA7001217	ERR4281686	1235-NB
SAMEA7001218	ERR4281687	1235-M
SAMEA7001219	ERR4281688	1237-3Y
SAMEA7001220	ERR4281689	1237-5Y
SAMEA7001221	ERR4281690	1237-NB
SAMEA7001222	ERR4281691	1237-M
SAMEA7001223	ERR4281692	1238-12M
SAMEA7001224	ERR4281693	1238-3Y
SAMEA7001225	ERR4281694	1238-4M
SAMEA7001226	ERR4281695	1238-5Y
SAMEA7001227	ERR4281696	1238-NB
SAMEA7001228	ERR4281697	1238-M
SAMEA7001229	ERR4281698	1239-12M
SAMEA7001230	ERR4281699	1239-3Y
SAMEA7001231	ERR4281700	1239-4M
SAMEA7001232	ERR4281701	1239-NB
SAMEA7001233	ERR4281702	1239-M
SAMEA7001234	ERR4281703	123-M
SAMEA7001235	ERR4281704	12-3Y
SAMEA7001236	ERR4281705	1242-3Y
SAMEA7001237	ERR4281706	1242-4M
SAMEA7001238	ERR4281707	1242-NB
SAMEA7001239	ERR4281708	1242-M
SAMEA7001240	ERR4281709	12-4M
SAMEA7001241	ERR4281710	12-5Y
SAMEA7001242	ERR4281711	127-12M
SAMEA7001243	ERR4281712	127-4M
SAMEA7001244	ERR4281713	127-NB
SAMEA7001245	ERR4281714	127-M
SAMEA7001246	ERR4281715	128-12M
SAMEA7001247	ERR4281716	128-3Y
SAMEA7001248	ERR4281717	128-4M
SAMEA7001249	ERR4281718	128-5Y
SAMEA7001250	ERR4281719	128-NB
SAMEA7001251	ERR4281720	128-M
SAMEA7001252	ERR4281721	12-NB
SAMEA7001253	ERR4281722	12-M
SAMEA7001254	ERR4281723	130-12M
SAMEA7001255	ERR4281724	130-3Y
SAMEA7001256	ERR4281725	130-4M
SAMEA7001257	ERR4281726	130-M
SAMEA7001258	ERR4281727	13-12M
SAMEA7001259	ERR4281728	132-12M
SAMEA7001260	ERR4281729	132-3Y
SAMEA7001261	ERR4281730	132-4M
SAMEA7001262	ERR4281731	132-NB
SAMEA7001263	ERR4281732	132-M
SAMEA7001264	ERR4281733	133-12M
SAMEA7001265	ERR4281734	133-4M
SAMEA7001266	ERR4281735	133-5Y
SAMEA7001267	ERR4281736	133-NB
SAMEA7001268	ERR4281737	133-M
SAMEA7001269	ERR4281738	13-4M
SAMEA7001270	ERR4281739	136-12M
SAMEA7001271	ERR4281740	136-4M
SAMEA7001272	ERR4281741	136-5Y
SAMEA7001273	ERR4281742	136-NB
SAMEA7001274	ERR4281743	136-M
SAMEA7001275	ERR4281744	137-12M
SAMEA7001276	ERR4281745	137-3Y
SAMEA7001277	ERR4281746	137-4M
SAMEA7001278	ERR4281747	137-5Y
SAMEA7001279	ERR4281748	137-NB
SAMEA7001280	ERR4281749	137-M
SAMEA7001281	ERR4281750	139-12M
SAMEA7001282	ERR4281751	139-4M
SAMEA7001283	ERR4281752	139-M
SAMEA7001284	ERR4281753	13-M
SAMEA7001285	ERR4281754	1-3Y
SAMEA7001286	ERR4281755	141-12M
SAMEA7001287	ERR4281756	141-3Y
SAMEA7001288	ERR4281757	147-12M
SAMEA7001289	ERR4281758	147-3Y
SAMEA7001290	ERR4281759	147-4M
SAMEA7001291	ERR4281760	147-5Y
SAMEA7001292	ERR4281761	147-NB
SAMEA7001293	ERR4281762	147-M
SAMEA7001294	ERR4281763	148-12M
SAMEA7001295	ERR4281764	148-3Y
SAMEA7001296	ERR4281765	148-4M
SAMEA7001297	ERR4281766	148-5Y
SAMEA7001298	ERR4281767	148-M
SAMEA7001299	ERR4281768	1-4M
SAMEA7001300	ERR4281769	150-12M
SAMEA7001301	ERR4281770	150-3Y
SAMEA7001302	ERR4281771	150-4M
SAMEA7001303	ERR4281772	150-5Y
SAMEA7001304	ERR4281773	150-NB
SAMEA7001305	ERR4281774	150-M
SAMEA7001306	ERR4281775	151-12M
SAMEA7001307	ERR4281776	151-3Y
SAMEA7001308	ERR4281777	151-4M
SAMEA7001309	ERR4281778	151-5Y
SAMEA7001310	ERR4281779	151-M
SAMEA7001311	ERR4281780	157-12M
SAMEA7001312	ERR4281781	157-3Y
SAMEA7001313	ERR4281782	157-4M
SAMEA7001314	ERR4281783	157-M
SAMEA7001315	ERR4281784	159-4M
SAMEA7001316	ERR4281785	159-NB
SAMEA7001317	ERR4281786	1-5Y
SAMEA7001318	ERR4281787	160-12M
SAMEA7001319	ERR4281788	160-3Y
SAMEA7001320	ERR4281789	160-4M
SAMEA7001321	ERR4281790	160-5Y
SAMEA7001322	ERR4281791	160-M
SAMEA7001323	ERR4281792	161-12M
SAMEA7001324	ERR4281793	16-12M
SAMEA7001325	ERR4281794	161-3Y
SAMEA7001326	ERR4281795	161-4M
SAMEA7001327	ERR4281796	161-M
SAMEA7001328	ERR4281797	162-12M
SAMEA7001329	ERR4281798	162-3Y
SAMEA7001330	ERR4281799	162-4M
SAMEA7001331	ERR4281800	162-5Y
SAMEA7001332	ERR4281801	162-NB
SAMEA7001333	ERR4281802	162-M
SAMEA7001334	ERR4281803	16-3Y
SAMEA7001335	ERR4281804	16-4M
SAMEA7001336	ERR4281805	165-12M
SAMEA7001337	ERR4281806	165-3Y
SAMEA7001338	ERR4281807	165-4M
SAMEA7001339	ERR4281808	165-5Y
SAMEA7001340	ERR4281809	165-M
SAMEA7001341	ERR4281810	16-5Y
SAMEA7001342	ERR4281811	169-12M
SAMEA7001343	ERR4281812	169-3Y
SAMEA7001344	ERR4281813	169-4M
SAMEA7001345	ERR4281814	169-5Y
SAMEA7001346	ERR4281815	169-NB
SAMEA7001347	ERR4281816	169-M
SAMEA7001348	ERR4281817	16-NB
SAMEA7001349	ERR4281818	16-M
SAMEA7001350	ERR4281819	171-12M
SAMEA7001351	ERR4281820	17-12M
SAMEA7001352	ERR4281821	171-3Y
SAMEA7001353	ERR4281822	171-4M
SAMEA7001354	ERR4281823	171-5Y
SAMEA7001355	ERR4281824	171-M
SAMEA7001356	ERR4281825	172-12M
SAMEA7001357	ERR4281826	172-4M
SAMEA7001358	ERR4281827	172-NB
SAMEA7001359	ERR4281828	172-M
SAMEA7001360	ERR4281829	17-3Y
SAMEA7001361	ERR4281830	17-4M
SAMEA7001362	ERR4281831	175-3Y
SAMEA7001363	ERR4281832	175-4M
SAMEA7001364	ERR4281833	175-5Y
SAMEA7001365	ERR4281834	175-M
SAMEA7001366	ERR4281835	17-5Y
SAMEA7001367	ERR4281836	179-12M
SAMEA7001368	ERR4281837	179-3Y
SAMEA7001369	ERR4281838	179-4M
SAMEA7001370	ERR4281839	179-5Y
SAMEA7001371	ERR4281840	179-NB
SAMEA7001372	ERR4281841	179-M
SAMEA7001373	ERR4281842	17-NB
SAMEA7001374	ERR4281843	17-M
SAMEA7001375	ERR4281844	180-12M
SAMEA7001376	ERR4281845	180-3Y
SAMEA7001377	ERR4281846	180-4M
SAMEA7001378	ERR4281847	180-5Y
SAMEA7001379	ERR4281848	180-NB
SAMEA7001380	ERR4281849	180-M
SAMEA7001381	ERR4281850	181-12M
SAMEA7001382	ERR4281851	18-12M
SAMEA7001383	ERR4281852	181-3Y
SAMEA7001384	ERR4281853	181-4M
SAMEA7001385	ERR4281854	181-5Y
SAMEA7001386	ERR4281855	181-NB
SAMEA7001387	ERR4281856	181-M
SAMEA7001388	ERR4281857	182-12M
SAMEA7001389	ERR4281858	182-4M
SAMEA7001390	ERR4281859	184-12M
SAMEA7001391	ERR4281860	184-3Y
SAMEA7001392	ERR4281861	184-4M
SAMEA7001393	ERR4281862	184-NB
SAMEA7001394	ERR4281863	18-4M
SAMEA7001395	ERR4281864	184-M
SAMEA7001396	ERR4281865	187-12M
SAMEA7001397	ERR4281866	187-3Y
SAMEA7001398	ERR4281867	187-4M
SAMEA7001399	ERR4281868	187-M
SAMEA7001400	ERR4281869	18-NB
SAMEA7001401	ERR4281870	18-M
SAMEA7001402	ERR4281871	190-12M
SAMEA7001403	ERR4281872	190-4M
SAMEA7001404	ERR4281873	190-5Y
SAMEA7001405	ERR4281874	190-M
SAMEA7001406	ERR4281875	19-12M
SAMEA7001407	ERR4281876	192-12M
SAMEA7001408	ERR4281877	192-3Y
SAMEA7001409	ERR4281878	192-4M
SAMEA7001410	ERR4281879	192-5Y
SAMEA7001411	ERR4281880	192-M
SAMEA7001412	ERR4281881	19-3Y
SAMEA7001413	ERR4281882	194-12M
SAMEA7001414	ERR4281883	194-3Y
SAMEA7001415	ERR4281884	194-4M
SAMEA7001416	ERR4281885	194-5Y
SAMEA7001417	ERR4281886	19-4M
SAMEA7001418	ERR4281887	194-M
SAMEA7001419	ERR4281888	195-12M
SAMEA7001420	ERR4281889	195-4M
SAMEA7001421	ERR4281890	195-NB
SAMEA7001422	ERR4281891	195-M
SAMEA7001423	ERR4281892	19-5Y
SAMEA7001424	ERR4281893	199-4M
SAMEA7001425	ERR4281894	199-NB
SAMEA7001426	ERR4281895	199-M
SAMEA7001427	ERR4281896	19-M
SAMEA7001428	ERR4281897	1-NB
SAMEA7001429	ERR4281898	1-M
SAMEA7001430	ERR4281899	200-12M
SAMEA7001431	ERR4281900	200-3Y
SAMEA7001432	ERR4281901	200-4M
SAMEA7001433	ERR4281902	200-5Y
SAMEA7001434	ERR4281903	200-M
SAMEA7001435	ERR4281904	201-12M
SAMEA7001436	ERR4281905	201-4M
SAMEA7001437	ERR4281906	201-5Y
SAMEA7001438	ERR4281907	201-NB
SAMEA7001439	ERR4281908	201-M
SAMEA7001440	ERR4281909	202-12M
SAMEA7001441	ERR4281910	202-4M
SAMEA7001442	ERR4281911	203-12M
SAMEA7001443	ERR4281912	203-3Y
SAMEA7001444	ERR4281913	203-4M
SAMEA7001445	ERR4281914	203-5Y
SAMEA7001446	ERR4281915	203-NB
SAMEA7001447	ERR4281916	203-M
SAMEA7001448	ERR4281917	204-12M
SAMEA7001449	ERR4281918	204-3Y
SAMEA7001450	ERR4281919	204-4M
SAMEA7001451	ERR4281920	204-5Y
SAMEA7001452	ERR4281921	205-12M
SAMEA7001453	ERR4281922	205-NB
SAMEA7001454	ERR4281923	205-M
SAMEA7001455	ERR4281924	206-12M
SAMEA7001456	ERR4281925	206-4M
SAMEA7001457	ERR4281926	206-M
SAMEA7001458	ERR4281927	210-12M
SAMEA7001459	ERR4281928	210-3Y
SAMEA7001460	ERR4281929	210-4M
SAMEA7001461	ERR4281930	210-5Y
SAMEA7001462	ERR4281931	210-M
SAMEA7001463	ERR4281932	211-12M
SAMEA7001464	ERR4281933	211-3Y
SAMEA7001465	ERR4281934	211-4M
SAMEA7001466	ERR4281935	211-5Y
SAMEA7001467	ERR4281936	213-12M
SAMEA7002734	ERR4281937	213-4M
SAMEA7002735	ERR4281938	213-M
SAMEA7002736	ERR4281939	215-12M
SAMEA7002737	ERR4281940	215-3Y
SAMEA7002738	ERR4281941	215-4M
SAMEA7002739	ERR4281942	215-M
SAMEA7002740	ERR4281943	22-12M
SAMEA7002741	ERR4281944	224-12M
SAMEA7002742	ERR4281945	224-3Y
SAMEA7002743	ERR4281946	224-4M
SAMEA7002744	ERR4281947	224-5Y
SAMEA7002745	ERR4281948	224-NB
SAMEA7002746	ERR4281949	224-M
SAMEA7002747	ERR4281950	229-12M
SAMEA7002748	ERR4281951	229-3Y
SAMEA7002749	ERR4281952	229-4M
SAMEA7002750	ERR4281953	229-5Y
SAMEA7002751	ERR4281954	229-NB
SAMEA7002752	ERR4281955	229-M
SAMEA7002753	ERR4281956	22-M
SAMEA7002754	ERR4281957	231-12M
SAMEA7002755	ERR4281958	23-12M
SAMEA7002756	ERR4281959	231-4M
SAMEA7002757	ERR4281960	231-5Y
SAMEA7002758	ERR4281961	233-12M
SAMEA7002759	ERR4281962	233-3Y
SAMEA7002760	ERR4281963	233-4M
SAMEA7002761	ERR4281964	233-5Y
SAMEA7002762	ERR4281965	23-3Y
SAMEA7002763	ERR4281966	234-3Y
SAMEA7002764	ERR4281967	234-4M
SAMEA7002765	ERR4281968	234-5Y
SAMEA7002766	ERR4281969	234-NB
SAMEA7002767	ERR4281970	23-4M
SAMEA7002768	ERR4281971	234-M
SAMEA7002769	ERR4281972	23-5Y
SAMEA7002770	ERR4281973	236-12M
SAMEA7002771	ERR4281974	236-3Y
SAMEA7002772	ERR4281975	236-4M
SAMEA7002773	ERR4281976	236-5Y
SAMEA7002774	ERR4281977	236-M
SAMEA7002775	ERR4281978	237-4M
SAMEA7002776	ERR4281979	237-M
SAMEA7002777	ERR4281980	238-12M
SAMEA7002778	ERR4281981	238-4M
SAMEA7002779	ERR4281982	238-NB
SAMEA7002780	ERR4281983	238-M
SAMEA7002781	ERR4281984	239-12M
SAMEA7002782	ERR4281985	239-3Y
SAMEA7002783	ERR4281986	239-4M
SAMEA7002784	ERR4281987	239-5Y
SAMEA7002785	ERR4281988	239-M
SAMEA7002786	ERR4281989	23-M
SAMEA7002787	ERR4281990	240-12M
SAMEA7002788	ERR4281991	240-3Y
SAMEA7002789	ERR4281992	240-4M
SAMEA7002790	ERR4281993	240-5Y
SAMEA7002791	ERR4281994	240-M
SAMEA7002792	ERR4281995	241-12M
SAMEA7002793	ERR4281996	24-12M
SAMEA7002794	ERR4281997	241-3Y
SAMEA7002795	ERR4281998	241-4M
SAMEA7002796	ERR4281999	241-5Y
SAMEA7002797	ERR4282000	241-NB
SAMEA7002798	ERR4282001	241-M
SAMEA7002799	ERR4282002	242-12M
SAMEA7002800	ERR4282003	242-4M
SAMEA7002801	ERR4282004	242-NB
SAMEA7002802	ERR4282005	242-M
SAMEA7002803	ERR4282006	243-12M
SAMEA7002804	ERR4282007	243-3Y
SAMEA7002805	ERR4282008	243-4M
SAMEA7002806	ERR4282009	243-5Y
SAMEA7002807	ERR4282010	24-3Y
SAMEA7002808	ERR4282011	244-12M
SAMEA7002809	ERR4282012	244-4M
SAMEA7002810	ERR4282013	244-NB
SAMEA7002811	ERR4282014	24-4M
SAMEA7002812	ERR4282015	244-M
SAMEA7002813	ERR4282016	24-5Y
SAMEA7002814	ERR4282017	246-4M
SAMEA7002815	ERR4282018	247-12M
SAMEA7002816	ERR4282019	247-3Y
SAMEA7002817	ERR4282020	247-4M
SAMEA7002818	ERR4282021	247-5Y
SAMEA7002819	ERR4282022	247-M
SAMEA7002820	ERR4282023	248-12M
SAMEA7002821	ERR4282024	248-3Y
SAMEA7002822	ERR4282025	248-4M
SAMEA7002823	ERR4282026	248-5Y
SAMEA7002824	ERR4282027	248-M
SAMEA7002825	ERR4282028	24-M
SAMEA7002826	ERR4282029	251-12M
SAMEA7002827	ERR4282030	251-3Y
SAMEA7002828	ERR4282031	251-4M
SAMEA7002829	ERR4282032	251-5Y
SAMEA7002830	ERR4282033	251-NB
SAMEA7002831	ERR4282034	252-12M
SAMEA7002832	ERR4282035	252-3Y
SAMEA7002833	ERR4282036	252-4M
SAMEA7002834	ERR4282037	252-5Y
SAMEA7002835	ERR4282038	252-NB
SAMEA7002836	ERR4282039	252-M
SAMEA7002837	ERR4282040	253-12M
SAMEA7002838	ERR4282041	253-4M
SAMEA7002839	ERR4282042	253-NB
SAMEA7002840	ERR4282043	253-M
SAMEA7002841	ERR4282044	254-12M
SAMEA7002842	ERR4282045	254-3Y
SAMEA7002843	ERR4282046	254-4M
SAMEA7002844	ERR4282047	254-M
SAMEA7002845	ERR4282048	256-12M
SAMEA7002846	ERR4282049	256-4M
SAMEA7002847	ERR4282050	256-NB
SAMEA7002848	ERR4282051	256-M
SAMEA7002849	ERR4282052	257-12M
SAMEA7002850	ERR4282053	257-4M
SAMEA7002851	ERR4282054	257-5Y
SAMEA7002852	ERR4282055	258-12M
SAMEA7002853	ERR4282056	258-4M
SAMEA7002854	ERR4282057	258-M
SAMEA7002855	ERR4282058	259-12M
SAMEA7002856	ERR4282059	259-3Y
SAMEA7002857	ERR4282060	259-4M
SAMEA7002858	ERR4282061	259-5Y
SAMEA7002859	ERR4282062	259-M
SAMEA7002860	ERR4282063	260-12M
SAMEA7002861	ERR4282064	260-3Y
SAMEA7002862	ERR4282065	260-4M
SAMEA7002863	ERR4282066	260-5Y
SAMEA7002864	ERR4282067	26-12M
SAMEA7002865	ERR4282068	262-3Y
SAMEA7002866	ERR4282069	262-4M
SAMEA7002867	ERR4282070	262-5Y
SAMEA7002868	ERR4282071	262-NB
SAMEA7002869	ERR4282072	262-M
SAMEA7002870	ERR4282073	263-12M
SAMEA7002871	ERR4282074	263-3Y
SAMEA7002872	ERR4282075	263-4M
SAMEA7002873	ERR4282076	263-5Y
SAMEA7002874	ERR4282077	263-NB
SAMEA7002875	ERR4282078	263-M
SAMEA7002876	ERR4282079	26-3Y
SAMEA7002877	ERR4282080	26-4M
SAMEA7002878	ERR4282081	265-12M
SAMEA7002879	ERR4282082	265-3Y
SAMEA7002880	ERR4282083	265-4M
SAMEA7002881	ERR4282084	265-5Y
SAMEA7002882	ERR4282085	265-NB
SAMEA7002883	ERR4282086	265-M
SAMEA7002884	ERR4282087	26-5Y
SAMEA7002885	ERR4282088	267-12M
SAMEA7002886	ERR4282089	267-3Y
SAMEA7002887	ERR4282090	267-4M
SAMEA7002888	ERR4282091	267-5Y
SAMEA7002889	ERR4282092	267-M
SAMEA7002890	ERR4282093	268-12M
SAMEA7002891	ERR4282094	268-4M
SAMEA7002892	ERR4282095	268-NB
SAMEA7002893	ERR4282096	268-M
SAMEA7002894	ERR4282097	26-NB
SAMEA7002895	ERR4282098	26-M
SAMEA7002896	ERR4282099	272-12M
SAMEA7002897	ERR4282100	272-3Y
SAMEA7002898	ERR4282101	272-4M
SAMEA7002899	ERR4282102	272-5Y
SAMEA7002900	ERR4282103	272-NB
SAMEA7002901	ERR4282104	272-M
SAMEA7002902	ERR4282105	274-12M
SAMEA7002903	ERR4282106	274-3Y
SAMEA7002904	ERR4282107	274-4M
SAMEA7002905	ERR4282108	274-5Y
SAMEA7002906	ERR4282109	274-M
SAMEA7002907	ERR4282110	275-12M
SAMEA7002908	ERR4282111	275-3Y
SAMEA7002909	ERR4282112	275-4M
SAMEA7002910	ERR4282113	275-5Y
SAMEA7002911	ERR4282114	275-NB
SAMEA7002912	ERR4282115	275-M
SAMEA7002913	ERR4282116	276-12M
SAMEA7002914	ERR4282117	276-3Y
SAMEA7002915	ERR4282118	276-4M
SAMEA7002916	ERR4282119	276-5Y
SAMEA7002917	ERR4282120	276-NB
SAMEA7002918	ERR4282121	276-M
SAMEA7002919	ERR4282122	277-12M
SAMEA7002920	ERR4282123	277-3Y
SAMEA7002921	ERR4282124	277-4M
SAMEA7002922	ERR4282125	277-5Y
SAMEA7002923	ERR4282126	277-NB
SAMEA7002924	ERR4282127	279-12M
SAMEA7002925	ERR4282128	279-NB
SAMEA7002926	ERR4282129	280-12M
SAMEA7002927	ERR4282130	280-3Y
SAMEA7002928	ERR4282131	280-4M
SAMEA7002929	ERR4282132	280-M
SAMEA7002930	ERR4282133	281-12M
SAMEA7002931	ERR4282134	28-12M
SAMEA7002932	ERR4282135	281-3Y
SAMEA7002933	ERR4282136	281-4M
SAMEA7002934	ERR4282137	281-NB
SAMEA7002935	ERR4282138	281-M
SAMEA7002936	ERR4282139	282-12M
SAMEA7002937	ERR4282140	282-3Y
SAMEA7002938	ERR4282141	282-4M
SAMEA7002939	ERR4282142	282-NB
SAMEA7002940	ERR4282143	282-M
SAMEA7002941	ERR4282144	283-12M
SAMEA7002942	ERR4282145	283-3Y
SAMEA7002943	ERR4282146	283-4M
SAMEA7002944	ERR4282147	283-5Y
SAMEA7002945	ERR4282148	28-3Y
SAMEA7002946	ERR4282149	28-4M
SAMEA7002947	ERR4282150	285-12M
SAMEA7002948	ERR4282151	285-3Y
SAMEA7002949	ERR4282152	285-5Y
SAMEA7002950	ERR4282153	285-NB
SAMEA7002951	ERR4282154	285-M
SAMEA7002952	ERR4282155	28-5Y
SAMEA7002953	ERR4282156	286-12M
SAMEA7002954	ERR4282157	286-3Y
SAMEA7002955	ERR4282158	286-4M
SAMEA7002956	ERR4282159	286-5Y
SAMEA7002957	ERR4282160	286-M
SAMEA7002958	ERR4282161	28-M
SAMEA7002959	ERR4282162	291-12M
SAMEA7002960	ERR4282163	291-3Y
SAMEA7002961	ERR4282164	291-4M
SAMEA7002962	ERR4282165	291-5Y
SAMEA7002963	ERR4282166	291-M
SAMEA7002964	ERR4282167	292-12M
SAMEA7002965	ERR4282168	292-4M
SAMEA7002966	ERR4282169	292-5Y
SAMEA7002967	ERR4282170	292-NB
SAMEA7002968	ERR4282171	292-M
SAMEA7002969	ERR4282172	293-12M
SAMEA7002970	ERR4282173	293-4M
SAMEA7002971	ERR4282174	293-5Y
SAMEA7002972	ERR4282175	293-NB
SAMEA7002973	ERR4282176	293-M
SAMEA7002974	ERR4282177	29-3Y
SAMEA7002975	ERR4282178	29-4M
SAMEA7002976	ERR4282179	29-5Y
SAMEA7002977	ERR4282180	301-12M
SAMEA7002978	ERR4282181	30-12M
SAMEA7002979	ERR4282182	301-3Y
SAMEA7002980	ERR4282183	301-4M
SAMEA7002981	ERR4282184	301-M
SAMEA7002982	ERR4282185	302-12M
SAMEA7002983	ERR4282186	302-5Y
SAMEA7002984	ERR4282187	303-12M
SAMEA7002985	ERR4282188	303-3Y
SAMEA7002986	ERR4282189	303-4M
SAMEA7002987	ERR4282190	303-5Y
SAMEA7002988	ERR4282191	30-3Y
SAMEA7002989	ERR4282192	30-4M
SAMEA7002990	ERR4282193	305-12M
SAMEA7002991	ERR4282194	305-3Y
SAMEA7002992	ERR4282195	305-4M
SAMEA7002993	ERR4282196	305-5Y
SAMEA7002994	ERR4282197	305-NB
SAMEA7002995	ERR4282198	305-M
SAMEA7002996	ERR4282199	30-5Y
SAMEA7002997	ERR4282200	306-12M
SAMEA7002998	ERR4282201	306-3Y
SAMEA7002999	ERR4282202	306-4M
SAMEA7003000	ERR4282203	306-5Y
SAMEA7003001	ERR4282204	306-M
SAMEA7003002	ERR4282205	307-4M
SAMEA7003003	ERR4282206	307-M
SAMEA7003004	ERR4282207	309-3Y
SAMEA7003005	ERR4282208	30-M
SAMEA7003006	ERR4282209	311-12M
SAMEA7003007	ERR4282210	31-12M
SAMEA7003008	ERR4282211	311-3Y
SAMEA7003009	ERR4282212	311-4M
SAMEA7003010	ERR4282213	311-5Y
SAMEA7003011	ERR4282214	311-M
SAMEA7003012	ERR4282215	312-12M
SAMEA7003013	ERR4282216	312-3Y
SAMEA7003014	ERR4282217	312-4M
SAMEA7003015	ERR4282218	3-12M
SAMEA7003016	ERR4282219	31-3Y
SAMEA7003017	ERR4282220	31-4M
SAMEA7003018	ERR4282221	315-12M
SAMEA7003019	ERR4282222	315-3Y
SAMEA7003020	ERR4282223	315-4M
SAMEA7003021	ERR4282224	315-5Y
SAMEA7003022	ERR4282225	315-M
SAMEA7003023	ERR4282226	31-5Y
SAMEA7003024	ERR4282227	316-12M
SAMEA7003025	ERR4282228	316-3Y
SAMEA7003026	ERR4282229	316-4M
SAMEA7003027	ERR4282230	316-5Y
SAMEA7003028	ERR4282231	316-NB
SAMEA7003029	ERR4282232	316-M
SAMEA7003030	ERR4282233	317-12M
SAMEA7003031	ERR4282234	317-3Y
SAMEA7003032	ERR4282235	317-4M
SAMEA7003033	ERR4282236	317-5Y
SAMEA7003034	ERR4282237	317-M
SAMEA7003035	ERR4282238	318-12M
SAMEA7003036	ERR4282239	318-3Y
SAMEA7003037	ERR4282240	318-4M
SAMEA7003038	ERR4282241	318-5Y
SAMEA7003039	ERR4282242	318-NB
SAMEA7003040	ERR4282243	318-M
SAMEA7003041	ERR4282244	319-4M
SAMEA7003042	ERR4282245	319-NB
SAMEA7003043	ERR4282246	31-M
SAMEA7003044	ERR4282247	32-12M
SAMEA7003045	ERR4282248	322-12M
SAMEA7003046	ERR4282249	322-4M
SAMEA7003047	ERR4282250	32-3Y
SAMEA7003048	ERR4282251	324-12M
SAMEA7003049	ERR4282252	324-3Y
SAMEA7003050	ERR4282253	324-4M
SAMEA7003051	ERR4282254	324-5Y
SAMEA7003052	ERR4282255	32-4M
SAMEA7003053	ERR4282256	32-5Y
SAMEA7003054	ERR4282257	326-12M
SAMEA7003055	ERR4282258	326-3Y
SAMEA7003056	ERR4282259	326-4M
SAMEA7003057	ERR4282260	326-5Y
SAMEA7003058	ERR4282261	326-M
SAMEA7003059	ERR4282262	327-12M
SAMEA7003060	ERR4282263	327-3Y
SAMEA7003061	ERR4282264	327-4M
SAMEA7003062	ERR4282265	327-5Y
SAMEA7003063	ERR4282266	327-NB
SAMEA7003064	ERR4282267	327-M
SAMEA7003065	ERR4282268	328-12M
SAMEA7003066	ERR4282269	328-4M
SAMEA7003067	ERR4282270	32-M
SAMEA7003068	ERR4282271	330-12M
SAMEA7003069	ERR4282272	330-3Y
SAMEA7003070	ERR4282273	330-4M
SAMEA7003071	ERR4282274	330-5Y
SAMEA7003072	ERR4282275	330-NB
SAMEA7003073	ERR4282276	330-M
SAMEA7003074	ERR4282277	331-12M
SAMEA7003075	ERR4282278	33-12M
SAMEA7003076	ERR4282279	331-3Y
SAMEA7003077	ERR4282280	331-4M
SAMEA7003078	ERR4282281	331-5Y
SAMEA7003079	ERR4282282	331-NB
SAMEA7003080	ERR4282283	331-M
SAMEA7003081	ERR4282284	332-12M
SAMEA7003082	ERR4282285	332-3Y
SAMEA7003083	ERR4282286	332-4M
SAMEA7003084	ERR4282287	332-5Y
SAMEA7003085	ERR4282288	332-NB
SAMEA7003086	ERR4282289	332-M
SAMEA7003087	ERR4282290	33-3Y
SAMEA7003088	ERR4282291	334-12M
SAMEA7003089	ERR4282292	334-4M
SAMEA7003090	ERR4282293	334-NB
SAMEA7003091	ERR4282294	33-4M
SAMEA7003092	ERR4282295	335-12M
SAMEA7003093	ERR4282296	335-3Y
SAMEA7003094	ERR4282297	335-4M
SAMEA7003095	ERR4282298	335-5Y
SAMEA7003096	ERR4282299	335-NB
SAMEA7003097	ERR4282300	335-M
SAMEA7003098	ERR4282301	33-5Y
SAMEA7003099	ERR4282302	337-12M
SAMEA7003100	ERR4282303	337-3Y
SAMEA7003101	ERR4282304	337-4M
SAMEA7003102	ERR4282305	337-NB
SAMEA7003103	ERR4282306	337-M
