sample_accession	run_accession	sample_alias
SAMEA7000690	ERR4281160	1059-12M
SAMEA7000691	ERR4281161	1059-4M
SAMEA7000692	ERR4281162	1059-NB
SAMEA7000693	ERR4281163	1059-M
SAMEA7000694	ERR4281164	105-NB
SAMEA7000695	ERR4281165	105-M
SAMEA7000696	ERR4281166	10-5Y
SAMEA7000697	ERR4281167	1061-12M
SAMEA7000698	ERR4281168	1061-4M
SAMEA7000699	ERR4281169	1061-NB
SAMEA7000700	ERR4281170	1062-12M
SAMEA7000701	ERR4281171	1062-3Y
SAMEA7000702	ERR4281172	1062-5Y
SAMEA7000703	ERR4281173	1062-M
SAMEA7000704	ERR4281174	1063-12M
SAMEA7000705	ERR4281175	1063-3Y
SAMEA7000706	ERR4281176	1063-4M
SAMEA7000707	ERR4281177	1063-5Y
SAMEA7000708	ERR4281178	1067-12M
SAMEA7000709	ERR4281179	1067-3Y
SAMEA7000710	ERR4281180	1067-4M
SAMEA7000711	ERR4281181	1067-5Y
SAMEA7000712	ERR4281182	1067-M
SAMEA7000713	ERR4281183	1068-12M
SAMEA7000714	ERR4281184	1068-3Y
SAMEA7000715	ERR4281185	1068-5Y
SAMEA7000716	ERR4281186	1069-12M
SAMEA7000717	ERR4281187	1069-3Y
SAMEA7000718	ERR4281188	1069-4M
SAMEA7000719	ERR4281189	1069-5Y
SAMEA7000720	ERR4281190	1069-NB
SAMEA7000721	ERR4281191	1069-M
SAMEA7000722	ERR4281192	1071-NB
SAMEA7000723	ERR4281193	1072-12M
SAMEA7000724	ERR4281194	1072-4M
SAMEA7000725	ERR4281195	1072-NB
SAMEA7000726	ERR4281196	1075-12M
SAMEA7000727	ERR4281197	1075-NB
SAMEA7000728	ERR4281198	1077-12M
SAMEA7000729	ERR4281199	1077-3Y
SAMEA7000730	ERR4281200	1077-4M
SAMEA7000731	ERR4281201	1077-NB
SAMEA7000732	ERR4281202	1077-M
SAMEA7000733	ERR4281203	1078-12M
SAMEA7000734	ERR4281204	1078-3Y
SAMEA7000735	ERR4281205	1078-4M
SAMEA7000736	ERR4281206	1078-5Y
SAMEA7000737	ERR4281207	1078-NB
SAMEA7000738	ERR4281208	1078-M
SAMEA7000739	ERR4281209	1079-12M
SAMEA7000740	ERR4281210	1079-3Y
SAMEA7000741	ERR4281211	1079-4M
SAMEA7000742	ERR4281212	1079-5Y
SAMEA7000743	ERR4281213	1079-NB
SAMEA7000744	ERR4281214	1081-12M
SAMEA7000745	ERR4281215	108-12M
SAMEA7000746	ERR4281216	1081-4M
SAMEA7000747	ERR4281217	1081-NB
SAMEA7000748	ERR4281218	1081-M
SAMEA7000749	ERR4281219	1082-4M
SAMEA7000750	ERR4281220	1082-NB
SAMEA7000751	ERR4281221	1083-12M
SAMEA7000752	ERR4281222	1083-3Y
SAMEA7000753	ERR4281223	1083-4M
SAMEA7000754	ERR4281224	1083-NB
SAMEA7000755	ERR4281225	1083-M
SAMEA7000756	ERR4281226	108-4M
SAMEA7000757	ERR4281227	1085-12M
SAMEA7000758	ERR4281228	1085-3Y
SAMEA7000759	ERR4281229	1085-4M
SAMEA7000760	ERR4281230	1086-M
SAMEA7000761	ERR4281231	1087-12M
SAMEA7000762	ERR4281232	1087-3Y
SAMEA7000763	ERR4281233	1087-4M
SAMEA7000764	ERR4281234	1087-5Y
SAMEA7000765	ERR4281235	1087-NB
SAMEA7000766	ERR4281236	1087-M
SAMEA7000767	ERR4281237	1089-12M
SAMEA7000768	ERR4281238	1089-3Y
SAMEA7000769	ERR4281239	1089-4M
SAMEA7000770	ERR4281240	1089-5Y
SAMEA7000771	ERR4281241	1089-NB
SAMEA7000772	ERR4281242	1089-M
SAMEA7000773	ERR4281243	108-M
SAMEA7000774	ERR4281244	1091-12M
SAMEA7000775	ERR4281245	1091-3Y
SAMEA7000776	ERR4281246	1091-4M
SAMEA7000777	ERR4281247	1091-5Y
SAMEA7000778	ERR4281248	1091-M
SAMEA7000779	ERR4281249	1092-4M
SAMEA7000780	ERR4281250	10-NB
SAMEA7000781	ERR4281251	10-M
SAMEA7000782	ERR4281252	1100-12M
SAMEA7000783	ERR4281253	1100-3Y
SAMEA7000784	ERR4281254	1100-4M
SAMEA7000785	ERR4281255	1100-NB
SAMEA7000786	ERR4281256	1100-M
SAMEA7000787	ERR4281257	1102-12M
SAMEA7000788	ERR4281258	1102-3Y
SAMEA7000789	ERR4281259	1102-4M
SAMEA7000790	ERR4281260	1102-5Y
SAMEA7000791	ERR4281261	1102-NB
SAMEA7000792	ERR4281262	1102-M
SAMEA7000793	ERR4281263	1103-12M
SAMEA7000794	ERR4281264	1103-3Y
SAMEA7000795	ERR4281265	1103-4M
SAMEA7000796	ERR4281266	1103-5Y
SAMEA7000797	ERR4281267	1103-NB
SAMEA7000798	ERR4281268	1105-12M
SAMEA7000799	ERR4281269	1105-4M
SAMEA7000800	ERR4281270	1105-NB
SAMEA7000801	ERR4281271	1105-M
SAMEA7000802	ERR4281272	1107-12M
SAMEA7000803	ERR4281273	1107-3Y
SAMEA7000804	ERR4281274	1107-4M
SAMEA7000805	ERR4281275	1107-5Y
SAMEA7000806	ERR4281276	1107-NB
SAMEA7000807	ERR4281277	1107-M
SAMEA7000808	ERR4281278	1109-4M
SAMEA7000809	ERR4281279	1111-12M
SAMEA7000810	ERR4281280	111-12M
SAMEA7000811	ERR4281281	1111-3Y
SAMEA7000812	ERR4281282	1111-5Y
SAMEA7000813	ERR4281283	1112-12M
SAMEA7000814	ERR4281284	1112-3Y
SAMEA7000815	ERR4281285	1112-4M
SAMEA7000816	ERR4281286	1112-5Y
SAMEA7000817	ERR4281287	1112-NB
SAMEA7000818	ERR4281288	1112-M
SAMEA7000819	ERR4281289	111-4M
SAMEA7000820	ERR4281290	1115-12M
SAMEA7000821	ERR4281291	1115-3Y
SAMEA7000822	ERR4281292	1115-4M
SAMEA7000823	ERR4281293	1115-NB
SAMEA7000824	ERR4281294	1115-M
SAMEA7000825	ERR4281295	1116-12M
SAMEA7000826	ERR4281296	1116-4M
SAMEA7000827	ERR4281297	1116-NB
SAMEA7000828	ERR4281298	1116-M
SAMEA7000829	ERR4281299	1117-12M
SAMEA7000830	ERR4281300	1117-3Y
SAMEA7000831	ERR4281301	1117-4M
SAMEA7000832	ERR4281302	1117-5Y
SAMEA7000833	ERR4281303	1117-NB
SAMEA7000834	ERR4281304	1117-M
SAMEA7000835	ERR4281305	1118-12M
SAMEA7000836	ERR4281306	1118-3Y
SAMEA7000837	ERR4281307	1118-4M
SAMEA7000838	ERR4281308	1118-5Y
SAMEA7000839	ERR4281309	1118-NB
SAMEA7000840	ERR4281310	1118-M
SAMEA7000841	ERR4281311	1119-12M
SAMEA7000842	ERR4281312	1119-3Y
SAMEA7000843	ERR4281313	1119-4M
SAMEA7000844	ERR4281314	1119-5Y
SAMEA7000845	ERR4281315	1119-NB
SAMEA7000846	ERR4281316	1119-M
SAMEA7000847	ERR4281317	111-NB
SAMEA7000848	ERR4281318	111-M
SAMEA7000849	ERR4281319	1120-12M
SAMEA7000850	ERR4281320	1120-3Y
SAMEA7000851	ERR4281321	1120-4M
SAMEA7000852	ERR4281322	1120-5Y
SAMEA7000853	ERR4281323	1120-NB
SAMEA7000854	ERR4281324	1120-M
SAMEA7000855	ERR4281325	1121-12M
SAMEA7000856	ERR4281326	112-12M
SAMEA7000857	ERR4281327	1121-3Y
SAMEA7000858	ERR4281328	1121-4M
SAMEA7000859	ERR4281329	1121-5Y
SAMEA7000860	ERR4281330	1121-NB
SAMEA7000861	ERR4281331	1121-M
SAMEA7000862	ERR4281332	112-3Y
SAMEA7000863	ERR4281333	112-4M
SAMEA7000864	ERR4281334	1126-12M
SAMEA7000865	ERR4281335	1127-12M
SAMEA7000866	ERR4281336	1127-3Y
SAMEA7000867	ERR4281337	1127-4M
SAMEA7000868	ERR4281338	1127-5Y
SAMEA7000869	ERR4281339	1127-M
SAMEA7000870	ERR4281340	1128-12M
SAMEA7000871	ERR4281341	1128-3Y
SAMEA7000872	ERR4281342	1128-4M
SAMEA7000873	ERR4281343	1128-5Y
SAMEA7000874	ERR4281344	1128-NB
SAMEA7000875	ERR4281345	1128-M
SAMEA7000876	ERR4281346	1129-M
SAMEA7000877	ERR4281347	1-12M
SAMEA7000878	ERR4281348	112-M
SAMEA7000879	ERR4281349	1130-12M
SAMEA7000880	ERR4281350	1130-3Y
SAMEA7000881	ERR4281351	1130-4M
SAMEA7000882	ERR4281352	1130-NB
SAMEA7000883	ERR4281353	1130-M
SAMEA7000884	ERR4281354	1131-12M
SAMEA7000885	ERR4281355	113-12M
SAMEA7000886	ERR4281356	1131-3Y
SAMEA7000887	ERR4281357	1131-4M
SAMEA7000888	ERR4281358	1131-5Y
SAMEA7000889	ERR4281359	1131-NB
SAMEA7000890	ERR4281360	1131-M
SAMEA7000891	ERR4281361	1132-12M
SAMEA7000892	ERR4281362	1132-3Y
SAMEA7000893	ERR4281363	1132-4M
SAMEA7000894	ERR4281364	1132-5Y
SAMEA7000895	ERR4281365	1132-NB
SAMEA7000896	ERR4281366	1132-M
SAMEA7000897	ERR4281367	1133-12M
SAMEA7000898	ERR4281368	1133-3Y
SAMEA7000899	ERR4281369	1133-4M
SAMEA7000900	ERR4281370	1133-5Y
SAMEA7000901	ERR4281371	1133-NB
SAMEA7000902	ERR4281372	1133-M
SAMEA7000903	ERR4281373	113-3Y
SAMEA7000904	ERR4281374	1134-12M
SAMEA7000905	ERR4281375	1134-3Y
SAMEA7000906	ERR4281376	1134-4M
SAMEA7000907	ERR4281377	1134-5Y
SAMEA7000908	ERR4281378	1134-NB
SAMEA7000909	ERR4281379	113-4M
SAMEA7000910	ERR4281380	1134-M
SAMEA7000911	ERR4281381	113-5Y
SAMEA7000912	ERR4281382	1136-4M
SAMEA7000913	ERR4281383	1138-3Y
SAMEA7000914	ERR4281384	1138-4M
SAMEA7000915	ERR4281385	1138-NB
SAMEA7000916	ERR4281386	1138-M
SAMEA7000917	ERR4281387	1139-12M
SAMEA7000919	ERR4281388	1139-3Y
SAMEA7000920	ERR4281389	1139-4M
SAMEA7000921	ERR4281390	1139-5Y
SAMEA7000922	ERR4281391	1139-NB
SAMEA7000923	ERR4281392	1139-M
SAMEA7000924	ERR4281393	113-M
SAMEA7000925	ERR4281394	1141-12M
SAMEA7000926	ERR4281395	114-12M
SAMEA7000927	ERR4281396	1141-3Y
SAMEA7000928	ERR4281397	1141-4M
SAMEA7000929	ERR4281398	1141-5Y
SAMEA7000930	ERR4281399	1141-NB
SAMEA7000931	ERR4281400	114-3Y
SAMEA7000932	ERR4281401	114-4M
SAMEA7000933	ERR4281402	1145-12M
SAMEA7000934	ERR4281403	1145-3Y
SAMEA7000935	ERR4281404	1145-4M
SAMEA7000936	ERR4281405	1145-5Y
SAMEA7000937	ERR4281406	1145-NB
SAMEA7000938	ERR4281407	1145-M
SAMEA7000939	ERR4281408	114-5Y
SAMEA7000940	ERR4281409	1146-12M
SAMEA7000941	ERR4281410	1146-3Y
SAMEA7000942	ERR4281411	1146-4M
SAMEA7000943	ERR4281412	1146-5Y
SAMEA7000944	ERR4281413	1146-NB
SAMEA7000945	ERR4281414	1146-M
SAMEA7000946	ERR4281415	1148-4M
SAMEA7000947	ERR4281416	1149-12M
SAMEA7000948	ERR4281417	1149-3Y
SAMEA7000949	ERR4281418	1149-4M
SAMEA7000950	ERR4281419	1149-5Y
SAMEA7000951	ERR4281420	1149-NB
SAMEA7000952	ERR4281421	1149-M
SAMEA7000953	ERR4281422	114-M
SAMEA7000954	ERR4281423	1150-12M
SAMEA7000955	ERR4281424	1150-3Y
SAMEA7000956	ERR4281425	1150-4M
SAMEA7000957	ERR4281426	1150-5Y
SAMEA7000958	ERR4281427	1150-NB
SAMEA7000959	ERR4281428	1150-M
SAMEA7000960	ERR4281429	1153-12M
SAMEA7000961	ERR4281430	1153-3Y
SAMEA7000962	ERR4281431	1153-4M
SAMEA7000963	ERR4281432	1153-5Y
SAMEA7000964	ERR4281433	1153-NB
SAMEA7000965	ERR4281434	1153-M
SAMEA7000966	ERR4281435	1155-12M
SAMEA7000967	ERR4281436	1155-3Y
SAMEA7000968	ERR4281437	1155-4M
SAMEA7000969	ERR4281438	1155-5Y
SAMEA7000970	ERR4281439	1156-12M
SAMEA7000971	ERR4281440	1156-3Y
SAMEA7000972	ERR4281441	1156-4M
SAMEA7000973	ERR4281442	1156-NB
SAMEA7000974	ERR4281443	1156-M
SAMEA7000975	ERR4281444	1157-12M
SAMEA7000976	ERR4281445	1157-3Y
SAMEA7000977	ERR4281446	1157-4M
SAMEA7000978	ERR4281447	1157-5Y
SAMEA7000979	ERR4281448	1157-NB
SAMEA7000980	ERR4281449	1157-M
SAMEA7000981	ERR4281450	1159-12M
SAMEA7000982	ERR4281451	1159-3Y
SAMEA7000983	ERR4281452	1159-4M
SAMEA7000984	ERR4281453	1159-5Y
SAMEA7000985	ERR4281454	1159-NB
SAMEA7000986	ERR4281455	1159-M
SAMEA7000987	ERR4281456	1161-12M
SAMEA7000988	ERR4281457	1161-3Y
SAMEA7000989	ERR4281458	1161-4M
SAMEA7000990	ERR4281459	1161-5Y
SAMEA7000991	ERR4281460	1161-NB
SAMEA7000992	ERR4281461	1161-M
SAMEA7000993	ERR4281462	1165-12M
SAMEA7000994	ERR4281463	1165-3Y
SAMEA7000995	ERR4281464	1165-4M
SAMEA7000996	ERR4281465	1165-5Y
SAMEA7000997	ERR4281466	1165-NB
SAMEA7000998	ERR4281467	1165-M
SAMEA7000999	ERR4281468	1167-12M
SAMEA7001000	ERR4281469	1167-3Y
SAMEA7001001	ERR4281470	1167-4M
SAMEA7001002	ERR4281471	1167-5Y
SAMEA7001003	ERR4281472	1167-NB
SAMEA7001004	ERR4281473	1167-M
SAMEA7001005	ERR4281474	1168-12M
SAMEA7001006	ERR4281475	1168-4M
SAMEA7001007	ERR4281476	1168-5Y
SAMEA7001008	ERR4281477	1169-3Y
SAMEA7001009	ERR4281478	1169-4M
SAMEA7001010	ERR4281479	1169-5Y
SAMEA7001011	ERR4281480	1169-NB
