,ROC-AUC,F-max
root:12M,0.8013,0.5324
root:3Y,0.631,0.3415
root:4M,0.8683,0.6292
root:5Y,0.7233,0.4112
root:B,0.86,0.5238
root:M,0.7968,0.5082
root:12M:C,0.3802,0.0553
root:12M:V,0.5778,0.3863
root:3Y:C,0.7905,0.1818
root:3Y:V,0.6449,0.4091
root:4M:C,0.8462,0.1667
root:4M:V,0.783,0.5342
root:5Y:C,0.5231,0.0733
root:5Y:V,0.6453,0.3551
root:B:C,0.7857,0.16
root:B:V,0.6052,0.2061
