t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,248,0,5,0.0198,1.0,0.0,1.0,1.0,1.0,0.0198,0.0388,0.419,0.0444
0.01,7,240,0,5,0.0476,1.0,0.0283,1.0,0.9717,1.0,0.0204,0.04,0.419,0.0444
0.02,32,215,0,5,0.1468,1.0,0.1296,1.0,0.8704,1.0,0.0227,0.0444,0.419,0.0444
0.03,51,196,1,4,0.2183,0.8,0.2065,0.8,0.7935,0.8,0.02,0.039,0.419,0.0444
0.04,53,194,1,4,0.2262,0.8,0.2146,0.8,0.7854,0.8,0.0202,0.0394,0.419,0.0444
0.05,64,183,1,4,0.2698,0.8,0.2591,0.8,0.7409,0.8,0.0214,0.0417,0.419,0.0444
0.06,94,153,2,3,0.3849,0.6,0.3806,0.6,0.6194,0.6,0.0192,0.0373,0.419,0.0444
0.07,107,140,2,3,0.4365,0.6,0.4332,0.6,0.5668,0.6,0.021,0.0405,0.419,0.0444
0.08,115,132,2,3,0.4683,0.6,0.4656,0.6,0.5344,0.6,0.0222,0.0429,0.419,0.0444
0.09,118,129,3,2,0.4762,0.4,0.4777,0.4,0.5223,0.4,0.0153,0.0294,0.419,0.0444
0.1,126,121,3,2,0.5079,0.4,0.5101,0.4,0.4899,0.4,0.0163,0.0313,0.419,0.0444
0.11,129,118,4,1,0.5159,0.2,0.5223,0.2,0.4777,0.2,0.0084,0.0161,0.419,0.0444
0.12,143,104,4,1,0.5714,0.2,0.5789,0.2,0.4211,0.2,0.0095,0.0182,0.419,0.0444
0.13,147,100,4,1,0.5873,0.2,0.5951,0.2,0.4049,0.2,0.0099,0.0189,0.419,0.0444
0.14,150,97,4,1,0.5992,0.2,0.6073,0.2,0.3927,0.2,0.0102,0.0194,0.419,0.0444
0.15,156,91,5,0,0.619,0.0,0.6316,0.0,0.3684,0.0,0.0,,0.419,0.0444
0.16,164,83,5,0,0.6508,0.0,0.664,0.0,0.336,0.0,0.0,,0.419,0.0444
0.17,172,75,5,0,0.6825,0.0,0.6964,0.0,0.3036,0.0,0.0,,0.419,0.0444
0.18,187,60,5,0,0.7421,0.0,0.7571,0.0,0.2429,0.0,0.0,,0.419,0.0444
0.19,194,53,5,0,0.7698,0.0,0.7854,0.0,0.2146,0.0,0.0,,0.419,0.0444
0.2,196,51,5,0,0.7778,0.0,0.7935,0.0,0.2065,0.0,0.0,,0.419,0.0444
0.21,200,47,5,0,0.7937,0.0,0.8097,0.0,0.1903,0.0,0.0,,0.419,0.0444
0.22,201,46,5,0,0.7976,0.0,0.8138,0.0,0.1862,0.0,0.0,,0.419,0.0444
0.23,201,46,5,0,0.7976,0.0,0.8138,0.0,0.1862,0.0,0.0,,0.419,0.0444
0.24,202,45,5,0,0.8016,0.0,0.8178,0.0,0.1822,0.0,0.0,,0.419,0.0444
0.25,209,38,5,0,0.8294,0.0,0.8462,0.0,0.1538,0.0,0.0,,0.419,0.0444
0.26,211,36,5,0,0.8373,0.0,0.8543,0.0,0.1457,0.0,0.0,,0.419,0.0444
0.27,213,34,5,0,0.8452,0.0,0.8623,0.0,0.1377,0.0,0.0,,0.419,0.0444
0.28,215,32,5,0,0.8532,0.0,0.8704,0.0,0.1296,0.0,0.0,,0.419,0.0444
0.29,215,32,5,0,0.8532,0.0,0.8704,0.0,0.1296,0.0,0.0,,0.419,0.0444
0.3,219,28,5,0,0.869,0.0,0.8866,0.0,0.1134,0.0,0.0,,0.419,0.0444
0.31,220,27,5,0,0.873,0.0,0.8907,0.0,0.1093,0.0,0.0,,0.419,0.0444
0.32,220,27,5,0,0.873,0.0,0.8907,0.0,0.1093,0.0,0.0,,0.419,0.0444
0.33,221,26,5,0,0.877,0.0,0.8947,0.0,0.1053,0.0,0.0,,0.419,0.0444
0.34,224,23,5,0,0.8889,0.0,0.9069,0.0,0.0931,0.0,0.0,,0.419,0.0444
0.35,224,23,5,0,0.8889,0.0,0.9069,0.0,0.0931,0.0,0.0,,0.419,0.0444
0.36,224,23,5,0,0.8889,0.0,0.9069,0.0,0.0931,0.0,0.0,,0.419,0.0444
0.37,226,21,5,0,0.8968,0.0,0.915,0.0,0.085,0.0,0.0,,0.419,0.0444
0.38,226,21,5,0,0.8968,0.0,0.915,0.0,0.085,0.0,0.0,,0.419,0.0444
0.39,227,20,5,0,0.9008,0.0,0.919,0.0,0.081,0.0,0.0,,0.419,0.0444
0.4,227,20,5,0,0.9008,0.0,0.919,0.0,0.081,0.0,0.0,,0.419,0.0444
0.41,227,20,5,0,0.9008,0.0,0.919,0.0,0.081,0.0,0.0,,0.419,0.0444
0.42,227,20,5,0,0.9008,0.0,0.919,0.0,0.081,0.0,0.0,,0.419,0.0444
0.43,227,20,5,0,0.9008,0.0,0.919,0.0,0.081,0.0,0.0,,0.419,0.0444
0.44,231,16,5,0,0.9167,0.0,0.9352,0.0,0.0648,0.0,0.0,,0.419,0.0444
0.45,232,15,5,0,0.9206,0.0,0.9393,0.0,0.0607,0.0,0.0,,0.419,0.0444
0.46,232,15,5,0,0.9206,0.0,0.9393,0.0,0.0607,0.0,0.0,,0.419,0.0444
0.47,237,10,5,0,0.9405,0.0,0.9595,0.0,0.0405,0.0,0.0,,0.419,0.0444
0.48,239,8,5,0,0.9484,0.0,0.9676,0.0,0.0324,0.0,0.0,,0.419,0.0444
0.49,242,5,5,0,0.9603,0.0,0.9798,0.0,0.0202,0.0,0.0,,0.419,0.0444
0.5,244,3,5,0,0.9683,0.0,0.9879,0.0,0.0121,0.0,0.0,,0.419,0.0444
0.51,244,3,5,0,0.9683,0.0,0.9879,0.0,0.0121,0.0,0.0,,0.419,0.0444
0.52,245,2,5,0,0.9722,0.0,0.9919,0.0,0.0081,0.0,0.0,,0.419,0.0444
0.53,245,2,5,0,0.9722,0.0,0.9919,0.0,0.0081,0.0,0.0,,0.419,0.0444
0.54,245,2,5,0,0.9722,0.0,0.9919,0.0,0.0081,0.0,0.0,,0.419,0.0444
0.55,245,2,5,0,0.9722,0.0,0.9919,0.0,0.0081,0.0,0.0,,0.419,0.0444
0.56,246,1,5,0,0.9762,0.0,0.996,0.0,0.004,0.0,0.0,,0.419,0.0444
0.57,246,1,5,0,0.9762,0.0,0.996,0.0,0.004,0.0,0.0,,0.419,0.0444
0.58,246,1,5,0,0.9762,0.0,0.996,0.0,0.004,0.0,0.0,,0.419,0.0444
0.59,248,0,5,0,0.9802,0.0,1.0,0.0,0.0,0.0,0.0,,0.419,0.0444
0.6,248,0,5,0,0.9802,0.0,1.0,0.0,0.0,0.0,0.0,,0.419,0.0444
0.61,248,0,5,0,0.9802,0.0,1.0,0.0,0.0,0.0,0.0,,0.419,0.0444
0.62,248,0,5,0,0.9802,0.0,1.0,0.0,0.0,0.0,0.0,,0.419,0.0444
