,ROC-AUC,F-max
root:12M,0.5931,0.3515
root:3Y,0.6128,0.32
root:4M,0.7223,0.4959
root:5Y,0.6592,0.3243
root:B,0.7599,0.56
root:M,0.6595,0.3673
root:12M:C,0.4991,0.3505
root:12M:V,0.5077,0.0465
root:3Y:C,0.5808,0.3351
root:3Y:V,0.6849,0.125
root:4M:C,0.6183,0.4352
root:4M:V,0.7117,0.1224
root:5Y:C,0.7024,0.3636
root:5Y:V,0.4819,0.0452
root:B:C,0.8192,0.5905
root:B:V,0.6085,0.2857
