,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282603,0.07113557,0.21201076,0.017217474,0.541572,0.020147895,0.13791624
ERR4282604,0.1850054,0.14193368,0.42137513,0.047549795,0.04880322,0.15533276
ERR4282605,0.08663312,0.30408236,0.025079587,0.34523287,0.016802812,0.22216919
ERR4282606,0.060203146,0.013380802,0.85454226,0.006115262,0.046303805,0.019454814
ERR4282607,0.07025287,0.24234653,0.020437289,0.5207893,0.021270728,0.12490328
ERR4282608,0.06992364,0.23918879,0.022745468,0.4846967,0.025378682,0.15806665
ERR4282609,0.24527846,0.33887622,0.05645822,0.11820208,0.012346265,0.22883879
ERR4282610,0.040322673,0.051826764,0.008381827,0.096676916,0.1590405,0.6437513
ERR4282611,0.09121289,0.032176938,0.76823294,0.012080249,0.06820912,0.028087823
ERR4282612,0.1335446,0.38417658,0.029979989,0.2621698,0.014276774,0.17585222
ERR4282613,0.021528065,0.018714502,0.6498499,0.008132634,0.2820227,0.019752273
ERR4282614,0.10546385,0.36184466,0.023787761,0.330831,0.01479037,0.16328236
ERR4282615,0.1705232,0.4114985,0.043995805,0.16724855,0.011396661,0.1953373
ERR4282616,0.16265605,0.18054299,0.24643633,0.1553848,0.1611146,0.09386516
ERR4282617,0.077293634,0.011946335,0.60826105,0.008295398,0.24589036,0.048313223
ERR4282618,0.15051803,0.40542224,0.024077104,0.27785924,0.01092332,0.13120005
ERR4282622,0.06850934,0.1912343,0.022643724,0.18103088,0.027463596,0.5091182
ERR4282623,0.07843194,0.24065907,0.026321704,0.22562073,0.027293224,0.40167332
ERR4282624,0.728041,0.062184367,0.12811148,0.020998482,0.008653793,0.05201092
ERR4282625,0.28572488,0.32690307,0.038423646,0.062846676,0.0091550695,0.27694675
ERR4282626,0.05861681,0.018406099,0.85926163,0.0068903663,0.038109057,0.018715942
ERR4282627,0.62125736,0.046383355,0.19355026,0.018976755,0.044487674,0.075344615
ERR4282628,0.053986575,0.023597492,0.8665092,0.0070443903,0.032134607,0.016727727
ERR4282629,0.69402254,0.060146917,0.14739543,0.022223381,0.013223103,0.06298856
ERR4282630,0.08237837,0.3032824,0.030876325,0.30274075,0.024522174,0.25619996
ERR4282631,0.09662088,0.029107373,0.7871741,0.011959723,0.04577628,0.029361695
ERR4282632,0.083074756,0.3010412,0.026225513,0.38601127,0.021258462,0.18238878
ERR4282633,0.40395635,0.07517604,0.44263095,0.015546678,0.022154333,0.040535692
ERR4282634,0.07140595,0.17156327,0.018823648,0.3341278,0.027730186,0.37634912
ERR4282635,0.09643852,0.048558623,0.5837709,0.025940316,0.17309831,0.07219333
ERR4282636,0.06452148,0.18615967,0.023201661,0.14889027,0.026620021,0.55060685
ERR4282637,0.39024776,0.057752687,0.43563968,0.020656228,0.041863248,0.053840384
ERR4282638,0.12609363,0.41203472,0.032677922,0.16461737,0.011358087,0.25321835
ERR4282639,0.025400776,0.033247642,0.84610856,0.0076565933,0.030442394,0.057144064
