,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4282537,0.09294259,0.20619501,0.030518072,0.118869364,0.02662361,0.25774598,0.041929968,0.19159862,0.007093659,0.026483204
ERR4282540,0.03220426,0.07456559,0.016317619,0.0688982,0.0835574,0.46556675,0.032439552,0.078014225,0.051409546,0.09702675
ERR4282541,0.08508756,0.5534911,0.05380208,0.09770738,0.023607895,0.09522981,0.013869011,0.056924254,0.0049785157,0.015302352
ERR4282542,0.009137586,0.0025677094,0.0044484604,0.0068170284,0.0936573,0.82093155,0.02232084,0.022083592,0.0053358646,0.012700015
ERR4282543,0.009244819,0.008404797,0.006107749,0.0031793164,0.016081298,0.009157313,0.006789521,0.0058745774,0.8940251,0.041135475
ERR4282544,0.047580916,0.012056961,0.012932308,0.014488281,0.03201405,0.047046177,0.021984126,0.02043312,0.63022995,0.16123411
ERR4282545,0.016752237,0.03265033,0.012078162,0.035813916,0.09160339,0.7359939,0.019803114,0.02951352,0.006251513,0.0195398
ERR4282546,0.021486325,0.1297974,0.08496486,0.15338136,0.042152964,0.14383198,0.26032,0.12235251,0.009588225,0.03212433
ERR4282547,0.072209895,0.25803465,0.08147341,0.26773003,0.010211464,0.025773877,0.07735037,0.17889284,0.0071968143,0.021126617
ERR4282548,0.050088175,0.041584384,0.04841501,0.33736387,0.0055742348,0.010257269,0.11050117,0.3652876,0.008631907,0.02229634
ERR4282549,0.06894673,0.09633836,0.048759893,0.37118575,0.0062368317,0.01340783,0.075163074,0.29008302,0.008307104,0.021571347
ERR4282550,0.03838111,0.03544169,0.032086972,0.33798078,0.009490995,0.020332303,0.14905956,0.32936114,0.011678426,0.036187034
ERR4282551,0.052387822,0.07242618,0.04308071,0.35950592,0.0034634392,0.014124372,0.06177857,0.36854166,0.0041350825,0.020556254
ERR4282552,0.054855477,0.067470215,0.039724693,0.37757465,0.0036520744,0.014052843,0.062715314,0.35281712,0.004656985,0.022480613
ERR4282553,0.04826988,0.022165522,0.03411349,0.0044217,0.4890517,0.2903434,0.026435811,0.00904054,0.027905941,0.048252046
ERR4282554,0.195964,0.18116722,0.038133767,0.32117763,0.02152385,0.053602304,0.044006,0.05560172,0.006521953,0.08230157
ERR4282555,0.05088689,0.030766394,0.016278692,0.24332146,0.066466324,0.29193828,0.063532546,0.026792316,0.005825028,0.2041921
ERR4282556,0.054781683,0.069372274,0.044010643,0.3636194,0.0031922634,0.0124029005,0.058084,0.370556,0.0040518674,0.019928984
ERR4282557,0.04607244,0.022238487,0.02885686,0.009161134,0.19543996,0.15597782,0.018570561,0.0040288777,0.2228087,0.29684526
ERR4282558,0.04397806,0.03452212,0.037682917,0.3586399,0.0043478576,0.01241274,0.09608612,0.3747219,0.006356348,0.031252068
ERR4282559,0.17436968,0.4440599,0.073727526,0.11215127,0.02285607,0.019607285,0.025035338,0.04563824,0.022277437,0.06027718
ERR4282560,0.09661487,0.12982327,0.029493522,0.43500042,0.006313165,0.01613951,0.04525296,0.20122835,0.009427196,0.030706834
ERR4282561,0.045838866,0.15259667,0.02847954,0.088345684,0.059253383,0.44451207,0.043562807,0.10339559,0.0054795295,0.028535763
ERR4282562,0.0881682,0.6209238,0.058786735,0.07133337,0.027647406,0.07505017,0.00987044,0.02810178,0.005659509,0.014458553
ERR4282563,0.011244821,0.0018084288,0.0027523802,0.0102453055,0.041360248,0.83409363,0.027877137,0.044904493,0.0075909896,0.018122587
ERR4282564,0.113096096,0.064569116,0.012328345,0.28664488,0.024816705,0.08636077,0.11265848,0.09687994,0.03365086,0.16899477
ERR4282565,0.08787693,0.65177834,0.06235063,0.05728446,0.02650588,0.06569459,0.00806295,0.023407234,0.0049568275,0.0120821595
ERR4282566,0.050611105,0.0058234353,0.014170578,0.017822271,0.16896375,0.19304764,0.041136913,0.05202181,0.21337257,0.2430299
ERR4282567,0.016775437,0.012071572,0.0064127534,0.004943181,0.048083223,0.82644194,0.010660911,0.0057651494,0.023760363,0.045085482
ERR4282568,0.04564388,0.08697701,0.049106255,0.31135297,0.0037060434,0.018055063,0.08370759,0.3829589,0.0035904741,0.014901907
ERR4282569,0.07591211,0.15818562,0.047540866,0.35941023,0.00501534,0.017762572,0.049130227,0.26192763,0.0052236803,0.019891743
ERR4282570,0.4347433,0.13268693,0.060038242,0.018882077,0.1361048,0.11552927,0.015751792,0.029904304,0.023691082,0.032668274
ERR4282571,0.57430553,0.021666426,0.06749347,0.009477433,0.13367707,0.07600717,0.015089254,0.008461342,0.03148636,0.06233595
ERR4282572,0.055666808,0.02331477,0.02901086,0.0074158874,0.3481544,0.19048531,0.016630264,0.00774532,0.14968877,0.1718876
ERR4282573,0.07775541,0.5771188,0.091542706,0.10275032,0.013493629,0.03603275,0.03562465,0.04345679,0.0036066847,0.018618286
ERR4282574,0.04425865,0.21398005,0.03719497,0.054081656,0.12335173,0.45027384,0.01472596,0.026942052,0.011830509,0.02336057
ERR4282575,0.16509514,0.1079962,0.21530987,0.035393506,0.18552983,0.07601242,0.07054617,0.02232885,0.050853256,0.07093473
ERR4282576,0.068328544,0.22244635,0.041395754,0.23448533,0.0089982245,0.082396,0.046227243,0.27188358,0.0037350743,0.020103965
ERR4282577,0.04217474,0.019922858,0.020741345,0.3332433,0.036058784,0.17677759,0.12615556,0.057592783,0.0052067777,0.18212628
ERR4282578,0.026060367,0.027841954,0.009612939,0.048773397,0.087395586,0.6992939,0.02397975,0.04537237,0.0026372382,0.029032495
ERR4282579,0.061026674,0.28819215,0.07423118,0.22957171,0.021119542,0.0787687,0.08143163,0.12714064,0.007954729,0.030563008
ERR4282580,0.10441423,0.5419866,0.046758503,0.08215472,0.031124419,0.109899625,0.012450006,0.048553962,0.0058203395,0.016837593
ERR4282581,0.08407378,0.5727007,0.063162826,0.06651787,0.039951734,0.112157255,0.010539571,0.028919213,0.006499316,0.015477834
ERR4282582,0.13575038,0.12830488,0.079625316,0.017665492,0.22703855,0.23668666,0.060893416,0.020204123,0.025780113,0.068051085
ERR4282583,0.045748435,0.0669599,0.054628506,0.31331623,0.0035638008,0.012377401,0.085842766,0.39790964,0.004181181,0.0154720945
ERR4282584,0.029335652,0.009293835,0.011069475,0.005343392,0.030000351,0.019542035,0.014060312,0.009912285,0.7838485,0.08759417
ERR4282585,0.03343354,0.3788413,0.018444156,0.17099638,0.021067956,0.08858895,0.02659822,0.028720189,0.04339518,0.18991414
ERR4282586,0.051613096,0.12656832,0.10922601,0.0419612,0.19647309,0.31852365,0.05160093,0.017733866,0.026044184,0.060255636
ERR4282587,0.10506322,0.0700648,0.017452203,0.4913124,0.005290341,0.018862082,0.037960965,0.17536679,0.00908216,0.06954502
ERR4282588,0.011540657,0.001794091,0.002678087,0.0095351,0.03715233,0.8350658,0.027836308,0.047553554,0.007935303,0.018908946
ERR4282589,0.03096213,0.0027231763,0.0039632865,0.015117054,0.108291686,0.68805194,0.029720003,0.055618223,0.025032904,0.04051962
ERR4282590,0.053778112,0.03253134,0.020875188,0.34628654,0.011496002,0.094648145,0.20367672,0.1401816,0.008147569,0.08837874
ERR4282591,0.117483705,0.36414033,0.088778034,0.05113968,0.07473424,0.22131664,0.015034755,0.038511857,0.009230008,0.019630728
ERR4282592,0.012359013,0.020312376,0.011371225,0.0270996,0.086177155,0.7773331,0.018170051,0.028344339,0.0042820624,0.014551062
ERR4282593,0.012283592,0.035806794,0.02289151,0.027040645,0.13364553,0.6421798,0.03945321,0.009561996,0.01975816,0.057378735
ERR4282594,0.039445724,0.016133517,0.013948906,0.20875911,0.072050646,0.37695917,0.067797795,0.03292969,0.0048810546,0.16709447
ERR4282595,0.07738786,0.20217966,0.060324267,0.32450238,0.011764275,0.026876984,0.074606195,0.1852925,0.0097250175,0.027340882
ERR4282596,0.08980369,0.08634134,0.04601417,0.21868594,0.08123444,0.050640408,0.16723555,0.07144443,0.058626622,0.1299735
ERR4282597,0.046240013,0.09138231,0.055034913,0.3160565,0.008154378,0.021287415,0.12389342,0.3089192,0.007794847,0.02123698
ERR4282598,0.084215716,0.28809556,0.0791416,0.3011291,0.011635367,0.022630924,0.054072436,0.12576604,0.008146127,0.025167184
ERR4282599,0.041569512,0.15285636,0.03590125,0.06800461,0.0778496,0.5133404,0.026779467,0.05480672,0.0061266487,0.022765465
ERR4282600,0.046507176,0.09422216,0.033469487,0.34821138,0.004435784,0.032074604,0.084249005,0.3305712,0.0038160323,0.022443099
ERR4282601,0.105767354,0.44461113,0.049119435,0.194094,0.014664278,0.044255782,0.025131065,0.09155361,0.0076187304,0.02318464
ERR4282602,0.08988615,0.61835486,0.063244395,0.05819093,0.034190126,0.08321336,0.008851229,0.02428891,0.005975739,0.013804373
ERR4282603,0.0479818,0.04749349,0.03766943,0.37671673,0.0034606017,0.012075099,0.06521371,0.37843147,0.004819749,0.026137894
ERR4282604,0.024606839,0.030979162,0.01841004,0.067942664,0.078332536,0.6727793,0.02783367,0.04352966,0.008385551,0.027200704
ERR4282605,0.100619234,0.07847945,0.027453974,0.47209537,0.004965905,0.011630403,0.044156387,0.21740955,0.009271071,0.033918686
ERR4282606,0.018230231,0.008911442,0.026739268,0.0088431975,0.19137731,0.6137263,0.058497686,0.020655032,0.01050631,0.04251321
ERR4282607,0.056958992,0.05183891,0.043710925,0.3892152,0.0038485515,0.008866462,0.06747425,0.35047412,0.0062749805,0.021337664
ERR4282608,0.06846527,0.06757209,0.03354362,0.42918482,0.003955763,0.012700673,0.056182593,0.2973652,0.0060684164,0.024961596
ERR4282609,0.10367629,0.08027718,0.019389236,0.3377772,0.035538632,0.09205371,0.028445005,0.14259282,0.044347856,0.11590213
ERR4282610,0.11635482,0.14000082,0.046022024,0.039295956,0.12882367,0.07636512,0.047035266,0.013401799,0.100174524,0.292526
ERR4282611,0.032852303,0.045749113,0.024263889,0.0053713727,0.26561266,0.4945055,0.013847335,0.012718395,0.047561593,0.057517912
ERR4282612,0.056486767,0.1769661,0.0957333,0.267832,0.010273306,0.025760204,0.10842209,0.23232573,0.006824948,0.019375507
