,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4281777,0.07320326,0.020929156,0.83193195,0.012994927,0.037209783,0.023730826
ERR4281778,0.09696958,0.36281794,0.10634064,0.10832143,0.05718274,0.26836765
ERR4281779,0.10980485,0.4080641,0.01569968,0.29110375,0.004980969,0.17034665
ERR4281780,0.15541697,0.51999265,0.0480882,0.10130399,0.025800832,0.14939737
ERR4281781,0.21474192,0.14363864,0.15175176,0.10408881,0.113254584,0.27252424
ERR4281782,0.5615144,0.09337623,0.22449027,0.044030298,0.035576575,0.041012194
ERR4281783,0.08948613,0.32012036,0.029339526,0.28706878,0.010470934,0.2635143
ERR4281784,0.2798773,0.04018989,0.5507458,0.03309516,0.03258334,0.0635086
ERR4281785,0.02624054,0.059074618,0.2019769,0.032051224,0.6379922,0.04266451
ERR4281786,0.29899058,0.42201927,0.044718295,0.11630102,0.014673594,0.10329723
ERR4281787,0.69129455,0.093462616,0.10964254,0.049971312,0.019192753,0.036436234
ERR4281788,0.051393148,0.16763164,0.03726342,0.2985282,0.016003314,0.42918035
ERR4281789,0.045379627,0.012602255,0.62935066,0.007983958,0.26739576,0.037287746
ERR4281790,0.08946062,0.31091496,0.0299678,0.26726472,0.012793331,0.28959858
ERR4281791,0.6316068,0.07506633,0.20380326,0.03757152,0.018892791,0.033059258
ERR4281792,0.68740934,0.09096833,0.14137223,0.036166765,0.010517111,0.03356611
ERR4281793,0.510623,0.22749671,0.10187896,0.08564879,0.011039574,0.063313015
ERR4281794,0.10158505,0.09658403,0.064367965,0.05743189,0.21206081,0.46797025
ERR4281795,0.14226522,0.036492165,0.6810387,0.022696797,0.06875105,0.048756123
ERR4281796,0.057807993,0.2028047,0.04145357,0.33856508,0.011950007,0.34741864
ERR4281797,0.046273176,0.12354345,0.055420827,0.24862473,0.022742264,0.5033956
ERR4281798,0.051076293,0.13054281,0.01864998,0.17245385,0.028107064,0.59917
ERR4281799,0.5506863,0.06905498,0.29107308,0.034801316,0.02058022,0.033804055
ERR4281800,0.03140152,0.08279385,0.024922047,0.18184829,0.030300898,0.6487334
ERR4281801,0.056415312,0.013166116,0.46894613,0.009753963,0.37131292,0.08040556
ERR4281802,0.03421677,0.13975196,0.02716801,0.17711769,0.02335047,0.59839505
ERR4281803,0.38273242,0.19022496,0.06250103,0.10548844,0.09367438,0.16537881
ERR4281804,0.07461059,0.017609488,0.83863884,0.012576122,0.037656896,0.018907987
ERR4281805,0.4473317,0.18553978,0.046680715,0.071404226,0.09896856,0.15007511
ERR4281806,0.11253557,0.39535993,0.017080823,0.29178807,0.00557958,0.17765598
ERR4281807,0.5846752,0.07731906,0.24291183,0.034821995,0.016376523,0.043895386
ERR4281808,0.07795891,0.26913863,0.020464577,0.26231572,0.0125333145,0.35758877
ERR4281809,0.2661103,0.17300233,0.02433015,0.31858763,0.011437031,0.20653261
ERR4281810,0.06958911,0.22221026,0.025589949,0.2837916,0.014144081,0.38467506
ERR4281811,0.5984073,0.17606622,0.09403258,0.058247276,0.018204736,0.055041827
ERR4281812,0.09255539,0.32194522,0.020754201,0.30247974,0.008207953,0.25405744
ERR4281813,0.7291013,0.07927403,0.11714315,0.031151187,0.008861027,0.03446924
ERR4281814,0.06576942,0.20478533,0.023120355,0.2582422,0.016418103,0.43166456
ERR4281815,0.73613036,0.07052393,0.121985465,0.030947588,0.009407495,0.031005088
ERR4281816,0.72501785,0.08040365,0.118257985,0.032019716,0.009429516,0.034871303
ERR4281817,0.0051846523,0.0030400213,0.02674576,0.006253622,0.9511422,0.00763381
ERR4281818,0.029362943,0.07650925,0.02424783,0.17424475,0.031439725,0.6641955
ERR4281819,0.351488,0.1483947,0.16452761,0.072735585,0.11725871,0.14559549
