,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4281817,0.03775474,0.04836085,0.13099693,0.021839324,0.20157376,0.05201828,0.06151529,0.011038659,0.32599983,0.10890237
ERR4281818,0.04669218,0.114256315,0.41688785,0.03926778,0.09260675,0.031789325,0.110293634,0.028343167,0.06371146,0.056151617
ERR4281819,0.1316543,0.13310303,0.013500615,0.19057103,0.06013938,0.267561,0.0430586,0.047131497,0.034219097,0.07906141
ERR4281820,0.33571696,0.3513671,0.09516544,0.038080946,0.041991435,0.021234956,0.04191548,0.03538768,0.014449611,0.024690343
ERR4281821,0.24670784,0.3491011,0.10881645,0.07361217,0.05003415,0.04339568,0.038706448,0.037057985,0.020177819,0.03239039
ERR4281822,0.068825,0.077302866,0.011770014,0.12640266,0.06563319,0.32741395,0.0322936,0.03346031,0.055486232,0.20141211
ERR4281823,0.09436983,0.049325142,0.18798654,0.047944415,0.026012275,0.0062924754,0.27732253,0.27531138,0.020764777,0.0146706095
ERR4281824,0.06278938,0.06333737,0.037352696,0.07087392,0.13225693,0.21002859,0.17777653,0.057205237,0.059584476,0.12879492
ERR4281825,0.08979164,0.38444433,0.08377915,0.23971659,0.0116653815,0.023521945,0.07548088,0.06665609,0.009943228,0.0150008965
ERR4281826,0.037457235,0.24734192,0.04346239,0.014408568,0.04261047,0.32324618,0.09051172,0.008335175,0.023873579,0.16875276
ERR4281827,0.06810004,0.13519895,0.05056443,0.07860334,0.14924099,0.19409774,0.067684494,0.017993286,0.07351207,0.1650046
ERR4281828,0.046377573,0.056157984,0.15740867,0.041635543,0.1672096,0.06140762,0.079657465,0.02275603,0.22230361,0.14508595
ERR4281829,0.07544321,0.051548664,0.13805304,0.23926407,0.03508708,0.03174593,0.10303742,0.2206851,0.056428246,0.04870726
ERR4281830,0.06978227,0.069020934,0.013879221,0.15998569,0.061677087,0.29415914,0.04729395,0.036360785,0.053144768,0.19469613
ERR4281831,0.24194673,0.42330405,0.030817347,0.06814552,0.0629361,0.052859027,0.039311606,0.010967069,0.029869653,0.039842833
ERR4281832,0.03023298,0.039929643,0.023823561,0.010972943,0.310701,0.38395762,0.024377696,0.009888659,0.09958906,0.06652673
ERR4281833,0.0581551,0.35816392,0.054899763,0.0330603,0.09139578,0.18012561,0.11404356,0.014267626,0.019920144,0.075968176
ERR4281834,0.17590986,0.14225073,0.0969793,0.03429109,0.10900918,0.06277348,0.22381312,0.09467601,0.023039395,0.037257783
ERR4281835,0.036840774,0.022609133,0.091437824,0.12991464,0.024969472,0.015955767,0.19758403,0.45449895,0.017252363,0.008937039
ERR4281836,0.24871764,0.17968836,0.2102437,0.027550533,0.12521535,0.035603747,0.049853154,0.057205427,0.040387537,0.025534542
ERR4281837,0.04931733,0.032459605,0.14669222,0.0614414,0.08448428,0.041186824,0.3065511,0.15872876,0.06028934,0.058849156
ERR4281838,0.3880169,0.18096054,0.10503575,0.020271732,0.11361525,0.026639586,0.049972452,0.06555415,0.02998849,0.01994515
ERR4281839,0.09402785,0.18426774,0.28406075,0.07831272,0.041833006,0.0125467535,0.18790144,0.068574674,0.026051322,0.022423787
ERR4281840,0.053709634,0.07449947,0.015574387,0.09855291,0.06645734,0.35513377,0.0282623,0.025852576,0.05355472,0.22840288
ERR4281841,0.035751026,0.09951356,0.075343296,0.04086183,0.08530115,0.090058506,0.45405653,0.039383743,0.013273589,0.06645666
ERR4281842,0.012789711,0.04331302,0.0429553,0.0033761216,0.0773368,0.054152593,0.010240452,0.005822433,0.6930815,0.05693199
ERR4281843,0.17820458,0.13417305,0.03926612,0.03347877,0.19469318,0.103630684,0.090329304,0.027611647,0.07618393,0.12242867
