,ROC-AUC,F-max
root:12M,0.816,0.5714
root:3Y,0.7925,0.4259
root:4M,0.8968,0.6609
root:5Y,0.8352,0.4854
root:B,0.9194,0.68
root:M,0.7614,0.473
root:12M:C,0.8064,0.0385
root:12M:V,0.8286,0.6234
root:3Y:C,0.7769,0.0303
root:3Y:V,0.7755,0.4848
root:4M:C,1.0,1.0
root:4M:V,0.7907,0.6065
root:5Y:C,0.7769,0.0333
root:5Y:V,0.8096,0.5512
root:B:V,0.8743,0.4602
