,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4281055,0.06082616,0.21924545,0.06277789,0.15287142,0.044910327,0.1497163,0.08281772,0.1110877,0.03143981,0.084307194
ERR4281016,0.048262205,0.23267195,0.06386013,0.16962801,0.042789966,0.14686058,0.092399,0.0858868,0.030357692,0.08728374
ERR4281054,0.101468734,0.121557266,0.04020876,0.10633503,0.08335784,0.24087404,0.03997669,0.13842751,0.06598628,0.061807774
ERR4281017,0.06938801,0.20500539,0.06549332,0.15695448,0.04341081,0.14616984,0.06622451,0.11470848,0.03050128,0.10214392
ERR4281061,0.079189375,0.08341026,0.056177687,0.07727154,0.16427496,0.1348486,0.05922138,0.122493066,0.16342989,0.05968331
ERR4281018,0.029535247,0.03170293,0.054602712,0.058951363,0.29023516,0.15853673,0.03774727,0.08929205,0.21357146,0.03582506
ERR4281060,0.04313173,0.15802287,0.100600846,0.14795178,0.061087336,0.12156908,0.13418972,0.08291447,0.09142485,0.059107296
ERR4281019,0.0439658,0.15271465,0.10094276,0.13343208,0.07484739,0.10449613,0.13844849,0.087878875,0.09741727,0.06585651
ERR4281062,0.06083812,0.21932562,0.062731974,0.1529086,0.04485726,0.14981106,0.08274996,0.111089565,0.031389184,0.08429875
ERR4281020,0.07872954,0.0828996,0.056147568,0.07715178,0.16534492,0.13518785,0.058971863,0.12250089,0.16344196,0.059624027
ERR4281063,0.06081159,0.21918787,0.06281289,0.15286438,0.044937503,0.14967395,0.08286726,0.11107083,0.03147736,0.08429638
ERR4281021,0.06078126,0.21909213,0.06287004,0.1528849,0.044960078,0.14965834,0.08294561,0.11102477,0.031539008,0.08424393
ERR4281064,0.045597035,0.15654835,0.09859853,0.13314804,0.07531828,0.10464027,0.1345886,0.09096315,0.09135419,0.06924353
ERR4281022,0.04929564,0.15464865,0.09394146,0.11438095,0.09681076,0.08478462,0.13162088,0.10267651,0.08608136,0.08575917
ERR4281065,0.102179654,0.123223685,0.03922518,0.1074975,0.07976601,0.24694367,0.03884245,0.13841379,0.06236895,0.061539173
ERR4281023,0.081544764,0.08664376,0.0552458,0.07974387,0.15774381,0.14173396,0.058030006,0.12488508,0.15390469,0.060524315
ERR4281066,0.05047807,0.16324347,0.093172275,0.12827815,0.08035457,0.09969455,0.12390015,0.100452535,0.07861874,0.08180741
