,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.0976,1.0,0.0,1.0,1.0,1.0,0.0976,0.1738,0.3444,0.6624
1,0.0976,1.0,0.0,1.0,1.0,1.0,0.0976,0.1738,0.3444,0.6624
2,0.0993,0.9947,0.0021,0.9947,0.9979,0.9947,0.0975,0.1734,0.3444,0.6624
3,0.1065,0.9947,0.0097,0.9947,0.9902,0.9947,0.0979,0.1742,0.3444,0.6624
4,0.13,0.9947,0.0345,0.9947,0.9655,0.9947,0.0994,0.1768,0.3444,0.6624
5,0.1832,0.9889,0.092,0.9889,0.908,0.9889,0.1034,0.1836,0.3444,0.6624
6,0.3638,0.9181,0.2906,0.9181,0.7094,0.9181,0.1268,0.2189,0.3444,0.6624
7,0.4061,0.9063,0.3386,0.9063,0.6614,0.9063,0.1388,0.234,0.3444,0.6624
8,0.4755,0.8391,0.4234,0.8391,0.5766,0.8391,0.1471,0.2374,0.3444,0.6624
9,0.5542,0.7301,0.5188,0.7301,0.4812,0.7301,0.1393,,0.3444,0.6624
10,0.6084,0.644,0.5857,0.644,0.4143,0.644,0.137,,0.3444,0.6624
11,0.6456,0.606,0.6335,0.606,0.3665,0.606,0.1376,,0.3444,0.6624
12,0.7065,0.476,0.7208,0.476,0.2792,0.476,0.1311,,0.3444,0.6624
13,0.7534,0.4159,0.779,0.4159,0.221,0.4159,0.137,,0.3444,0.6624
14,0.7956,0.3397,0.8363,0.3397,0.1637,0.3397,0.1438,,0.3444,0.6624
15,0.8436,0.2979,0.8944,0.2979,0.1056,0.2979,0.1618,,0.3444,0.6624
16,0.8578,0.2839,0.912,0.2839,0.088,0.2839,0.2264,,0.3444,0.6624
17,0.8583,0.2024,0.9211,0.2024,0.0789,0.2024,0.1495,,0.3444,0.6624
18,0.8645,0.1778,0.9339,0.1778,0.0661,0.1778,0.1507,,0.3444,0.6624
19,0.8696,0.1687,0.9415,0.1687,0.0585,0.1687,0.1677,,0.3444,0.6624
20,0.8775,0.1613,0.9532,0.1613,0.0468,0.1613,0.1722,,0.3444,0.6624
21,0.8874,0.1326,0.9689,0.1326,0.0311,0.1326,0.1821,,0.3444,0.6624
22,0.8986,0.1023,0.9901,0.1023,0.0099,0.1023,0.1586,,0.3444,0.6624
23,0.8979,0.0708,0.9914,0.0708,0.0086,0.0708,0.1,,0.3444,0.6624
24,0.8987,0.0708,0.9923,0.0708,0.0077,0.0708,0.1023,,0.3444,0.6624
25,0.9023,0.0708,0.9962,0.0708,0.0038,0.0708,0.1179,,0.3444,0.6624
26,0.9019,0.0521,0.997,0.0521,0.003,0.0521,0.1083,,0.3444,0.6624
27,0.9027,0.041,0.9983,0.041,0.0017,0.041,0.1429,,0.3444,0.6624
28,0.9023,0.0188,0.9987,0.0188,0.0013,0.0188,0.05,,0.3444,0.6624
