,ROC-AUC,F-max
root:12M,0.6772,0.4366
root:3Y,0.7364,0.4615
root:4M,0.7137,0.56
root:5Y,0.673,0.3448
root:B,0.4602,0.3704
root:M,0.5484,0.3168
root:12M:C,0.4315,0.1412
root:12M:V,0.5325,0.3507
root:3Y:C,0.6226,0.1818
root:3Y:V,0.5634,0.3408
root:4M:C,0.807,0.4
root:4M:V,0.7584,0.4773
root:5Y:C,0.6986,0.3529
root:5Y:V,0.6541,0.239
root:B:C,0.933,0.7059
root:B:V,0.6231,0.254
