,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.0984,1.0,0.0,1.0,1.0,1.0,0.0984,0.1685,0.3633,0.7855
1,0.1794,0.9981,0.0849,0.9981,0.9151,0.9981,0.1012,0.1731,0.3633,0.7855
2,0.289,0.9915,0.2043,0.9915,0.7957,0.9915,0.1107,0.1877,0.3633,0.7855
3,0.3829,0.9515,0.3074,0.9515,0.6926,0.9515,0.1189,0.1998,0.3633,0.7855
4,0.4686,0.9061,0.4071,0.9061,0.5929,0.9061,0.1297,0.2137,0.3633,0.7855
5,0.5483,0.8772,0.495,0.8772,0.505,0.8772,0.1442,0.2339,0.3633,0.7855
6,0.6051,0.873,0.5587,0.873,0.4413,0.873,0.159,0.2533,0.3633,0.7855
7,0.6574,0.7729,0.6212,0.7729,0.3788,0.7729,0.1679,0.2604,0.3633,0.7855
8,0.7064,0.7505,0.6764,0.7505,0.3236,0.7505,0.1804,0.2759,0.3633,0.7855
9,0.7384,0.7004,0.7147,0.7004,0.2853,0.7004,0.1905,0.2849,0.3633,0.7855
10,0.7656,0.6427,0.7476,0.6427,0.2524,0.6427,0.1953,,0.3633,0.7855
11,0.7829,0.5964,0.7718,0.5964,0.2282,0.5964,0.1953,,0.3633,0.7855
12,0.794,0.577,0.788,0.577,0.212,0.577,0.201,,0.3633,0.7855
13,0.8088,0.5197,0.8084,0.5197,0.1916,0.5197,0.2082,,0.3633,0.7855
14,0.8158,0.4925,0.8204,0.4925,0.1796,0.4925,0.2109,,0.3633,0.7855
15,0.8266,0.473,0.8356,0.473,0.1644,0.473,0.22,,0.3633,0.7855
16,0.8344,0.4349,0.847,0.4349,0.153,0.4349,0.2232,,0.3633,0.7855
17,0.842,0.3997,0.8581,0.3997,0.1419,0.3997,0.258,,0.3633,0.7855
18,0.8499,0.3886,0.8702,0.3886,0.1298,0.3886,0.2639,,0.3633,0.7855
19,0.8536,0.3828,0.8761,0.3828,0.1239,0.3828,0.2675,,0.3633,0.7855
20,0.8608,0.3784,0.8852,0.3784,0.1148,0.3784,0.2826,,0.3633,0.7855
21,0.866,0.3784,0.8914,0.3784,0.1086,0.3784,0.296,,0.3633,0.7855
22,0.8688,0.3652,0.8981,0.3652,0.1019,0.3652,0.3066,,0.3633,0.7855
23,0.8693,0.324,0.903,0.324,0.097,0.324,0.3128,,0.3633,0.7855
24,0.8728,0.3164,0.9087,0.3164,0.0913,0.3164,0.3638,,0.3633,0.7855
25,0.8769,0.3108,0.9151,0.3108,0.0849,0.3108,0.3686,,0.3633,0.7855
26,0.8817,0.2881,0.9263,0.2881,0.0736,0.2881,0.3701,,0.3633,0.7855
27,0.8862,0.283,0.9331,0.283,0.0669,0.283,0.377,,0.3633,0.7855
28,0.8871,0.2667,0.9381,0.2667,0.0619,0.2667,0.3745,,0.3633,0.7855
29,0.8871,0.2667,0.9381,0.2667,0.0619,0.2667,0.3745,,0.3633,0.7855
30,0.8928,0.245,0.949,0.245,0.051,0.245,0.3812,,0.3633,0.7855
31,0.8936,0.2298,0.9537,0.2298,0.0463,0.2298,0.3892,,0.3633,0.7855
32,0.8942,0.2075,0.9591,0.2075,0.0409,0.2075,0.3628,,0.3633,0.7855
33,0.8938,0.1883,0.9601,0.1883,0.0399,0.1883,0.2627,,0.3633,0.7855
34,0.8966,0.1798,0.9654,0.1798,0.0346,0.1798,0.2679,,0.3633,0.7855
35,0.8983,0.1734,0.9691,0.1734,0.0309,0.1734,0.2782,,0.3633,0.7855
36,0.8973,0.1556,0.9713,0.1556,0.0287,0.1556,0.2183,,0.3633,0.7855
37,0.9001,0.1556,0.9748,0.1556,0.0253,0.1556,0.2283,,0.3633,0.7855
38,0.8991,0.1444,0.9763,0.1444,0.0237,0.1444,0.162,,0.3633,0.7855
39,0.8999,0.1426,0.9778,0.1426,0.0222,0.1426,0.1662,,0.3633,0.7855
40,0.9007,0.1406,0.9793,0.1406,0.0207,0.1406,0.171,,0.3633,0.7855
41,0.9005,0.1336,0.9806,0.1336,0.0194,0.1336,0.1757,,0.3633,0.7855
42,0.9018,0.1317,0.9824,0.1317,0.0176,0.1317,0.1765,,0.3633,0.7855
43,0.9018,0.1279,0.9834,0.1279,0.0166,0.1279,0.1777,,0.3633,0.7855
44,0.9037,0.1279,0.9857,0.1279,0.0143,0.1279,0.1862,,0.3633,0.7855
45,0.9026,0.1215,0.9862,0.1215,0.0138,0.1215,0.1849,,0.3633,0.7855
46,0.9032,0.1164,0.9881,0.1164,0.0119,0.1164,0.1906,,0.3633,0.7855
47,0.9039,0.1101,0.9905,0.1101,0.0095,0.1101,0.1678,,0.3633,0.7855
48,0.9061,0.1101,0.9935,0.1101,0.0065,0.1101,0.1883,,0.3633,0.7855
49,0.9061,0.1101,0.9935,0.1101,0.0065,0.1101,0.1883,,0.3633,0.7855
50,0.9065,0.1082,0.9944,0.1082,0.0056,0.1082,0.1919,,0.3633,0.7855
51,0.9069,0.1082,0.9948,0.1082,0.0052,0.1082,0.1919,,0.3633,0.7855
52,0.9069,0.1048,0.9954,0.1048,0.0046,0.1048,0.1952,,0.3633,0.7855
53,0.9069,0.1048,0.9954,0.1048,0.0046,0.1048,0.1952,,0.3633,0.7855
54,0.9069,0.1048,0.9954,0.1048,0.0046,0.1048,0.1952,,0.3633,0.7855
55,0.9049,0.0915,0.9964,0.0915,0.0036,0.0915,0.2092,,0.3633,0.7855
56,0.9045,0.0896,0.9964,0.0896,0.0036,0.0896,0.2067,,0.3633,0.7855
57,0.9045,0.0896,0.9964,0.0896,0.0036,0.0896,0.2067,,0.3633,0.7855
58,0.9045,0.0877,0.9968,0.0877,0.0032,0.0877,0.2036,,0.3633,0.7855
59,0.9022,0.0782,0.9968,0.0782,0.0032,0.0782,0.1,,0.3633,0.7855
60,0.9022,0.0782,0.9968,0.0782,0.0032,0.0782,0.1,,0.3633,0.7855
61,0.9027,0.0782,0.9973,0.0782,0.0027,0.0782,0.1067,,0.3633,0.7855
62,0.9027,0.0782,0.9973,0.0782,0.0027,0.0782,0.1067,,0.3633,0.7855
63,0.9027,0.0744,0.9983,0.0744,0.0017,0.0744,0.12,,0.3633,0.7855
64,0.9027,0.0744,0.9983,0.0744,0.0017,0.0744,0.12,,0.3633,0.7855
65,0.9027,0.0744,0.9983,0.0744,0.0017,0.0744,0.12,,0.3633,0.7855
66,0.9023,0.0724,0.9983,0.0724,0.0017,0.0724,0.115,,0.3633,0.7855
67,0.9023,0.0724,0.9983,0.0724,0.0017,0.0724,0.115,,0.3633,0.7855
68,0.9023,0.0724,0.9983,0.0724,0.0017,0.0724,0.115,,0.3633,0.7855
69,0.9019,0.0391,0.9983,0.0391,0.0017,0.0391,0.1,,0.3633,0.7855
70,0.9023,0.0391,0.9987,0.0391,0.0013,0.0391,0.1083,,0.3633,0.7855
71,0.9023,0.0391,0.9987,0.0391,0.0013,0.0391,0.1083,,0.3633,0.7855
72,0.9019,0.0372,0.9987,0.0372,0.0013,0.0372,0.1,,0.3633,0.7855
73,0.9019,0.0038,0.9991,0.0038,0.0009,0.0038,0.0667,,0.3633,0.7855
74,0.9019,0.0038,0.9991,0.0038,0.0009,0.0038,0.0667,,0.3633,0.7855
75,0.9023,0.0038,0.9995,0.0038,0.0005,0.0038,0.0667,,0.3633,0.7855
76,0.9019,0.0019,0.9995,0.0019,0.0005,0.0019,0.05,,0.3633,0.7855
77,0.9023,0.0019,1.0,0.0019,0.0,0.0019,0.1,,0.3633,0.7855
78,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3633,0.7855
79,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3633,0.7855
80,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3633,0.7855
81,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3633,0.7855
82,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3633,0.7855
