,ROC-AUC,F-max
root:12M,0.7684,0.5138
root:3Y,0.6895,0.3958
root:4M,0.8694,0.6842
root:5Y,0.7389,0.4341
root:B,0.9355,0.5926
root:M,0.7959,0.5079
root:12M:C,0.7747,0.1538
root:12M:V,0.7987,0.5441
root:3Y:C,0.751,0.0822
root:3Y:V,0.7019,0.4331
root:4M:C,0.8699,0.1429
root:4M:V,0.7889,0.5778
root:5Y:C,0.6692,0.25
root:5Y:V,0.7745,0.4744
root:B:C,0.8886,0.5
root:B:V,0.8372,0.475
