,ROC-AUC,F-max
root:12M,0.8097,0.5789
root:3Y,0.7118,0.4229
root:4M,0.9235,0.7244
root:5Y,0.8414,0.512
root:B,0.9099,0.5581
root:M,0.7651,0.4106
root:12M:C,0.2012,0.0089
root:12M:V,0.7919,0.5833
root:3Y:C,0.5359,0.0154
root:3Y:V,0.7652,0.5283
root:4M:C,0.9382,0.1111
root:4M:V,0.8616,0.6614
root:5Y:C,0.512,0.0153
root:5Y:V,0.8496,0.6034
root:B:C,1.0,1.0
root:B:V,0.8501,0.5122
