,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282283,0.45538017,0.24217144,0.043579273,0.11750173,0.022543631,0.11882383
ERR4282284,0.079863295,0.5422921,0.015571109,0.08277652,0.0071434677,0.27235356
ERR4282285,0.043830987,0.16925846,0.035803743,0.3253085,0.015342507,0.41045582
ERR4282286,0.50145143,0.2222552,0.039775334,0.065549925,0.017604498,0.15336359
ERR4282287,0.05660055,0.16480944,0.039772183,0.42097592,0.01202683,0.30581507
ERR4282288,0.23526002,0.3484705,0.03289963,0.22521275,0.012511926,0.1456451
ERR4282289,0.111458294,0.50069004,0.020950168,0.1602013,0.009012485,0.19768766
ERR4282290,0.3055848,0.3411911,0.039676413,0.14712365,0.01958576,0.14683829
ERR4282291,0.5261023,0.20403738,0.045300126,0.07882364,0.019632982,0.12610364
ERR4282292,0.11406896,0.047524933,0.6176619,0.02003388,0.019923173,0.18078715
ERR4282293,0.003447707,0.0057472554,0.015431451,0.021905117,0.93670416,0.01676428
ERR4282294,0.04852312,0.02957178,0.81774634,0.008453381,0.022388777,0.07331655
ERR4282295,0.69564605,0.08275968,0.096903466,0.058758717,0.015087713,0.05084428
ERR4282296,0.17922518,0.2943848,0.02762944,0.33167404,0.006588545,0.16049801
ERR4282297,0.46532834,0.18279794,0.12526788,0.07840174,0.030972652,0.11723143
ERR4282298,0.11227446,0.52379113,0.018677345,0.17291519,0.007992213,0.16434962
ERR4282299,0.06297286,0.017561652,0.8417387,0.0077046435,0.041565716,0.02845637
ERR4282300,0.030182218,0.058296893,0.02016535,0.25924563,0.03640376,0.59570616
ERR4282301,0.46802503,0.21312673,0.062420867,0.15859316,0.017862689,0.07997155
ERR4282302,0.49204156,0.13863145,0.07989958,0.14363503,0.013188564,0.13260373
ERR4282303,0.56555134,0.08447544,0.23394343,0.030038368,0.012520505,0.07347091
ERR4282304,0.026761774,0.006673445,0.9070386,0.007619061,0.021050217,0.030856814
ERR4282305,0.0034504733,0.00575385,0.015442225,0.02189524,0.93667734,0.016780803
ERR4282306,0.6574352,0.11540797,0.06378777,0.07422842,0.01758635,0.07155432
ERR4282307,0.12424085,0.50163615,0.021866905,0.1146376,0.011023756,0.22659478
ERR4282308,0.20013806,0.43862304,0.029263498,0.15718547,0.013024895,0.16176505
ERR4282309,0.09107701,0.03649193,0.7553571,0.013497826,0.029322896,0.074253336
ERR4282310,0.22852498,0.40023288,0.034883384,0.12966087,0.015200789,0.19149706
ERR4282311,0.21040459,0.08532202,0.4503868,0.030389499,0.017682966,0.20581406
ERR4282312,0.56471395,0.16379821,0.06296303,0.09864947,0.019177329,0.09069798
ERR4282313,0.032339774,0.09671883,0.020353952,0.11781539,0.04872705,0.684045
ERR4282314,0.113038495,0.049704395,0.6583017,0.017612847,0.020177139,0.14116547
ERR4282315,0.0062445076,0.009702086,0.027993605,0.023016272,0.90557146,0.027472122
ERR4282316,0.071242906,0.31501725,0.029577155,0.28524795,0.0108423615,0.28807244
ERR4282317,0.7946278,0.038222257,0.11290403,0.020682715,0.009609954,0.023953335
ERR4282318,0.6229104,0.12553467,0.081713885,0.07703264,0.017725803,0.07508266
ERR4282319,0.7120311,0.0814453,0.083174266,0.055806436,0.015118663,0.052424207
ERR4282320,0.72662807,0.046470296,0.15440711,0.032899324,0.012714326,0.026880778
ERR4282321,0.07938963,0.25052992,0.030835848,0.43269172,0.0074380417,0.19911486
ERR4282322,0.029188985,0.0056056157,0.5837405,0.012023962,0.3541785,0.015262411
ERR4282323,0.40429664,0.1675989,0.16698414,0.071694955,0.022168135,0.1672573
ERR4282324,0.7495215,0.05455657,0.106348075,0.042079043,0.012076209,0.035418686
ERR4282325,0.2813063,0.29098126,0.029253794,0.06285352,0.006999497,0.32860568
ERR4282326,0.09868161,0.47374606,0.021352012,0.19403622,0.007877021,0.2043071
ERR4282327,0.68953466,0.051934987,0.1836309,0.030274803,0.01675095,0.027873725
ERR4282328,0.1654044,0.47726846,0.024588969,0.15822567,0.013579707,0.1609328
ERR4282329,0.12980135,0.023703558,0.76326954,0.009711363,0.049258266,0.024255961
ERR4282330,0.32631546,0.33129385,0.039968334,0.13466504,0.018501177,0.14925608
ERR4282331,0.0034711168,0.0058052232,0.015571962,0.02189541,0.9363716,0.016884556
ERR4282332,0.09906488,0.4445012,0.018512376,0.3037327,0.006241244,0.12794766
ERR4282333,0.46928403,0.1337762,0.06360776,0.19218726,0.0131029375,0.12804182
ERR4282334,0.24981163,0.17492586,0.043440573,0.21721497,0.0059992657,0.30860773
ERR4282335,0.52800554,0.14600836,0.14223148,0.06471525,0.015062657,0.10397668
ERR4282336,0.12327803,0.37421107,0.020242594,0.36207268,0.005848827,0.114346735
ERR4282337,0.0036195915,0.0060543693,0.015770078,0.021397036,0.93540937,0.017749477
