,ROC-AUC,F-max
root:12M,0.7314,0.4662
root:3Y,0.552,0.3391
root:4M,0.8865,0.6847
root:5Y,0.7453,0.3836
root:B,0.8505,0.5417
root:M,0.836,0.5138
root:12M:C,0.672,0.0508
root:12M:V,0.6927,0.4223
root:3Y:C,0.454,0.0217
root:3Y:V,0.7224,0.4526
root:4M:C,0.8335,0.1
root:4M:V,0.6962,0.5496
root:5Y:C,0.7032,0.0192
root:5Y:V,0.7159,0.4615
root:B:C,0.6847,0.1429
root:B:V,0.2353,0.2316
