,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4281270,0.049852323,0.090847865,0.037124775,0.06717798,0.22549881,0.18218298,0.020840755,0.08680791,0.19354032,0.046126254
ERR4281271,0.08981232,0.22508949,0.074789055,0.08580306,0.04659253,0.15240458,0.123499446,0.057505183,0.037612896,0.10689144
ERR4281272,0.06595134,0.20766452,0.056740884,0.17158076,0.042432293,0.10998957,0.08366183,0.15470338,0.029445922,0.077829555
ERR4281273,0.066337876,0.20716795,0.056676704,0.17104192,0.042472806,0.1099629,0.083397,0.15579346,0.029458087,0.077691406
ERR4281274,0.070850596,0.060323495,0.052463707,0.054654885,0.14729166,0.3463323,0.04378719,0.060599327,0.103595644,0.06010114
ERR4281275,0.13730873,0.19058275,0.07473064,0.08878197,0.04039848,0.14845718,0.06341657,0.06240115,0.03312976,0.1607927
ERR4281276,0.050622024,0.087075174,0.035712413,0.06525468,0.22879216,0.1846167,0.019726822,0.086888745,0.19665444,0.044656835
ERR4281277,0.06565478,0.2022117,0.05936591,0.16736163,0.046279192,0.1053203,0.08830216,0.15621829,0.03211153,0.07717463
ERR4281278,0.070925504,0.06015172,0.052334383,0.054554537,0.14746104,0.34666047,0.04362092,0.060601413,0.10370787,0.059982084
ERR4281279,0.06814104,0.075449236,0.057194896,0.06095492,0.13491236,0.3174186,0.058785975,0.06302018,0.100281656,0.063841164
ERR4281280,0.06655627,0.2069905,0.057189032,0.1727968,0.04200332,0.10944076,0.08175846,0.1542475,0.029148271,0.07986906
ERR4281281,0.06672497,0.20671435,0.05682368,0.17129184,0.042325743,0.109741606,0.08256446,0.15605395,0.02934979,0.078409545
ERR4281282,0.066771805,0.20649703,0.056878455,0.17113902,0.04241701,0.10962027,0.08262157,0.15627299,0.029408798,0.07837305
ERR4281283,0.06764489,0.20552619,0.05730158,0.17213441,0.041958958,0.10904683,0.080449775,0.15637584,0.029083934,0.08047771
ERR4281284,0.065933004,0.040377922,0.05389857,0.07219505,0.10288967,0.41202945,0.05347567,0.08716996,0.056647297,0.05538342
ERR4281285,0.07090869,0.060186237,0.052362107,0.054575913,0.14742987,0.34659165,0.043653738,0.06059967,0.10368375,0.060008306
ERR4281286,0.06569319,0.20306545,0.058651984,0.16890293,0.04521851,0.10639542,0.08678679,0.15691148,0.03129322,0.07708095
ERR4281287,0.070932835,0.060134184,0.052320875,0.054543942,0.14747727,0.34669504,0.043604713,0.060602006,0.10372017,0.05996905
ERR4281288,0.066803485,0.19801056,0.06138733,0.17058115,0.04584466,0.10337998,0.08443924,0.1568681,0.032040317,0.080645256
ERR4281289,0.070825286,0.060367126,0.052505184,0.054686863,0.14726524,0.34623295,0.043824017,0.060591564,0.10355726,0.060144525
ERR4281290,0.065557145,0.20819344,0.056929935,0.17259246,0.042281684,0.10989919,0.08359537,0.15311529,0.02936337,0.0784721
ERR4281291,0.062796235,0.16893613,0.078973986,0.16385251,0.06210442,0.083734214,0.09879262,0.15519045,0.04541823,0.0802012
ERR4281292,0.081866615,0.20457494,0.07882278,0.08641751,0.053600915,0.16655341,0.12207699,0.057468973,0.04210799,0.10650984
