,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4281270,0.07050406,0.05977884,0.10668625,0.054525796,0.65814745,0.050357547
ERR4281271,0.1135812,0.11260088,0.30466712,0.16175343,0.07765983,0.22973748
ERR4281272,0.33047298,0.271123,0.16582622,0.058841776,0.053667005,0.120069
ERR4281273,0.15107769,0.14522018,0.099805385,0.37827873,0.039630778,0.18598713
ERR4281274,0.21323127,0.08729627,0.4879651,0.052473262,0.06640788,0.092626266
ERR4281275,0.13213032,0.20278634,0.31253314,0.07253311,0.13359717,0.14641985
ERR4281276,0.06802755,0.051871747,0.09807804,0.05636512,0.67781097,0.047846645
ERR4281277,0.090792134,0.33765295,0.07765215,0.19092557,0.039136864,0.2638403
ERR4281278,0.13306291,0.20790412,0.31208828,0.06809767,0.13558184,0.14326514
ERR4281279,0.17999902,0.07688868,0.5450065,0.045641843,0.06802856,0.08443541
ERR4281280,0.34747642,0.24324977,0.1878596,0.053567674,0.051299345,0.116547264
ERR4281281,0.30070183,0.2718351,0.15850995,0.08447212,0.059016373,0.12546468
ERR4281282,0.15557781,0.1462724,0.10236876,0.3715103,0.039977208,0.18429346
ERR4281283,0.3049224,0.2655225,0.1625614,0.08346026,0.05818221,0.12535113
ERR4281284,0.14100447,0.10462345,0.48041153,0.037496768,0.13030435,0.106159374
ERR4281285,0.13026603,0.18160972,0.31631207,0.086941525,0.12040806,0.1644626
ERR4281286,0.097002015,0.3092962,0.08396878,0.2124315,0.040890962,0.25641057
ERR4281287,0.13313851,0.20915522,0.31177732,0.06733184,0.13631918,0.14227802
ERR4281288,0.25802222,0.30138874,0.1530256,0.082709044,0.06832711,0.13652724
ERR4281289,0.13310893,0.20868284,0.31189415,0.06762265,0.13604353,0.14264797
ERR4281290,0.26599956,0.24442574,0.15205422,0.13996603,0.060025845,0.13752869
ERR4281291,0.30982864,0.26786113,0.16302514,0.07766793,0.057472076,0.12414511
ERR4281292,0.13306378,0.20862687,0.3118575,0.06773731,0.13608646,0.14262804
ERR4281293,0.08880204,0.14953391,0.23383684,0.048243146,0.40955737,0.07002674
ERR4281294,0.36017698,0.23678894,0.19227694,0.048124094,0.048939146,0.113693886
ERR4281295,0.32711872,0.2435596,0.18593019,0.066964634,0.054998375,0.12142847
ERR4281296,0.14356019,0.10395129,0.47800303,0.03766528,0.13019416,0.106626086
ERR4281297,0.06794497,0.051629264,0.0978041,0.05642378,0.67843336,0.04776451
