,ROC-AUC,F-max
root:12M,0.788,0.5263
root:3Y,0.6984,0.3846
root:4M,0.9058,0.7015
root:5Y,0.7802,0.4381
root:B,0.8169,0.5854
root:M,0.8093,0.5797
root:12M:C,0.5985,0.0513
root:12M:V,0.7635,0.5271
root:3Y:C,0.5899,0.0308
root:3Y:V,0.7532,0.4602
root:4M:C,0.9437,0.2222
root:4M:V,0.8567,0.6708
root:5Y:C,0.988,0.4
root:5Y:V,0.8163,0.541
root:B:C,0.7786,0.5
root:B:V,0.7267,0.416
