,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.0984,1.0,0.0,1.0,1.0,1.0,0.0984,0.166,0.3819,0.7815
1,0.2023,0.9943,0.1118,0.9943,0.8882,0.9943,0.1039,0.174,0.3819,0.7815
2,0.3186,0.94,0.2412,0.94,0.7588,0.94,0.115,0.1886,0.3819,0.7815
3,0.4202,0.9259,0.3572,0.9259,0.6428,0.9259,0.1286,0.2058,0.3819,0.7815
4,0.4832,0.9136,0.4294,0.9136,0.5706,0.9136,0.1406,0.2203,0.3819,0.7815
5,0.5584,0.9038,0.5139,0.9038,0.4861,0.9038,0.1563,0.2384,0.3819,0.7815
6,0.613,0.8054,0.5763,0.8054,0.4237,0.8054,0.1644,0.2451,0.3819,0.7815
7,0.6562,0.7179,0.6288,0.7179,0.3712,0.7179,0.1587,,0.3819,0.7815
8,0.6928,0.6956,0.6724,0.6956,0.3276,0.6956,0.1573,,0.3819,0.7815
9,0.7225,0.6891,0.7064,0.6891,0.2936,0.6891,0.1646,,0.3819,0.7815
10,0.75,0.6785,0.7394,0.6785,0.2606,0.6785,0.1738,,0.3819,0.7815
11,0.7741,0.6046,0.7688,0.6046,0.2312,0.6046,0.1817,,0.3819,0.7815
12,0.7915,0.5865,0.7919,0.5865,0.2081,0.5865,0.1861,,0.3819,0.7815
13,0.8092,0.5774,0.8135,0.5774,0.1865,0.5774,0.1947,,0.3819,0.7815
14,0.8204,0.565,0.8284,0.565,0.1716,0.565,0.1948,,0.3819,0.7815
15,0.829,0.5567,0.8395,0.5567,0.1605,0.5567,0.2015,,0.3819,0.7815
16,0.8329,0.5447,0.8464,0.5447,0.1536,0.5447,0.2042,,0.3819,0.7815
17,0.8404,0.54,0.8559,0.54,0.1441,0.54,0.2199,,0.3819,0.7815
18,0.847,0.4352,0.8655,0.4352,0.1345,0.4352,0.2009,,0.3819,0.7815
19,0.8502,0.4275,0.8713,0.4275,0.1287,0.4275,0.2098,,0.3819,0.7815
20,0.8578,0.4197,0.8822,0.4197,0.1178,0.4197,0.2161,,0.3819,0.7815
