,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282030,0.17604674,0.18300316,0.095263034,0.29692814,0.06882076,0.17993824
ERR4282031,0.22323188,0.10756056,0.43577963,0.04983646,0.1101073,0.073484115
ERR4282032,0.14950433,0.16348992,0.08168663,0.34464508,0.059961572,0.20071247
ERR4282033,0.21133995,0.12534706,0.38727328,0.062724136,0.1287504,0.08456525
ERR4282034,0.17456445,0.077401504,0.5180004,0.049174722,0.11658773,0.06427109
ERR4282035,0.22612894,0.26355162,0.11438382,0.16512702,0.107896626,0.12291199
ERR4282036,0.17477657,0.07750095,0.5177003,0.04917912,0.11654022,0.06430274
ERR4282037,0.26146588,0.23905121,0.13607569,0.15586445,0.09796413,0.10957868
ERR4282038,0.149592,0.11706227,0.41088793,0.056350917,0.1788826,0.08722431
ERR4282039,0.036360633,0.16472505,0.15455575,0.2470258,0.11666009,0.2806727
ERR4282040,0.33493546,0.19223075,0.19202134,0.11333992,0.07597959,0.09149305
ERR4282041,0.14368756,0.16586608,0.07802027,0.34698644,0.06081767,0.204622
ERR4282042,0.17496158,0.07670492,0.5199918,0.049002767,0.11550811,0.06383087
ERR4282043,0.15246314,0.16331057,0.083458655,0.3421585,0.05994985,0.19865932
ERR4282044,0.30296543,0.15416901,0.30158198,0.0676771,0.089871116,0.08373532
ERR4282045,0.15200843,0.16587391,0.08292997,0.3394558,0.061007105,0.19872473
ERR4282046,0.17551135,0.07725843,0.51835775,0.04907131,0.11572067,0.0640805
ERR4282047,0.18717457,0.21988364,0.09782272,0.24576159,0.08535812,0.1639994
ERR4282048,0.17511174,0.07734231,0.5181378,0.049121574,0.11611218,0.06417448
ERR4282049,0.12653859,0.15014416,0.32885,0.05897637,0.23211193,0.10337898
ERR4282050,0.17500202,0.076715134,0.5199599,0.049001407,0.11548951,0.06383195
ERR4282051,0.12677974,0.21320444,0.07614546,0.29169238,0.05902945,0.23314857
ERR4282052,0.24913034,0.24802856,0.12836692,0.15880005,0.10166399,0.11401019
ERR4282053,0.33896723,0.17734773,0.19164753,0.13322662,0.07070305,0.08810783
ERR4282054,0.14344572,0.1701384,0.07912007,0.33993152,0.060033336,0.20733108
ERR4282055,0.3034437,0.20078722,0.166024,0.15044689,0.08193767,0.09736048
ERR4282056,0.20163119,0.09376842,0.47012708,0.0509948,0.113572195,0.0699064
ERR4282057,0.15219763,0.16396639,0.08323374,0.34160343,0.06021916,0.19877967
ERR4282058,0.2926247,0.21051663,0.15760654,0.15283258,0.08588965,0.10052985
ERR4282059,0.14683963,0.16412021,0.08004752,0.3462913,0.06016519,0.2025362
ERR4282060,0.17498894,0.07671108,0.51997244,0.0490017,0.1154947,0.06383119
ERR4282061,0.24314155,0.24759255,0.12532823,0.16479851,0.101122506,0.11801669
ERR4282062,0.15544885,0.16284086,0.08528287,0.33997506,0.05980824,0.19664405
ERR4282063,0.32134184,0.16042984,0.27989063,0.07121221,0.08339594,0.083729595
ERR4282064,0.14613988,0.16473709,0.079874374,0.34578687,0.059917394,0.20354447
ERR4282065,0.17498451,0.07673613,0.51990014,0.049007133,0.115526184,0.0638459
ERR4282066,0.14912409,0.16282365,0.08154035,0.3457909,0.059649512,0.20107153
ERR4282067,0.22626787,0.24901502,0.11613539,0.1793177,0.10079274,0.12847124
ERR4282068,0.07973853,0.35583648,0.06201962,0.16635755,0.049657907,0.28638995
ERR4282069,0.17494753,0.076633334,0.5201997,0.04898962,0.11543787,0.06379193
ERR4282070,0.12061193,0.23394562,0.07503764,0.26955312,0.05707176,0.24377981
ERR4282071,0.095312454,0.19247551,0.23063363,0.059058163,0.30246845,0.12005178
