,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282030,0.103624046,0.48580164,0.017792521,0.15166168,0.03226825,0.20885189
ERR4282031,0.062496934,0.00783113,0.8924624,0.002677364,0.020998893,0.013533303
ERR4282032,0.09528406,0.26236555,0.015040082,0.27820358,0.014268537,0.33483818
ERR4282033,0.08597399,0.012315793,0.84099585,0.0052874708,0.033202313,0.022224598
ERR4282034,0.48018923,0.070014566,0.3041603,0.028953109,0.044010036,0.072672814
ERR4282035,0.22307158,0.37655526,0.037408266,0.12814428,0.030318668,0.20450203
ERR4282036,0.039443094,0.013943245,0.15401065,0.010407578,0.731508,0.050687373
ERR4282037,0.64020914,0.10705093,0.11904278,0.030739635,0.017080814,0.08587661
ERR4282038,0.010292965,0.025472041,0.03912547,0.015834527,0.87671405,0.032560926
ERR4282039,0.102137044,0.6100874,0.017841497,0.08424153,0.04686274,0.13882983
ERR4282040,0.24231318,0.4257215,0.04371113,0.08609364,0.04325975,0.15890072
ERR4282041,0.32176208,0.3020576,0.031224076,0.052253738,0.034152187,0.25855038
ERR4282042,0.055171836,0.01766594,0.8579179,0.0061300844,0.045404818,0.017709434
ERR4282043,0.088207625,0.29282174,0.014589224,0.26601073,0.016041536,0.3223292
ERR4282044,0.20772348,0.044686794,0.6583224,0.013096093,0.03613852,0.040032666
ERR4282045,0.15924586,0.45440146,0.025482684,0.1182983,0.035229072,0.2073426
ERR4282046,0.0640652,0.02577542,0.7477181,0.010080265,0.11915159,0.03320945
ERR4282047,0.10873349,0.34159842,0.01808355,0.22313744,0.020398036,0.28804904
ERR4282048,0.041385353,0.004905415,0.9263817,0.0016153094,0.016120221,0.009591987
ERR4282049,0.05685305,0.0161366,0.86657935,0.005616047,0.038307447,0.016507544
ERR4282050,0.06163048,0.019024778,0.8233198,0.0074771447,0.068491474,0.020056348
ERR4282051,0.08414063,0.24537626,0.013417217,0.2877353,0.013181577,0.35614902
ERR4282052,0.56151825,0.12090097,0.17526188,0.034450773,0.0220365,0.08583161
ERR4282053,0.14805537,0.030758018,0.7551703,0.00816554,0.028822418,0.029028377
ERR4282054,0.07834895,0.295479,0.01186192,0.39144415,0.012434663,0.21043134
ERR4282055,0.4916987,0.21480109,0.078334935,0.05219098,0.027808724,0.13516562
ERR4282056,0.21996371,0.064287975,0.56316435,0.023890795,0.05390721,0.0747859
ERR4282057,0.076037295,0.3030715,0.01004367,0.4737353,0.010519534,0.1265927
ERR4282058,0.6294,0.123390675,0.09066951,0.03324619,0.018594945,0.10469878
ERR4282059,0.0757632,0.30256197,0.009788823,0.48459104,0.010100053,0.11719491
ERR4282060,0.057665665,0.018843696,0.84481794,0.006748003,0.053333294,0.018591352
ERR4282061,0.089959584,0.31710842,0.015109255,0.2671362,0.017190203,0.29349634
ERR4282062,0.0736053,0.30361506,0.011462174,0.38204208,0.013075448,0.21619996
ERR4282063,0.15524933,0.12596984,0.31551132,0.06558512,0.09490328,0.24278106
ERR4282064,0.07703965,0.30247715,0.010879022,0.4381286,0.011567591,0.15990807
ERR4282065,0.05517851,0.012489333,0.87334025,0.0046786447,0.039601896,0.014711421
ERR4282066,0.08025559,0.30167618,0.012078237,0.40406466,0.012954562,0.18897071
ERR4282067,0.094101265,0.30969086,0.015951222,0.31223822,0.017197596,0.25082082
ERR4282068,0.11656756,0.45558676,0.018678075,0.14291322,0.03135958,0.23489481
ERR4282069,0.038410287,0.004301741,0.9318618,0.001426606,0.015082253,0.008917325
ERR4282070,0.116672866,0.31107336,0.0189195,0.23106338,0.018802214,0.3034687
ERR4282071,0.0046739876,0.006155409,0.010307756,0.008042938,0.9637757,0.0070442376
ERR4282072,0.09450353,0.420293,0.015263455,0.255988,0.024074156,0.1898779
ERR4282073,0.4698629,0.22045183,0.07024131,0.063832566,0.02494745,0.15066388
ERR4282074,0.097106814,0.44551447,0.016620377,0.1849507,0.027887853,0.22791985
ERR4282075,0.03471225,0.0033134809,0.9362245,0.001834022,0.0116717145,0.012244025
ERR4282076,0.07431375,0.29078555,0.011936244,0.35278475,0.0131144645,0.25706524
ERR4282077,0.05178711,0.016523011,0.84683603,0.008956782,0.03938143,0.03651574
ERR4282078,0.07316731,0.2643714,0.012456537,0.30558068,0.013846181,0.33057794
ERR4282079,0.15078084,0.41261557,0.02726015,0.15084432,0.03379335,0.22470573
ERR4282080,0.05360411,0.018983254,0.86269355,0.0060092495,0.04157258,0.017137209
ERR4282081,0.62265193,0.11647108,0.11186778,0.033563927,0.018591274,0.09685396
ERR4282082,0.20733413,0.45396358,0.035921477,0.097279266,0.03972226,0.16577928
ERR4282083,0.05396511,0.019285886,0.8605822,0.0061415345,0.042675678,0.017349716
ERR4282084,0.076450646,0.3004439,0.009264345,0.511101,0.009415271,0.09332487
ERR4282085,0.007343611,0.013884241,0.012298744,0.013810019,0.9335762,0.019087233
ERR4282086,0.07055245,0.29662392,0.011424517,0.3653878,0.012943819,0.24306741
ERR4282087,0.1466655,0.47422582,0.026557336,0.1328318,0.038863767,0.18085583
ERR4282088,0.651636,0.10077557,0.114907674,0.029378714,0.016426794,0.08687514
ERR4282089,0.14643154,0.16311383,0.01695819,0.19898519,0.010787496,0.4637238
ERR4282090,0.5730914,0.11152366,0.15477721,0.040330946,0.018661922,0.10161492
ERR4282091,0.152734,0.13080843,0.121379286,0.11564334,0.058679476,0.42075554
ERR4282092,0.32176208,0.3020576,0.031224076,0.052253738,0.034152187,0.25855038
ERR4282093,0.108435065,0.48645923,0.018669445,0.1585745,0.033897817,0.19396394
ERR4282094,0.114246026,0.046135485,0.7011366,0.015389197,0.069783986,0.053308666
ERR4282095,0.015280812,0.015841011,0.060674585,0.009844998,0.8502709,0.048087656
ERR4282096,0.18457079,0.121765316,0.019656219,0.16789788,0.009841955,0.49626786
ERR4282097,0.0066762785,0.006393355,0.007415965,0.010318942,0.96040636,0.00878912
ERR4282098,0.6180052,0.0889356,0.17817685,0.02486128,0.017543145,0.07247794
ERR4282099,0.6455998,0.090300575,0.13537681,0.03074555,0.014312466,0.08366478
ERR4282100,0.3168403,0.23219307,0.04143582,0.10283977,0.024300378,0.28239062
ERR4282101,0.54229736,0.09190816,0.23364848,0.029739825,0.019844297,0.08256175
ERR4282102,0.09483256,0.22750573,0.014285824,0.27515975,0.0127203455,0.3754958
ERR4282103,0.10982121,0.033203863,0.75295985,0.011296999,0.053770278,0.038947854
