,root:3Y,root:4M,root:B
ERR4282548,0.49175727,0.24818602,0.26005673
ERR4282576,0.3679821,0.33934912,0.29266882
ERR4282583,0.34375736,0.34441978,0.31182286
ERR4282603,0.28343657,0.51091,0.20565346
ERR4282607,0.49175727,0.24818602,0.26005673
ERR4282652,0.49175727,0.24818602,0.26005673
ERR4282661,0.49175727,0.24818602,0.26005673
ERR4282667,0.4813019,0.25233588,0.26636222
ERR4282679,0.42988944,0.16825621,0.4018544
ERR4282694,0.49175727,0.24818602,0.26005673
ERR4282715,0.49175727,0.24818602,0.26005673
ERR4282718,0.47795612,0.24649239,0.27555147
ERR4282730,0.43869048,0.20828588,0.35302356
ERR4282735,0.19593947,0.44894838,0.35511214
ERR4282757,0.42209965,0.1546498,0.4232505
ERR4282777,0.49062058,0.24850617,0.26087323
ERR4282782,0.49175727,0.24818602,0.26005673
ERR4282786,0.49175727,0.24818602,0.26005673
ERR4282794,0.49175727,0.24818602,0.26005673
ERR4282807,0.3458814,0.6021593,0.051959287
ERR4282822,0.447762,0.21250619,0.33973187
ERR4282828,0.49160832,0.24827293,0.26011872
ERR4282833,0.4911276,0.24854112,0.26033124
ERR4282837,0.49175715,0.24818608,0.26005673
ERR4282844,0.49175727,0.24818602,0.26005673
ERR4282863,0.49175727,0.24818602,0.26005673
ERR4282873,0.4878432,0.2505091,0.26164776
ERR4282879,0.49175704,0.24818617,0.26005682
ERR4282884,0.49193463,0.24683084,0.26123452
ERR4282888,0.49175727,0.24818602,0.26005673
ERR4282891,0.4917297,0.24819873,0.26007158
ERR4282902,0.49175727,0.24818602,0.26005673
ERR4282905,0.49175692,0.24818623,0.26005685
ERR4282913,0.49175727,0.24818602,0.26005673
ERR4282920,0.49175727,0.24818602,0.26005673
ERR4282929,0.45552754,0.26958367,0.2748888
ERR4282931,0.44148985,0.19349927,0.36501092
ERR4282943,0.3183473,0.5787215,0.10293115
ERR4282947,0.49175727,0.24818602,0.26005673
ERR4282953,0.49175727,0.24818602,0.26005673
ERR4282961,0.49175704,0.24818617,0.26005682
ERR4282966,0.25197527,0.59652233,0.15150234
ERR4282970,0.49171853,0.24820894,0.26007247
ERR4282977,0.45803156,0.2221948,0.31977358
ERR4282982,0.4417259,0.24409269,0.31418148
ERR4282986,0.49175727,0.24818602,0.26005673
ERR4282997,0.49167132,0.24819542,0.26013324
ERR4283001,0.49175727,0.24818602,0.26005673
ERR4283007,0.49155602,0.24815445,0.26028952
ERR4283019,0.49145466,0.2481848,0.26036063
ERR4283025,0.19593947,0.44894838,0.35511214
ERR4283032,0.445238,0.24790467,0.30685738
ERR4283036,0.49175116,0.2481896,0.26005918
ERR4283043,0.49175727,0.24818602,0.26005673
ERR4283048,0.49175727,0.24818602,0.26005673
