,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4282799,0.033794206,0.03421455,0.03354676,0.09405222,0.03992585,0.096175,0.32027286,0.29216027,0.013602567,0.04225561
ERR4282800,0.032576326,0.012325898,0.026391206,0.0070170597,0.072278395,0.016250432,0.014789526,0.015313218,0.72268784,0.08037009
ERR4282801,0.22484511,0.07315585,0.06489516,0.106924504,0.082714275,0.030533763,0.108769216,0.0752533,0.09288692,0.14002189
ERR4282802,0.41446543,0.060971566,0.14210626,0.064821914,0.037597213,0.0077605247,0.059177414,0.074054584,0.07879833,0.06024673
ERR4282803,0.040063962,0.032965917,0.049849235,0.016049674,0.3451977,0.39123195,0.03950504,0.0131147485,0.025049005,0.0469728
ERR4282804,0.0434103,0.051496513,0.048073683,0.23181652,0.016773783,0.0840794,0.15768963,0.29134986,0.015273132,0.06003723
ERR4282805,0.05615078,0.098958395,0.041053794,0.30326575,0.0055407016,0.04613145,0.081577934,0.31105697,0.0072310306,0.049033202
ERR4282806,0.24138129,0.09361154,0.047928337,0.19796006,0.043377884,0.026003683,0.10499596,0.10901744,0.055468276,0.080255486
ERR4282807,0.10347097,0.4650007,0.037919417,0.25862753,0.015264211,0.032549422,0.021444907,0.039313734,0.010371454,0.01603766
ERR4282808,0.08082936,0.30652216,0.05079595,0.21046333,0.022221602,0.11189786,0.060431533,0.12959456,0.0072287335,0.020014955
ERR4282809,0.08027237,0.46282312,0.10779322,0.11595555,0.02743136,0.07915069,0.042546865,0.057840325,0.006649879,0.019536722
ERR4282810,0.063426286,0.48215434,0.04286173,0.19994979,0.0152423885,0.07721552,0.040246468,0.061537307,0.005150126,0.012216025
ERR4282811,0.0653225,0.17295691,0.08278602,0.044814147,0.06896681,0.34078047,0.09537456,0.07886669,0.004898574,0.04523329
ERR4282812,0.10835228,0.090624556,0.007798,0.4697435,0.015109808,0.028640788,0.042570014,0.07900904,0.04624662,0.11190532
ERR4282813,0.07359231,0.011640799,0.037101626,0.013423437,0.50740063,0.14837207,0.016891146,0.008185002,0.14059336,0.04279957
ERR4282814,0.08097951,0.25713158,0.0732312,0.2625835,0.009856586,0.039410036,0.0689117,0.17825665,0.008787873,0.020851385
ERR4282815,0.08006007,0.47178224,0.05113481,0.19724004,0.015912982,0.058276195,0.037213597,0.065621585,0.0071578748,0.015600683
ERR4282816,0.12947588,0.3306153,0.09946377,0.13942075,0.045972656,0.054726504,0.08080804,0.07287157,0.022621833,0.024023695
ERR4282817,0.08015868,0.30915275,0.06618399,0.25970066,0.009483241,0.039042655,0.060972456,0.15036772,0.0077430555,0.017194627
ERR4282818,0.39170188,0.18855315,0.05348532,0.14419864,0.02765981,0.009535725,0.04546847,0.06381131,0.046002515,0.02958327
ERR4282819,0.031551417,0.1008321,0.019412935,0.04281675,0.08829096,0.6211338,0.029170426,0.037902262,0.005839897,0.023049397
ERR4282820,0.055114307,0.07111507,0.053815637,0.25774795,0.008646256,0.046231657,0.10691997,0.340731,0.010373944,0.049304157
ERR4282821,0.49785,0.082858026,0.048579153,0.09429404,0.036005102,0.0072968192,0.05585883,0.051029876,0.09109493,0.035133198
ERR4282822,0.06655216,0.0951197,0.069140814,0.25009826,0.007448896,0.036077283,0.09858879,0.33327028,0.009167437,0.03453643
ERR4282823,0.11720057,0.1351611,0.03634224,0.34530082,0.0065716794,0.020910693,0.06088333,0.23533674,0.014183712,0.028109005
ERR4282824,0.051101718,0.018911626,0.02622813,0.31146893,0.019295994,0.02341157,0.1211803,0.2504948,0.03664702,0.14125985
ERR4282825,0.071138375,0.5468061,0.05586675,0.15167819,0.019434009,0.06560146,0.02682333,0.04475353,0.0062669446,0.011631309
ERR4282826,0.070286185,0.2542317,0.08208144,0.25162873,0.018401021,0.07083211,0.070365354,0.12863901,0.012039319,0.041495185
ERR4282827,0.042027812,0.06872651,0.026622243,0.010764553,0.28851154,0.22709826,0.016060827,0.016333986,0.18356878,0.12028548
ERR4282828,0.08900475,0.048622303,0.048866507,0.27397782,0.034204133,0.06591209,0.074389406,0.1705631,0.05950883,0.13495107
