,ROC-AUC,F-max
root:12M,0.7323,0.4819
root:3Y,0.5961,0.325
root:4M,0.8701,0.6232
root:5Y,0.892,0.5686
root:B,0.963,0.8387
root:M,0.7621,0.4741
root:12M:C,0.5008,0.3271
root:12M:V,0.7382,0.1379
root:3Y:C,0.6923,0.3878
root:3Y:V,0.7678,0.0594
root:4M:C,0.7401,0.5682
root:4M:V,0.879,0.1231
root:5Y:C,0.7597,0.472
root:5Y:V,0.836,0.0476
root:B:C,0.9489,0.7848
root:B:V,0.256,0.0093
