,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2814,0.5519,0.8026
1,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2814,0.5519,0.8026
2,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2814,0.5519,0.8026
3,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2814,0.5519,0.8026
4,0.1835,1.0,0.0225,1.0,0.9775,1.0,0.1672,0.2862,0.5519,0.8026
5,0.2281,1.0,0.0749,1.0,0.9251,1.0,0.1755,0.2984,0.5519,0.8026
6,0.2883,1.0,0.1459,1.0,0.8541,1.0,0.1888,0.3173,0.5519,0.8026
7,0.3584,1.0,0.2286,1.0,0.7714,1.0,0.2114,0.3476,0.5519,0.8026
8,0.3855,1.0,0.2608,1.0,0.7392,1.0,0.2222,0.3612,0.5519,0.8026
9,0.4075,1.0,0.287,1.0,0.713,1.0,0.2314,0.3726,0.5519,0.8026
10,0.4354,0.9913,0.3225,0.9913,0.6775,0.9913,0.2395,0.3821,0.5519,0.8026
11,0.4702,0.9872,0.3659,0.9872,0.6341,0.9872,0.2501,0.3952,0.5519,0.8026
12,0.5044,0.9831,0.4082,0.9831,0.5918,0.9831,0.2632,0.4108,0.5519,0.8026
13,0.5393,0.9633,0.4546,0.9633,0.5454,0.9633,0.2767,0.425,0.5519,0.8026
14,0.6153,0.8592,0.5652,0.8592,0.4348,0.8592,0.3816,0.4745,0.5519,0.8026
15,0.6727,0.8145,0.6427,0.8145,0.3572,0.8145,0.4049,0.4953,0.5519,0.8026
16,0.6933,0.78,0.6741,0.78,0.3259,0.78,0.419,0.5003,0.5519,0.8026
17,0.7193,0.738,0.7134,0.738,0.2866,0.738,0.4341,0.5044,0.5519,0.8026
18,0.734,0.7051,0.7372,0.7051,0.2628,0.7051,0.44,0.502,0.5519,0.8026
19,0.7487,0.6595,0.7637,0.6595,0.2363,0.6595,0.4494,0.4935,0.5519,0.8026
20,0.7593,0.6168,0.7844,0.6168,0.2156,0.6168,0.4527,0.4855,0.5519,0.8026
21,0.7987,0.587,0.837,0.587,0.163,0.587,0.4772,0.4937,0.5519,0.8026
22,0.806,0.5642,0.8497,0.5642,0.1503,0.5642,0.485,0.4874,0.5519,0.8026
23,0.808,0.528,0.8593,0.528,0.1407,0.528,0.4629,0.4583,0.5519,0.8026
24,0.8153,0.5078,0.872,0.5078,0.128,0.5078,0.4667,0.4517,0.5519,0.8026
25,0.8227,0.4907,0.884,0.4907,0.116,0.4907,0.478,0.4477,0.5519,0.8026
26,0.826,0.4702,0.892,0.4702,0.108,0.4702,0.5218,0.4378,0.5519,0.8026
27,0.83,0.4401,0.9024,0.4401,0.0976,0.4401,0.4395,,0.5519,0.8026
28,0.8368,0.4136,0.9151,0.4136,0.0849,0.4136,0.4358,,0.5519,0.8026
29,0.8368,0.4136,0.9151,0.4136,0.0849,0.4136,0.4358,,0.5519,0.8026
30,0.8409,0.3849,0.9263,0.3849,0.0737,0.3849,0.4483,,0.5519,0.8026
31,0.8529,0.377,0.9426,0.377,0.0574,0.377,0.4784,,0.5519,0.8026
32,0.8576,0.2492,0.9769,0.2492,0.0231,0.2492,0.4682,,0.5519,0.8026
33,0.8563,0.233,0.9793,0.233,0.0207,0.233,0.4703,,0.5519,0.8026
34,0.857,0.2178,0.9833,0.2178,0.0167,0.2178,0.4746,,0.5519,0.8026
35,0.8577,0.1958,0.988,0.1958,0.012,0.1958,0.4779,,0.5519,0.8026
36,0.8591,0.1871,0.9912,0.1871,0.0088,0.1871,0.5321,,0.5519,0.8026
37,0.8567,0.1648,0.9928,0.1648,0.0072,0.1648,0.3527,,0.5519,0.8026
38,0.8567,0.1466,0.9959,0.1466,0.0041,0.1466,0.2778,,0.5519,0.8026
39,0.8555,0.143,0.9959,0.143,0.0041,0.143,0.2738,,0.5519,0.8026
40,0.8555,0.143,0.9959,0.143,0.0041,0.143,0.2738,,0.5519,0.8026
41,0.8548,0.1384,0.9959,0.1384,0.0041,0.1384,0.2738,,0.5519,0.8026
42,0.8548,0.1384,0.9959,0.1384,0.0041,0.1384,0.2738,,0.5519,0.8026
43,0.8542,0.1348,0.9959,0.1348,0.0041,0.1348,0.2692,,0.5519,0.8026
44,0.8535,0.1313,0.9959,0.1313,0.0041,0.1313,0.2639,,0.5519,0.8026
45,0.8542,0.1313,0.9967,0.1313,0.0033,0.1313,0.2727,,0.5519,0.8026
46,0.8542,0.1313,0.9967,0.1313,0.0033,0.1313,0.2727,,0.5519,0.8026
47,0.8542,0.1313,0.9967,0.1313,0.0033,0.1313,0.2727,,0.5519,0.8026
48,0.8515,0.11,0.9984,0.11,0.0017,0.11,0.2222,,0.5519,0.8026
49,0.8515,0.1065,0.9992,0.1065,0.0008,0.1065,0.1667,,0.5519,0.8026
50,0.8509,0.1018,0.9992,0.1018,0.0008,0.1018,0.1667,,0.5519,0.8026
51,0.8502,0.0972,0.9992,0.0972,0.0008,0.0972,0.1667,,0.5519,0.8026
52,0.8495,0.0926,0.9992,0.0926,0.0008,0.0926,0.1667,,0.5519,0.8026
53,0.8495,0.0926,0.9992,0.0926,0.0008,0.0926,0.1667,,0.5519,0.8026
54,0.8495,0.0926,0.9992,0.0926,0.0008,0.0926,0.1667,,0.5519,0.8026
55,0.8502,0.0926,1.0,0.0926,0.0,0.0926,0.1667,,0.5519,0.8026
56,0.8502,0.0926,1.0,0.0926,0.0,0.0926,0.1667,,0.5519,0.8026
57,0.8502,0.0926,1.0,0.0926,0.0,0.0926,0.1667,,0.5519,0.8026
58,0.8497,0.0926,1.0,0.0926,0.0,0.0926,0.1667,,0.5519,0.8026
