Unnamed: 0,Env,Contribution,mode
ERR4281453,root:3Y,0.08232716,C
ERR4281459,root:3Y,0.078361824,C
ERR4281465,root:3Y,0.061117705,C
ERR4281471,root:3Y,0.06647968,C
ERR4281476,root:3Y,0.058536347,C
ERR4281479,root:3Y,0.06043908,C
ERR4281484,root:3Y,0.06431392,C
ERR4281494,root:3Y,0.08666181,C
ERR4281498,root:3Y,0.19095962,C
ERR4281510,root:3Y,0.053966027,C
ERR4281516,root:3Y,0.08859186,C
ERR4281526,root:3Y,0.0968615,C
ERR4281534,root:3Y,0.16735259,C
ERR4281546,root:3Y,0.08531447,C
ERR4281552,root:3Y,0.16424614,C
ERR4281564,root:3Y,0.08063795,C
ERR4281573,root:3Y,0.059555184,C
ERR4281589,root:3Y,0.06502397,C
ERR4281597,root:3Y,0.053720973,C
ERR4281608,root:3Y,0.07218697,C
ERR4281617,root:3Y,0.11399678,C
ERR4281629,root:3Y,0.1327429,C
ERR4281634,root:3Y,0.06264391,C
ERR4281646,root:3Y,0.054286513,C
ERR4281651,root:3Y,0.07302553,C
ERR4281659,root:3Y,0.10356856,C
ERR4281685,root:3Y,0.064598516,C
ERR4281689,root:3Y,0.07218697,C
ERR4281695,root:3Y,0.11952722,C
ERR4281920,root:3Y,0.059475522,C
ERR4282087,root:3Y,0.05498391,C
ERR4282531,root:3Y,0.0510876,C
ERR4282552,root:3Y,0.052254632,C
ERR4282558,root:3Y,0.054416094,C
ERR4282610,root:3Y,0.093988776,C
ERR4282614,root:3Y,0.05379899,C
ERR4282640,root:3Y,0.05174973,C
ERR4282658,root:3Y,0.05101521,C
ERR4282684,root:3Y,0.061752733,C
ERR4282699,root:3Y,0.059626058,C
ERR4282705,root:3Y,0.19242221,C
ERR4282721,root:3Y,0.0558593,C
ERR4282747,root:3Y,0.06979716,C
ERR4282771,root:3Y,0.060561795,C
ERR4282799,root:3Y,0.049267773,C
ERR4282817,root:3Y,0.05115576,C
ERR4282848,root:3Y,0.05662039,C
ERR4282853,root:3Y,0.055588946,C
ERR4282868,root:3Y,0.06968175,C
ERR4282957,root:3Y,0.05368497,C
ERR4281017,root:4M,0.08270771,C
ERR4281064,root:4M,0.097470164,C
ERR4281067,root:4M,0.06343452,C
ERR4281027,root:4M,0.27919328,C
ERR4281030,root:4M,0.081801504,C
ERR4281035,root:4M,0.10329867,C
ERR4281083,root:4M,0.12140048,C
ERR4281043,root:4M,0.05137652,C
ERR4281046,root:4M,0.11278221,C
ERR4281092,root:4M,0.061777238,C
ERR4281053,root:4M,0.046312414,C
ERR4281104,root:4M,0.04927582,C
ERR4281118,root:4M,0.090246126,C
ERR4281123,root:4M,0.16387571,C
ERR4281131,root:4M,0.1158847,C
ERR4281139,root:4M,0.08556993,C
ERR4281152,root:4M,0.08301861,C
ERR4281159,root:4M,0.04619314,C
ERR4281172,root:4M,0.13639572,C
ERR4281177,root:4M,0.07273075,C
ERR4281181,root:4M,0.039800666,C
ERR4281185,root:4M,0.15973449,C
ERR4281189,root:4M,0.13610128,C
ERR4281206,root:4M,0.073725425,C
ERR4281212,root:4M,0.044078805,C
ERR4281234,root:4M,0.07349787,C
ERR4281240,root:4M,0.052373525,C
ERR4281247,root:4M,0.033869196,C
ERR4281260,root:4M,0.19876567,C
ERR4281266,root:4M,0.24185055,C
ERR4281275,root:4M,0.18610519,C
ERR4281282,root:4M,0.078494385,C
ERR4281286,root:4M,0.1814367,C
ERR4281302,root:4M,0.042932328,C
ERR4281308,root:4M,0.08701586,C
ERR4281314,root:4M,0.19324167,C
ERR4281322,root:4M,0.05034636,C
ERR4281329,root:4M,0.2554717,C
ERR4281338,root:4M,0.07768335,C
ERR4281343,root:4M,0.041237913,C
ERR4281358,root:4M,0.071341686,C
ERR4281364,root:4M,0.19880682,C
ERR4281370,root:4M,0.07680981,C
ERR4281377,root:4M,0.04383985,C
ERR4281390,root:4M,0.12216671,C
ERR4281398,root:4M,0.14532314,C
ERR4281405,root:4M,0.043270268,C
ERR4281412,root:4M,0.05611884,C
ERR4281419,root:4M,0.11278221,C
ERR4281426,root:4M,0.2554717,C
ERR4281432,root:4M,0.14293368,C
ERR4281438,root:4M,0.039274205,C
ERR4281447,root:4M,0.21740489,C
ERR4281453,root:4M,0.11646514,C
ERR4281459,root:4M,0.06690052,C
ERR4281465,root:4M,0.05862665,C
ERR4281471,root:4M,0.110681064,C
ERR4281476,root:4M,0.043239284,C
ERR4281479,root:4M,0.06423593,C
ERR4281484,root:4M,0.051439527,C
ERR4281494,root:4M,0.11064742,C
ERR4281498,root:4M,0.09893968,C
ERR4281510,root:4M,0.08760336,C
ERR4281516,root:4M,0.12371521,C
ERR4281526,root:4M,0.111332096,C
ERR4281534,root:4M,0.13651906,C
ERR4281546,root:4M,0.08435726,C
ERR4281552,root:4M,0.1986454,C
ERR4281564,root:4M,0.31949383,C
ERR4281573,root:4M,0.055067092,C
ERR4281589,root:4M,0.04988319,C
ERR4281597,root:4M,0.04523108,C
