Unnamed: 0,Env,Contribution,mode
ERR4281453,root:3Y,0.33600035,C
ERR4281459,root:3Y,0.33600035,C
ERR4281465,root:3Y,0.33600035,C
ERR4281471,root:3Y,0.28388813,C
ERR4281476,root:3Y,0.33600035,C
ERR4281479,root:3Y,0.33600035,C
ERR4281484,root:3Y,0.33600035,C
ERR4281494,root:3Y,0.33600035,C
ERR4281498,root:3Y,0.33600035,C
ERR4281510,root:3Y,0.33600035,C
ERR4281516,root:3Y,0.29697767,C
ERR4281526,root:3Y,0.28388813,C
ERR4281534,root:3Y,0.07761092,C
ERR4281546,root:3Y,0.33600035,C
ERR4281552,root:3Y,0.28388813,C
ERR4281564,root:3Y,0.33600035,C
ERR4281573,root:3Y,0.33600292,C
ERR4281589,root:3Y,0.07761092,C
ERR4281597,root:3Y,0.33600035,C
ERR4281608,root:3Y,0.33600035,C
ERR4281617,root:3Y,0.33600035,C
ERR4281629,root:3Y,0.33600035,C
ERR4281634,root:3Y,0.33600035,C
ERR4281646,root:3Y,0.33600035,C
ERR4281651,root:3Y,0.33600035,C
ERR4281659,root:3Y,0.33600035,C
ERR4281685,root:3Y,0.33600035,C
ERR4281689,root:3Y,0.33600035,C
ERR4281695,root:3Y,0.33600035,C
ERR4281920,root:3Y,0.33600035,C
ERR4282087,root:3Y,0.07761092,C
ERR4282531,root:3Y,0.33600035,C
ERR4282552,root:3Y,0.33600035,C
ERR4282558,root:3Y,0.33600035,C
ERR4282610,root:3Y,0.33600035,C
ERR4282614,root:3Y,0.33600035,C
ERR4282640,root:3Y,0.33600035,C
ERR4282658,root:3Y,0.33600035,C
ERR4282684,root:3Y,0.33600035,C
ERR4282699,root:3Y,0.33600035,C
ERR4282705,root:3Y,0.08032156,C
ERR4282721,root:3Y,0.24307817,C
ERR4282747,root:3Y,0.33600035,C
ERR4282771,root:3Y,0.33600035,C
ERR4282799,root:3Y,0.33600035,C
ERR4282817,root:3Y,0.07761092,C
ERR4282848,root:3Y,0.33600035,C
ERR4282853,root:3Y,0.15896384,C
ERR4282868,root:3Y,0.07782021,C
ERR4282957,root:3Y,0.07761092,C
ERR4281017,root:4M,0.21843795,C
ERR4281064,root:4M,0.21843795,C
ERR4281067,root:4M,0.47708556,C
ERR4281027,root:4M,0.21843795,C
ERR4281030,root:4M,0.21843795,C
ERR4281035,root:4M,0.22767738,C
ERR4281083,root:4M,0.47708556,C
ERR4281043,root:4M,0.21845768,C
ERR4281046,root:4M,0.47708556,C
ERR4281092,root:4M,0.21843795,C
ERR4281053,root:4M,0.21843795,C
ERR4281104,root:4M,0.21843795,C
ERR4281118,root:4M,0.47708535,C
ERR4281123,root:4M,0.21843795,C
ERR4281131,root:4M,0.21843795,C
ERR4281139,root:4M,0.21843795,C
ERR4281152,root:4M,0.21843795,C
ERR4281159,root:4M,0.47708556,C
ERR4281172,root:4M,0.21843795,C
ERR4281177,root:4M,0.21843795,C
ERR4281181,root:4M,0.21858434,C
ERR4281185,root:4M,0.21843795,C
ERR4281189,root:4M,0.21843795,C
ERR4281206,root:4M,0.21843795,C
ERR4281212,root:4M,0.21843795,C
ERR4281234,root:4M,0.21843795,C
ERR4281240,root:4M,0.21843795,C
ERR4281247,root:4M,0.269862,C
ERR4281260,root:4M,0.21843795,C
ERR4281266,root:4M,0.21843795,C
ERR4281275,root:4M,0.21843795,C
ERR4281282,root:4M,0.21843795,C
ERR4281286,root:4M,0.2276196,C
ERR4281302,root:4M,0.21843795,C
ERR4281308,root:4M,0.21843795,C
ERR4281314,root:4M,0.21843795,C
ERR4281322,root:4M,0.21843795,C
ERR4281329,root:4M,0.21843795,C
ERR4281338,root:4M,0.21843795,C
ERR4281343,root:4M,0.47708556,C
ERR4281358,root:4M,0.21843795,C
ERR4281364,root:4M,0.21843795,C
ERR4281370,root:4M,0.21843795,C
ERR4281377,root:4M,0.21843795,C
ERR4281390,root:4M,0.21843795,C
ERR4281398,root:4M,0.21843795,C
ERR4281405,root:4M,0.21843795,C
ERR4281412,root:4M,0.21843795,C
ERR4281419,root:4M,0.21843795,C
ERR4281426,root:4M,0.21843795,C
ERR4281432,root:4M,0.21843795,C
ERR4281438,root:4M,0.25996736,C
ERR4281447,root:4M,0.21843795,C
ERR4281453,root:4M,0.21843795,C
ERR4281459,root:4M,0.21843795,C
ERR4281465,root:4M,0.21843795,C
ERR4281471,root:4M,0.47708556,C
ERR4281476,root:4M,0.21843795,C
ERR4281479,root:4M,0.21843795,C
ERR4281484,root:4M,0.21843795,C
ERR4281494,root:4M,0.21843795,C
ERR4281498,root:4M,0.21843795,C
ERR4281510,root:4M,0.21843795,C
ERR4281516,root:4M,0.24714042,C
ERR4281526,root:4M,0.47708556,C
ERR4281534,root:4M,0.2276196,C
ERR4281546,root:4M,0.21843795,C
ERR4281552,root:4M,0.47708556,C
ERR4281564,root:4M,0.21843795,C
ERR4281573,root:4M,0.21863605,C
ERR4281589,root:4M,0.2276196,C
ERR4281597,root:4M,0.21843795,C
ERR4281608,root:4M,0.21843795,C
ERR4281617,root:4M,0.21843795,C
ERR4281629,root:4M,0.21843795,C
ERR4281634,root:4M,0.21843795,C
ERR4281646,root:4M,0.21843795,C
ERR4281651,root:4M,0.21843795,C
ERR4281659,root:4M,0.21843795,C
ERR4281685,root:4M,0.21843795,C
ERR4281689,root:4M,0.21843795,C
ERR4281695,root:4M,0.21843795,C
ERR4281920,root:4M,0.21843795,C
ERR4282087,root:4M,0.2276196,C
ERR4282531,root:4M,0.21843795,C
ERR4282552,root:4M,0.21843795,C
ERR4282558,root:4M,0.21843795,C
ERR4282610,root:4M,0.21843795,C
ERR4282614,root:4M,0.21843795,C
ERR4282640,root:4M,0.21843795,C
ERR4282658,root:4M,0.21843795,C
ERR4282684,root:4M,0.21843795,C
ERR4282699,root:4M,0.21843795,C
ERR4282705,root:4M,0.22898366,C
ERR4282721,root:4M,0.24065681,C
ERR4282747,root:4M,0.21843795,C
ERR4282771,root:4M,0.21843795,C
ERR4282799,root:4M,0.21843795,C
ERR4282817,root:4M,0.2276196,C
ERR4282848,root:4M,0.21843795,C
ERR4282853,root:4M,0.24670123,C
ERR4282868,root:4M,0.22772765,C
ERR4282957,root:4M,0.22761959,C
ERR4281017,root:B,0.27897358,C
ERR4281064,root:B,0.27897358,C
ERR4281067,root:B,0.1763061,C
ERR4281027,root:B,0.27897358,C
