,root:12M,root:3Y,root:4M,root:B
ERR4282348,0.52661586,0.070190445,0.36822525,0.034968406
ERR4282361,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282371,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282375,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282386,0.17278457,0.14886862,0.6172122,0.06113461
ERR4282390,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282401,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282410,0.17278457,0.14886862,0.6172122,0.06113461
ERR4282414,0.6392527,0.07211268,0.25929335,0.02934135
ERR4282420,0.2906841,0.02618406,0.57795936,0.10517242
ERR4282430,0.22972876,0.06901643,0.28435636,0.4168985
ERR4282434,0.22972876,0.06901643,0.28435636,0.4168985
ERR4282439,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282441,0.55183536,0.077029586,0.34113026,0.0300048
ERR4282445,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282449,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282455,0.2906841,0.02618406,0.57795936,0.10517242
ERR4282470,0.22972876,0.06901643,0.28435636,0.4168985
ERR4282472,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282476,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282489,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282494,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282499,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282509,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282520,0.9473239,0.01547729,0.025901802,0.011297006
ERR4282548,0.2906841,0.02618406,0.57795936,0.10517242
ERR4282576,0.5578486,0.077067286,0.31764787,0.047436282
ERR4282583,0.2906841,0.02618406,0.57795936,0.10517242
ERR4282603,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282607,0.22972876,0.06901643,0.28435636,0.4168985
ERR4282652,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282661,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282667,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282679,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282694,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282715,0.6861057,0.08561432,0.16520883,0.06307113
ERR4282718,0.22972876,0.06901643,0.28435636,0.4168985
ERR4282730,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282735,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282757,0.2906841,0.02618406,0.57795936,0.10517242
ERR4282777,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282782,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282786,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282794,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282807,0.22972876,0.06901643,0.28435636,0.4168985
ERR4282822,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282828,0.3170725,0.030883715,0.54992104,0.10212275
ERR4282833,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282837,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282844,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282863,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282873,0.6861057,0.08561432,0.16520883,0.06307113
ERR4282879,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282884,0.2906841,0.02618406,0.57795936,0.10517242
ERR4282888,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282891,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282902,0.22972876,0.06901643,0.28435636,0.4168985
ERR4282905,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282913,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282920,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282929,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282931,0.3624472,0.09092689,0.15642412,0.39020184
ERR4282943,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282947,0.22972876,0.06901643,0.28435636,0.4168985
ERR4282953,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282961,0.5518347,0.077029474,0.34113088,0.030004906
ERR4282966,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282970,0.20751886,0.055731677,0.10005458,0.6366949
ERR4282977,0.55183554,0.0770296,0.3411301,0.03000478
ERR4282982,0.5456709,0.07532241,0.34780955,0.031197077
ERR4282986,0.22972876,0.06901643,0.28435636,0.4168985
ERR4282997,0.55183554,0.0770296,0.3411301,0.03000478
ERR4283001,0.55183554,0.0770296,0.3411301,0.03000478
ERR4283007,0.55183554,0.0770296,0.3411301,0.03000478
ERR4283019,0.6858984,0.08561021,0.16551404,0.062977195
ERR4283025,0.55183554,0.0770296,0.3411301,0.03000478
ERR4283032,0.20751886,0.055731677,0.10005458,0.6366949
ERR4283036,0.55183554,0.0770296,0.3411301,0.03000478
ERR4283043,0.20751886,0.055731677,0.10005458,0.6366949
ERR4283048,0.20751886,0.055731677,0.10005458,0.6366949
