t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,207,0,46,0.1818,1.0,0.0,1.0,1.0,1.0,0.1818,0.3077,0.744,0.4918
0.01,24,182,0,46,0.2778,1.0,0.1165,1.0,0.8835,1.0,0.2018,0.3358,0.744,0.4918
0.02,74,132,6,40,0.4524,0.8696,0.3592,0.8696,0.6408,0.8696,0.2326,0.367,0.744,0.4918
0.03,95,111,10,36,0.5198,0.7826,0.4612,0.7826,0.5388,0.7826,0.2449,0.3731,0.744,0.4918
0.04,127,79,12,34,0.6389,0.7391,0.6165,0.7391,0.3835,0.7391,0.3009,0.4277,0.744,0.4918
0.05,134,72,12,34,0.6667,0.7391,0.6505,0.7391,0.3495,0.7391,0.3208,0.4474,0.744,0.4918
0.06,146,60,13,33,0.7103,0.7174,0.7087,0.7174,0.2913,0.7174,0.3548,0.4748,0.744,0.4918
0.07,156,50,15,31,0.7421,0.6739,0.7573,0.6739,0.2427,0.6739,0.3827,0.4882,0.744,0.4918
0.08,160,46,16,30,0.754,0.6522,0.7767,0.6522,0.2233,0.6522,0.3947,0.4918,0.744,0.4918
0.09,161,45,19,27,0.746,0.587,0.7816,0.587,0.2184,0.587,0.375,0.4576,0.744,0.4918
0.1,166,40,21,25,0.7579,0.5435,0.8058,0.5435,0.1942,0.5435,0.3846,0.4505,0.744,0.4918
0.11,170,36,24,22,0.7619,0.4783,0.8252,0.4783,0.1748,0.4783,0.3793,0.4231,0.744,0.4918
0.12,176,30,25,21,0.7817,0.4565,0.8544,0.4565,0.1456,0.4565,0.4118,0.433,0.744,0.4918
0.13,180,26,26,20,0.7937,0.4348,0.8738,0.4348,0.1262,0.4348,0.4348,0.4348,0.744,0.4918
0.14,181,25,27,19,0.7937,0.413,0.8786,0.413,0.1214,0.413,0.4318,0.4222,0.744,0.4918
0.15,182,24,28,18,0.7937,0.3913,0.8835,0.3913,0.1165,0.3913,0.4286,0.4091,0.744,0.4918
0.16,187,19,28,18,0.8135,0.3913,0.9078,0.3913,0.0922,0.3913,0.4865,0.4337,0.744,0.4918
0.17,187,19,28,18,0.8135,0.3913,0.9078,0.3913,0.0922,0.3913,0.4865,0.4337,0.744,0.4918
0.18,188,18,30,16,0.8095,0.3478,0.9126,0.3478,0.0874,0.3478,0.4706,0.4,0.744,0.4918
0.19,192,14,30,16,0.8254,0.3478,0.932,0.3478,0.068,0.3478,0.5333,0.4211,0.744,0.4918
0.2,192,14,30,16,0.8254,0.3478,0.932,0.3478,0.068,0.3478,0.5333,0.4211,0.744,0.4918
0.21,192,14,31,15,0.8214,0.3261,0.932,0.3261,0.068,0.3261,0.5172,0.4,0.744,0.4918
0.22,195,12,32,14,0.8261,0.3043,0.942,0.3043,0.058,0.3043,0.5385,0.3889,0.744,0.4918
0.23,196,10,33,13,0.8294,0.2826,0.9515,0.2826,0.0485,0.2826,0.5652,0.3768,0.744,0.4918
0.24,196,10,37,9,0.8135,0.1957,0.9515,0.1957,0.0485,0.1957,0.4737,0.2769,0.744,0.4918
0.25,197,9,38,8,0.8135,0.1739,0.9563,0.1739,0.0437,0.1739,0.4706,0.254,0.744,0.4918
0.26,199,7,38,8,0.8214,0.1739,0.966,0.1739,0.034,0.1739,0.5333,0.2623,0.744,0.4918
0.27,202,4,38,8,0.8333,0.1739,0.9806,0.1739,0.0194,0.1739,0.6667,0.2759,0.744,0.4918
0.28,202,4,38,8,0.8333,0.1739,0.9806,0.1739,0.0194,0.1739,0.6667,0.2759,0.744,0.4918
0.29,202,4,38,8,0.8333,0.1739,0.9806,0.1739,0.0194,0.1739,0.6667,0.2759,0.744,0.4918
0.3,202,4,38,8,0.8333,0.1739,0.9806,0.1739,0.0194,0.1739,0.6667,0.2759,0.744,0.4918
0.31,203,3,39,7,0.8333,0.1522,0.9854,0.1522,0.0146,0.1522,0.7,0.25,0.744,0.4918
0.32,203,3,40,6,0.8294,0.1304,0.9854,0.1304,0.0146,0.1304,0.6667,0.2182,0.744,0.4918
0.33,204,2,42,4,0.8254,0.087,0.9903,0.087,0.0097,0.087,0.6667,0.1538,0.744,0.4918
0.34,204,2,42,4,0.8254,0.087,0.9903,0.087,0.0097,0.087,0.6667,0.1538,0.744,0.4918
0.35,205,1,42,4,0.8294,0.087,0.9951,0.087,0.0049,0.087,0.8,0.1569,0.744,0.4918
0.36,205,1,43,3,0.8254,0.0652,0.9951,0.0652,0.0049,0.0652,0.75,0.12,0.744,0.4918
0.37,207,0,44,2,0.8261,0.0435,1.0,0.0435,0.0,0.0435,1.0,0.0833,0.744,0.4918
0.38,207,0,45,1,0.8221,0.0217,1.0,0.0217,0.0,0.0217,1.0,0.0426,0.744,0.4918
0.39,207,0,46,0,0.8182,0.0,1.0,0.0,0.0,0.0,0.0,,0.744,0.4918
0.4,207,0,46,0,0.8182,0.0,1.0,0.0,0.0,0.0,0.0,,0.744,0.4918
0.41,207,0,46,0,0.8182,0.0,1.0,0.0,0.0,0.0,0.0,,0.744,0.4918
0.42,207,0,46,0,0.8182,0.0,1.0,0.0,0.0,0.0,0.0,,0.744,0.4918
0.43,207,0,46,0,0.8182,0.0,1.0,0.0,0.0,0.0,0.0,,0.744,0.4918
