t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,199,0,54,0.2134,1.0,0.0,1.0,1.0,1.0,0.2134,0.3518,0.8668,0.6043
0.01,26,173,0,54,0.3162,1.0,0.1307,1.0,0.8693,1.0,0.2379,0.3843,0.8668,0.6043
0.02,58,140,0,54,0.4444,1.0,0.2929,1.0,0.7071,1.0,0.2784,0.4355,0.8668,0.6043
0.03,77,122,0,54,0.5178,1.0,0.3869,1.0,0.6131,1.0,0.3068,0.4696,0.8668,0.6043
0.04,93,105,0,54,0.5833,1.0,0.4697,1.0,0.5303,1.0,0.3396,0.507,0.8668,0.6043
0.05,119,80,2,51,0.6746,0.9623,0.598,0.9623,0.402,0.9623,0.3893,0.5543,0.8668,0.6043
0.06,130,69,2,51,0.7183,0.9623,0.6533,0.9623,0.3467,0.9623,0.425,0.5896,0.8668,0.6043
0.07,134,65,4,49,0.7262,0.9245,0.6734,0.9245,0.3266,0.9245,0.4298,0.5868,0.8668,0.6043
0.08,140,58,7,46,0.741,0.8679,0.7071,0.8679,0.2929,0.8679,0.4423,0.586,0.8668,0.6043
0.09,144,55,9,44,0.746,0.8302,0.7236,0.8302,0.2764,0.8302,0.4444,0.5789,0.8668,0.6043
0.1,150,49,12,42,0.7589,0.7778,0.7538,0.7778,0.2462,0.7778,0.4615,0.5793,0.8668,0.6043
0.11,156,43,12,42,0.7826,0.7778,0.7839,0.7778,0.2161,0.7778,0.4941,0.6043,0.8668,0.6043
0.12,157,42,14,39,0.7778,0.7358,0.7889,0.7358,0.2111,0.7358,0.4815,0.5821,0.8668,0.6043
0.13,161,38,18,36,0.7787,0.6667,0.809,0.6667,0.191,0.6667,0.4865,0.5625,0.8668,0.6043
0.14,164,34,18,36,0.7937,0.6667,0.8283,0.6667,0.1717,0.6667,0.5143,0.5806,0.8668,0.6043
0.15,167,32,21,32,0.7897,0.6038,0.8392,0.6038,0.1608,0.6038,0.5,0.547,0.8668,0.6043
0.16,168,31,22,31,0.7897,0.5849,0.8442,0.5849,0.1558,0.5849,0.5,0.5391,0.8668,0.6043
0.17,170,28,24,30,0.7937,0.5556,0.8586,0.5556,0.1414,0.5556,0.5172,0.5357,0.8668,0.6043
0.18,172,27,25,28,0.7937,0.5283,0.8643,0.5283,0.1357,0.5283,0.5091,0.5185,0.8668,0.6043
0.19,174,25,25,28,0.8016,0.5283,0.8744,0.5283,0.1256,0.5283,0.5283,0.5283,0.8668,0.6043
0.2,176,22,26,27,0.8088,0.5094,0.8889,0.5094,0.1111,0.5094,0.551,0.5294,0.8668,0.6043
0.21,180,19,27,26,0.8175,0.4906,0.9045,0.4906,0.0955,0.4906,0.5778,0.5306,0.8668,0.6043
