,ROC-AUC,F-max
root:12M,0.7877,0.48
root:3Y,0.741,0.4444
root:4M,0.8835,0.6372
root:5Y,0.8146,0.4235
root:B,0.9182,0.8378
root:M,0.7942,0.5682
root:12M:C,0.4953,0.2136
root:12M:V,0.7701,0.3206
root:3Y:C,0.7977,0.3855
root:3Y:V,0.7249,0.24
root:4M:C,0.7629,0.5246
root:4M:V,0.8153,0.3922
root:5Y:C,0.7839,0.3364
root:5Y:V,0.8976,0.48
root:B:C,0.9584,0.8506
root:B:V,0.7864,0.2564
