Samples	ERR4281055	ERR4281020	ERR4281023	ERR4281026	ERR4281071	ERR4281074	ERR4281076	ERR4281037	ERR4281039	ERR4281042	ERR4281087	ERR4281048	ERR4281094	ERR4281097	ERR4281100	ERR4281101	ERR4281115	ERR4281120	ERR4281128	ERR4281137	ERR4281142	ERR4281149	ERR4281156	ERR4281160	ERR4281167	ERR4281170	ERR4281174	ERR4281178	ERR4281183	ERR4281186	ERR4281193	ERR4281196	ERR4281198	ERR4281203	ERR4281209	ERR4281214	ERR4281221	ERR4281227	ERR4281231	ERR4281237	ERR4281244	ERR4281252	ERR4281257	ERR4281263	ERR4281268	ERR4281272	ERR4281279	ERR4281283	ERR4281290	ERR4281295	ERR4281299	ERR4281305	ERR4281311	ERR4281319	ERR4281325	ERR4281334	ERR4281335	ERR4281340	ERR4281349	ERR4281354	ERR4281361	ERR4281367	ERR4281374	ERR4281387	ERR4281394	ERR4281402	ERR4281409	ERR4281416	ERR4281423	ERR4281429	ERR4281435	ERR4281439	ERR4281444	ERR4281450	ERR4281456	ERR4281462	ERR4281468	ERR4281474	ERR4281487	ERR4281495	ERR4281500	ERR4281502	ERR4281507	ERR4281513	ERR4281519	ERR4281531	ERR4281539	ERR4281543	ERR4281549	ERR4281555	ERR4281561	ERR4281570	ERR4281576	ERR4281580	ERR4281585	ERR4281586	ERR4281593	ERR4281600	ERR4281605	ERR4281641	ERR4281656	ERR4281665	ERR4281671	ERR4281675	ERR4281682	ERR4281692	ERR4281698	ERR4281917	ERR4282067	ERR4282523	ERR4282528	ERR4282534	ERR4282541	ERR4282550	ERR4282555	ERR4282562	ERR4282611	ERR4282629	ERR4282637	ERR4282656	ERR4282681	ERR4282697	ERR4282702	ERR4282740	ERR4282764	ERR4282768	ERR4282796	ERR4282815	ERR4282845	ERR4282850	ERR4282866	ERR4282882	ERR4282955
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.2568128241395568	0.0	0.0	0.0050239985645718	9.405568096313016e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0297400937366851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7799511002445e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.591590248266606e-05	0.0	0.0416800256492465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3095141972816579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1282632541133455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001150020125352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009485358497908	0.0	0.0	0.0	0.0	0.0005136304685593	0.0	0.0	0.0	0.0	0.4035795311318376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4680874168589657	0.0	0.0004773106951689	0.0	0.4421983294828505	0.0004990019960079	0.0	0.0	0.0	0.0	0.0	0.0	0.0004639223084774	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	0.0793965110796793	0.0	0.0	0.0156551383842461	0.0503197893152746	0.1281931464174454	0.0	0.0	0.017918528704022	0.0	0.2087967644084934	0.0	0.0615537848605577	0.0	0.0	0.0	0.0068180666092157	0.1168025945533457	0.0003472825143254	0.0	0.0	0.0	0.0010315659170621	0.0806135492117597	0.0199476641928703	0.0	0.0	0.0172312006493985	0.3315142494901053	0.0	0.0	0.0127226463104325	0.0	0.0001955990220048	0.0	0.0096484524264424	0.3011522070816015	0.0195395334747046	0.0620544690184609	0.0	0.0	0.000734214390602	0.0	0.0001402180390507	0.1293149513733034	0.0	0.1475417593337434	0.1873665703880447	0.0	0.0010658914728682	0.0	0.0	0.1192316130762292	0.0306044376434583	0.0	0.0347238738524473	0.0	0.0337051697253208	0.0	0.0	0.0611954814094411	0.2853142076502732	0.0062462372065021	0.1535671100362756	0.0	0.0070241161320533	0.0927196877943749	0.0	0.0	0.0	0.2449300751209953	0.0	0.0480516375806837	0.0	0.3774040219378428	0.4002750554733728	0.0	9.002520705797624e-05	0.0	7.209458809958664e-05	0.0	0.0	0.0050776406683592	0.0002197560707614	0.0	0.0001404001404001	7.384433613941809e-05	0.1323337023246452	0.2536683417085427	4.642597378480013e-05	0.117877094972067	0.0	0.0	0.0004025070438732	0.0	0.0112746997287872	0.2477023088993499	0.0	0.1721529980820959	0.111703814231092	0.052703096185577	0.0012647144663877	0.0612400566633976	0.0002123705866737	0.0005113127956027	0.1931071373987467	8.988533199789409e-05	0.0002064356307898	0.0	0.1603888784520007	0.0	0.1381396521300731	0.0	0.0	0.0	0.0	0.0	0.0578117534639273	0.0010337698139214	0.0	0.0	0.0016364938120077	0.0	0.0153278834192287	0.061002994011976	0.0406288994260044	0.0151332474119652	0.0	0.0	0.0078253152983569	0.0	0.0793925710574335	0.0137324321424739
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	0.0618104667609618	0.0	0.0513518647502057	0.1292782487776432	0.0807468021068472	0.0562305295950155	0.0	0.0	0.0367394293571674	0.0	0.0108190091001011	0.3636798088410992	0.0360557768924302	0.0001060726597719	0.0295289282326904	0.2167802385008518	0.2783241242966493	0.069967091143225	0.147942351102622	0.3385411580900303	0.0213106731325354	0.1319786219624731	0.0008940237947871	0.1682147422241159	0.0581699626785637	0.3907870831623982	0.3789271777233944	0.1614272009445797	0.05076897635191	0.0010479434110558	0.0003457416157658	0.0449979911611088	0.0	0.2437163814180929	0.5350933921710351	0.1453954910202522	0.1713053085705266	0.103680702817328	0.0299762383476512	0.0	0.0	0.2223445912873225	0.0	0.2039821923090404	0.0816501015282676	0.0012698412698412	0.3472767709269862	0.098832098455356	0.1150389454763331	0.0216085271317829	0.7093411733262059	0.0023226728604609	0.183491382462641	0.0703902065799541	0.0008635186110984	0.1056461970223089	0.0048580373529094	0.0783255367638239	0.0721386144708091	0.0679148738225375	0.1401960050871549	0.1194672131147541	0.1692755368252056	0.081136638452237	0.1256319414036065	0.0028096464528213	0.0853855470327008	0.0	0.0	0.1562809991883849	0.297544463909261	0.2353531551875549	0.0506813291895768	0.1013570822731128	0.0220840950639853	0.0862957655325443	0.0720419847328244	0.0	0.2995849578669349	0.112323368259156	0.0010873786407766	0.5103664102229756	0.0636476353545492	0.000769146247665	0.0	0.0002106002106002	0.4591271599468321	0.1606118546845124	0.0430150753768844	0.0	0.1002793296089385	0.0237814465408805	0.0012347372753464	0.000287505031338	0.4076387790605725	0.0618364974815962	0.0970634386908764	0.1191927912372524	0.0306020288771214	0.247747831763499	0.1107444433660099	0.0013863216266173	0.0199956412771058	0.2579240775152641	0.0005113127956027	0.1518798716185236	7.704457028390924e-05	0.073516889015044	0.1014117151285292	0.0247980462145406	0.0180167195157105	0.1267960675573481	0.209958932238193	0.2064428091037574	0.0603071195905072	0.048780487804878	0.0	0.0725274725274725	0.049552033080634	0.0785394326048595	0.0197486535008976	0.0	0.0	0.0061311533676914	0.156187624750499	0.080658847017719	0.0127219057913773	0.3315842583249243	0.4032997250229148	0.0777422217441579	0.0	0.057309869173909	0.2479347709473232
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__bromii	0.05007072135785	0.0	0.0	0.000493428430449	9.405568096313016e-05	0.0144859813084112	0.0	0.0	0.0316259883121347	0.0004046125834513	0.0549039433771486	0.0	0.0	0.0	0.0	0.0	0.0002027677801997	0.004006295607383	0.0	0.0	0.0	0.0	0.0	0.0271836386876864	0.0	0.0614194455840121	0.0529135524836298	0.0242786510220648	0.0705584036161181	0.0014409221902017	0.0	0.0002232043212356	0.0	0.0	0.0	0.0570309514711501	0.0614510443520808	0.0012874886398061	0.0402120270517272	0.0	0.0	0.0	0.0	0.0190345988011357	0.010366570481992	0.0007760141093474	0.0	0.0	0.0	0.0116279069767441	0.0	0.0	0.0178688964189073	0.0	0.0	0.0	0.0	0.0	0.0053857753977779	0.0001744388882428	0.0032168773846038	0.0	0.0238811960666265	0.0062877871825876	0.0116237410931093	0.0	0.0	0.0	0.0	0.0161421228244205	0.0	0.0	0.0769782452785082	0.0	0.0156489945155393	0.0620723927514792	0.0516857506361323	0.0001200336094106	0.0667840523204628	9.612611746611554e-05	0.0007766990291262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0379899497487437	3.095064918986676e-05	0.0	0.0	0.0	0.0004025070438732	0.0038747430017396	0.0	0.0462900694911454	0.0	0.0105545034558459	0.0194721626410519	0.0144618072406095	4.864286409183773e-05	0.0	0.0	0.0	0.0111187528656579	3.852228514195462e-05	0.0	0.025811209439528	0.0	0.0	0.0030249558860599	0.0	0.0	0.0315495579339227	0.0	0.0	0.0	0.0305306685044796	0.0	0.0663591118787355	0.0	0.0	0.0	0.0446606786427145	0.0460693785874719	0.039371388184426	0.0	0.0	0.0130421921639282	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0.0438000942951438	0.0	0.0	0.0307271340779616	0.1515707298720842	0.0	0.0	0.006006006006006	0.0138363698865589	0.0	0.0810920121334681	0.0	0.1358565737051792	0.0	0.3361365791969649	0.000461385576377	0.0	0.0	0.0	0.0002441167854701	0.1266628108733372	0.0	0.198748366687298	0.0567533020877716	0.0023594011410921	0.0	0.0	0.1809829532875802	0.0	0.0001309929263819	0.0	0.0	0.4031655524970507	0.0	0.0	0.0410775697363393	0.0	0.0800136322326567	0.0386583805520014	0.1850140618722378	0.0	0.0	0.0	7.010901952536192e-05	0.0	0.2478306878306878	0.1384564425306393	0.0	0.0079388855602156	0.4515503875968993	0.0	0.7663033768090048	0.022915092269813	0.0934710533027289	0.3677225832840976	0.0400989392570042	0.2047932635215373	0.0948782535684299	0.0	0.0	0.0	0.1771174863387978	0.0	0.0887545344619105	0.1648421639265953	0.0014048232264106	0.0587404117884537	0.000276510438269	0.0	0.4756064568491298	0.0	0.0003136369338853	0.1200095625149414	0.0	0.0	0.0001733542899408	0.5100190839694656	0.0	0.1285372909068042	0.0	0.0	0.0	0.000118084666706	0.0002197560707614	0.0	0.693015093015093	0.0	5.031699708161417e-05	0.0	0.000216654544329	0.0	0.0002680102915951	0.1041295102208807	0.0	0.0406452633243713	7.748934521503294e-05	0.0011208249271463	0.5639130200183456	0.0022194612981436	0.0006528023873915	0.1852858390759972	0.6276631968090282	0.098343685300207	0.0	0.0	0.0001146263182026	0.0	0.7886099140711686	0.206890012642225	0.3475483749765169	0.0	0.0	0.4899897330595482	0.0	0.0	0.558408215661104	0.0	0.1198996655518394	0.0056512749827705	0.178743043301208	0.1904870122491648	0.0027615833077631	0.3380035852438909	0.0574462413364137	0.0	0.0557524332418268	0.549120691805596	0.0	0.0015712976299594	0.3137655632344636	0.5614059590316574	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis	0.0434229137199434	0.0	0.0	0.0301888485174718	0.0	0.0278816199376947	0.0	0.0	0.0523805431419731	0.1851102569289905	0.0001011122345803	0.0	0.0	0.0	0.0223838128359152	0.0	0.0001774218076747	0.0070587113082462	0.0	0.0	0.1622102593762512	0.0	0.0	0.0269279931827865	8.579640513062503e-05	0.0	0.0	0.0988856910929082	0.0	0.0003929787791459	0.0	0.0	0.0	0.0003911980440097	0.0	0.0	0.1068553690745514	0.0	0.1977700603180406	0.271695460024106	0.0	0.0002447381302006	0.216674122120331	0.3037473270936306	0.0010687186063909	0.0	0.0	0.000251161622504	0.0	0.0	0.0006681812107443	0.0	0.0	0.0	0.0	0.0188365123911906	0.0002159127712404	0.0	0.0	0.0019769740667519	0.0	0.0	0.0813515954244431	0.0	0.0	0.0007024116132053	0.0	0.0	0.0	0.0	0.0	0.0001254547735541	0.0	0.0	0.0	0.0	0.0	0.0	0.1071563325367878	0.0	0.0	0.0	0.0	0.0002197560707614	0.0	0.0	0.0	0.0	0.0	0.0	0.0009776536312849	0.0235670383076043	0.0	0.0007475130814789	0.0	0.0	0.0	0.0001079156099929	4.824915865529594e-05	0.0001678634710435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0896123050990307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011026878015161	0.0	0.1668068086266845	0.0	0.0	0.0679758308157099	0.0793413173652694	0.1491889193910656	0.0	0.0	0.0	0.0	0.0	0.0485262734667367	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__	0.0356435643564356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0123787910047452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0304750599953552	0.0241887905604719	0.0	0.0	0.0	0.0985626283367556	0.0272917783517715	0.016379711493718	0.017971758664955	0.0	0.0001672240802675	0.00434183321847	0.0	0.0144308342613003	0.0	0.0	0.0	0.0	0.0	0.0268573566706855	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__onderdonkii	0.0280999528524281	0.0	0.0	0.0053379984748575	0.0062547027840481	0.0135514018691588	0.0	0.0	0.0013320728772774	0.000606918875177	0.0029322548028311	0.0	0.0179282868525896	0.0	0.0319949415112235	0.4657864849517321	0.0	0.0046740115419468	0.0	0.0	0.0	0.0009996924023377	0.0	0.0	0.0	0.0039559280314129	0.0050267874859448	0.0106634196738248	0.0001102475056501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011360193880642	0.0164503747029793	0.0	0.0	0.0	0.0038022813688212	0.0112524976338205	0.0010687186063909	7.054673721340387e-05	0.0	0.1189250282556825	0.3028759736369083	0.0007751937984496	0.0	0.0001786671431123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033469945355191	0.0	0.0	0.1340312885633533	0.0009365488176071	0.0	0.0	0.0	0.0	0.0	0.0	0.1136743963662443	0.0	0.0058500914076782	8.089866863905326e-05	0.0694974554707379	0.0	0.0153439818890705	0.0001201576468326	0.0	0.0006519754857217	0.0	0.0	0.0	0.0	0.0	0.4264868672637617	0.0	9.285194756960028e-05	0.1008379888268156	0.0	0.0	0.0003450060376056	0.0	0.0	0.0	0.0132736200291372	0.0381650844963391	0.0002238179613914	0.0	7.296429613775658e-05	0.0	0.0	0.0	0.0	3.852228514195462e-05	0.0	0.0	0.0	0.169068895935428	0.0	0.0	0.0	0.0	0.0128369704749679	0.0	0.001122790253225	0.0010337698139214	0.0	0.0073176828852578	0.0	0.0040569865081611	0.0020437177892304	0.0	0.0141751934115298	0.0	0.0	0.2459080790886473	0.0239599860166187	0.0009776536312849	0.0	0.0489217895075635
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__	0.0248467703913248	0.0	0.0	0.0094199973085721	0.0150489089541008	0.0158878504672897	0.0	0.0	0.0043399793743554	0.0	0.0037411526794742	0.0	0.0147410358565737	0.0	0.0043629465697122	0.0	0.0	0.0046740115419468	0.0	0.0	0.0	0.0	0.0	0.0425223689816787	0.0	0.0	0.0	0.0035790716552283	0.0	0.0	0.0	0.0039283960537476	0.0	0.0200488997555012	0.0	0.0062094000764233	0.0086810122586415	0.0001893365646773	0.0	0.0	0.0	0.0	0.0	0.0	0.0012824623276691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0141422865162474	0.0	0.0	0.0	0.0	0.0045081967213114	0.0438240016054585	0.0154776299879081	0.0	0.0	0.0	0.0	0.0	0.0001803589142393	0.0	0.0	0.0	0.0	0.0228884826325411	5.778476331360946e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0102492102492102	0.0	0.0	0.0164824120603015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0083095019694598	0.0045957323619169	0.0026485125431315	0.0	7.296429613775658e-05	0.0050125313283208	0.0	0.0	0.0069157878648937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0091839281257798	0.0	0.0	0.0	0.0038185387366552	0.0	0.0038350910834132	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Gemmiger; s__formicilis	0.0238566713814238	0.0	0.0	0.0387565603552684	0.0458051166290443	0.0409657320872274	0.0	0.0	0.0214420763148848	0.0	0.0348837209302325	0.0	0.0227091633466135	0.0	0.0	0.0	7.603791757489735e-05	0.0127819907473649	0.0	0.0	0.0	0.0	0.0	0.0334043459735833	0.004675904079619	8.790951180917775e-05	0.0	0.0	0.0214431398489609	0.0001309929263819	0.0	0.0	0.0	0.0	0.0	0.0	0.0319882148682064	0.0	0.0	0.0	0.0	0.0002447381302006	0.0001118318049653	0.0	0.018275088169285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020721094073767	0.0238459576638612	0.0001363450438576	0.0	0.0	0.0184718723761544	0.0	5.814629608093962e-05	0.0	0.0	0.0826058599237407	0.0	7.961466502129694e-05	0.0	0.0	0.000276510438269	0.0	0.0	0.0	0.0	0.0108773607458761	0.0	0.0190859232175502	0.0	0.0	0.0	0.0	4.806305873305777e-05	0.0	0.0	0.0	0.0	0.0	0.0002808002808002	0.0	0.0	0.0	4.642597378480013e-05	0.0004189944134078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0090467172478679	0.0001492119742609	0.0108706202077064	0.000291857184551	0.0483273400893538	0.0	0.0	0.0	3.852228514195462e-05	0.0	0.0309734513274336	0.015404846890851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000551343900758	0.0888557078865209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0342592841584424	0.0	0.0	0.0
