,ROC-AUC,F-max
root:12M,0.7396,0.4865
root:3Y,0.748,0.4654
root:4M,0.9073,0.6667
root:5Y,0.8806,0.6038
root:B,0.9019,0.5946
root:M,0.7701,0.5195
root:12M:C,0.6114,0.1714
root:12M:V,0.6804,0.4151
root:3Y:C,0.5856,0.1757
root:3Y:V,0.759,0.4531
root:4M:C,0.8499,0.3784
root:4M:V,0.8433,0.5806
root:5Y:C,0.8172,0.2667
root:5Y:V,0.8898,0.5
root:B:C,0.896,0.7368
root:B:V,0.8452,0.3636
