,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.0976,1.0,0.0,1.0,1.0,1.0,0.0976,0.1738,0.4041,0.7778
1,0.2405,0.9869,0.1553,0.9869,0.8447,0.9869,0.112,0.1972,0.4041,0.7778
2,0.3762,0.9745,0.307,0.9745,0.693,0.9745,0.1313,0.227,0.4041,0.7778
3,0.4859,0.9494,0.4308,0.9494,0.5692,0.9494,0.1534,0.2591,0.4041,0.7778
4,0.5538,0.8993,0.5102,0.8993,0.4898,0.8993,0.1667,0.2765,0.4041,0.7778
5,0.6116,0.8288,0.5788,0.8288,0.4212,0.8288,0.1768,0.2872,0.4041,0.7778
6,0.6624,0.7651,0.6403,0.7651,0.3597,0.7651,0.1866,0.2968,0.4041,0.7778
7,0.7099,0.7159,0.6981,0.7159,0.3019,0.7159,0.1963,0.3043,0.4041,0.7778
8,0.7401,0.6813,0.7354,0.6813,0.2646,0.6813,0.2113,0.3182,0.4041,0.7778
9,0.7592,0.6467,0.7596,0.6467,0.2404,0.6467,0.2167,0.3187,0.4041,0.7778
10,0.7737,0.5863,0.78,0.5863,0.22,0.5863,0.2077,,0.4041,0.7778
11,0.7904,0.5698,0.8005,0.5698,0.1995,0.5698,0.2173,,0.4041,0.7778
12,0.8001,0.5338,0.8148,0.5338,0.1852,0.5338,0.2142,,0.4041,0.7778
13,0.8065,0.5182,0.8249,0.5182,0.1751,0.5182,0.2167,,0.4041,0.7778
14,0.8135,0.4999,0.8346,0.4999,0.1654,0.4999,0.2156,,0.4041,0.7778
15,0.822,0.4893,0.8454,0.4893,0.1546,0.4893,0.2264,,0.4041,0.7778
16,0.8239,0.4709,0.8512,0.4709,0.1488,0.4709,0.2231,,0.4041,0.7778
17,0.8279,0.455,0.8573,0.455,0.1427,0.455,0.2222,,0.4041,0.7778
18,0.8313,0.4407,0.8625,0.4407,0.1375,0.4407,0.2209,,0.4041,0.7778
19,0.8352,0.4407,0.8668,0.4407,0.1332,0.4407,0.2254,,0.4041,0.7778
20,0.8407,0.424,0.8747,0.424,0.1253,0.424,0.2256,,0.4041,0.7778
21,0.845,0.4119,0.8816,0.4119,0.1184,0.4119,0.2305,,0.4041,0.7778
22,0.8482,0.4099,0.8856,0.4099,0.1144,0.4099,0.2392,,0.4041,0.7778
23,0.8519,0.4003,0.891,0.4003,0.109,0.4003,0.2478,,0.4041,0.7778
24,0.8559,0.3941,0.8968,0.3941,0.1032,0.3941,0.2571,,0.4041,0.7778
25,0.8607,0.3916,0.9027,0.3916,0.0973,0.3916,0.283,,0.4041,0.7778
26,0.8661,0.364,0.9117,0.364,0.0883,0.364,0.3009,,0.4041,0.7778
27,0.8674,0.3574,0.9144,0.3574,0.0857,0.3574,0.3146,,0.4041,0.7778
28,0.8673,0.3331,0.9175,0.3331,0.0825,0.3331,0.3126,,0.4041,0.7778
29,0.8673,0.3331,0.9175,0.3331,0.0825,0.3331,0.3126,,0.4041,0.7778
