,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2814,0.566,0.8307
1,0.1834,0.9962,0.0242,0.9962,0.9758,0.9962,0.1672,0.2858,0.566,0.8307
2,0.3563,0.9962,0.2304,0.9962,0.7696,0.9962,0.203,0.3368,0.566,0.8307
3,0.46,0.9843,0.3581,0.9843,0.6419,0.9843,0.2333,0.3757,0.566,0.8307
4,0.5189,0.9802,0.4293,0.9802,0.5707,0.9802,0.2562,0.4039,0.566,0.8307
5,0.5569,0.9693,0.4772,0.9693,0.5228,0.9693,0.2729,0.4227,0.566,0.8307
6,0.5862,0.9644,0.513,0.9644,0.487,0.9644,0.2889,0.4405,0.566,0.8307
7,0.6302,0.9492,0.5695,0.9492,0.4305,0.9492,0.3051,0.4585,0.566,0.8307
8,0.6502,0.9333,0.5967,0.9333,0.4033,0.9333,0.3144,0.467,0.566,0.8307
9,0.6668,0.9213,0.6191,0.9213,0.3809,0.9213,0.3246,0.4762,0.566,0.8307
10,0.6973,0.8547,0.6667,0.8547,0.3332,0.8547,0.3767,0.501,0.566,0.8307
11,0.7093,0.8289,0.6858,0.8289,0.3142,0.8289,0.3948,0.506,0.566,0.8307
12,0.722,0.8069,0.7049,0.8069,0.2951,0.8069,0.4087,0.5098,0.566,0.8307
13,0.7313,0.7902,0.7192,0.7902,0.2808,0.7902,0.4178,0.5128,0.566,0.8307
14,0.734,0.7789,0.7247,0.7789,0.2753,0.7789,0.417,0.5096,0.566,0.8307
15,0.7453,0.7621,0.7415,0.7621,0.2585,0.7621,0.43,0.5154,0.566,0.8307
16,0.75,0.7241,0.7541,0.7241,0.2459,0.7241,0.4269,0.504,0.566,0.8307
17,0.7573,0.7192,0.7637,0.7192,0.2363,0.7192,0.4338,0.5088,0.566,0.8307
18,0.772,0.7012,0.7841,0.7012,0.2159,0.7012,0.4458,0.5159,0.566,0.8307
19,0.7767,0.68,0.7935,0.68,0.2065,0.68,0.4484,0.5137,0.566,0.8307
20,0.7793,0.6574,0.8006,0.6574,0.1994,0.6574,0.4468,0.5061,0.566,0.8307
21,0.7853,0.645,0.8101,0.645,0.1899,0.645,0.4524,0.508,0.566,0.8307
22,0.7947,0.6401,0.822,0.6401,0.178,0.6401,0.4643,0.5151,0.566,0.8307
23,0.7993,0.6104,0.8332,0.6104,0.1668,0.6104,0.4626,0.5053,0.566,0.8307
24,0.8067,0.6104,0.8419,0.6104,0.1581,0.6104,0.4736,0.5129,0.566,0.8307
25,0.8093,0.5972,0.8474,0.5972,0.1526,0.5972,0.4749,0.5097,0.566,0.8307
26,0.818,0.5932,0.8585,0.5932,0.1415,0.5932,0.4916,0.5186,0.566,0.8307
27,0.826,0.5848,0.8696,0.5848,0.1304,0.5848,0.5103,0.5264,0.566,0.8307
28,0.83,0.5772,0.876,0.5772,0.124,0.5772,0.5192,0.5286,0.566,0.8307
29,0.83,0.5772,0.876,0.5772,0.124,0.5772,0.5192,0.5286,0.566,0.8307
30,0.832,0.54,0.8854,0.54,0.1146,0.54,0.5237,0.5132,0.566,0.8307
31,0.8327,0.5085,0.8918,0.5085,0.1082,0.5085,0.5172,0.4904,0.566,0.8307
32,0.8333,0.488,0.8965,0.488,0.1035,0.488,0.5301,0.4805,0.566,0.8307
33,0.8327,0.4701,0.8989,0.4701,0.1011,0.4701,0.5216,0.4627,0.566,0.8307
34,0.8347,0.4624,0.9028,0.4624,0.0972,0.4624,0.5475,0.4618,0.566,0.8307
35,0.8367,0.4452,0.9084,0.4452,0.0916,0.4452,0.5633,0.4494,0.566,0.8307
36,0.8353,0.4197,0.9115,0.4197,0.0885,0.4197,0.5896,0.4278,0.566,0.8307
37,0.836,0.4024,0.9155,0.4024,0.0845,0.4024,0.5876,0.4118,0.566,0.8307
38,0.8393,0.3858,0.9227,0.3858,0.0773,0.3858,0.593,0.4031,0.566,0.8307
39,0.842,0.3574,0.9315,0.3574,0.0685,0.3574,0.5771,0.3786,0.566,0.8307
40,0.848,0.3524,0.9394,0.3524,0.0605,0.3524,0.5999,0.375,0.566,0.8307
41,0.8487,0.3314,0.9443,0.3314,0.0557,0.3314,0.4342,,0.566,0.8307
42,0.8513,0.3314,0.9474,0.3314,0.0526,0.3314,0.4418,,0.566,0.8307
43,0.8514,0.3231,0.9499,0.3231,0.0501,0.3231,0.432,,0.566,0.8307
44,0.8542,0.3193,0.9539,0.3193,0.0461,0.3193,0.4446,,0.566,0.8307
45,0.8555,0.3193,0.9555,0.3193,0.0445,0.3193,0.4562,,0.566,0.8307
46,0.8535,0.3069,0.9555,0.3069,0.0445,0.3069,0.4238,,0.566,0.8307
47,0.8562,0.3028,0.9595,0.3028,0.0405,0.3028,0.4286,,0.566,0.8307
48,0.8568,0.299,0.9611,0.299,0.0389,0.299,0.4339,,0.566,0.8307
49,0.8575,0.299,0.9619,0.299,0.0381,0.299,0.4408,,0.566,0.8307
50,0.8582,0.299,0.9627,0.299,0.0373,0.299,0.4448,,0.566,0.8307
