,ROC-AUC,F-max
root:12M,0.7445,0.4545
root:3Y,0.7202,0.4304
root:4M,0.923,0.76
root:5Y,0.8046,0.4099
root:B,0.9495,0.7812
root:M,0.8422,0.56
root:12M:C,0.6011,0.3548
root:12M:V,0.6551,0.3529
root:3Y:C,0.744,0.4918
root:3Y:V,0.8329,0.087
root:4M:C,0.8668,0.6043
root:4M:V,0.8372,0.1579
root:5Y:C,0.8332,0.5455
root:5Y:V,0.8563,0.08
root:B:C,0.9686,0.8478
root:B:V,0.5389,0.0148
