Samples	ERR4281017	ERR4281064	ERR4281067	ERR4281027	ERR4281030	ERR4281035	ERR4281083	ERR4281043	ERR4281046	ERR4281092	ERR4281053	ERR4281104	ERR4281118	ERR4281123	ERR4281131	ERR4281139	ERR4281152	ERR4281159	ERR4281172	ERR4281177	ERR4281181	ERR4281185	ERR4281189	ERR4281206	ERR4281212	ERR4281234	ERR4281240	ERR4281247	ERR4281260	ERR4281266	ERR4281275	ERR4281282	ERR4281286	ERR4281302	ERR4281308	ERR4281314	ERR4281322	ERR4281329	ERR4281338	ERR4281343	ERR4281358	ERR4281364	ERR4281370	ERR4281377	ERR4281390	ERR4281398	ERR4281405	ERR4281412	ERR4281419	ERR4281426	ERR4281432	ERR4281438	ERR4281447	ERR4281453	ERR4281459	ERR4281465	ERR4281471	ERR4281476	ERR4281479	ERR4281484	ERR4281494	ERR4281498	ERR4281510	ERR4281516	ERR4281526	ERR4281534	ERR4281546	ERR4281552	ERR4281564	ERR4281573	ERR4281589	ERR4281597	ERR4281608	ERR4281617	ERR4281629	ERR4281634	ERR4281646	ERR4281651	ERR4281659	ERR4281685	ERR4281689	ERR4281695	ERR4281920	ERR4282087	ERR4282531	ERR4282552	ERR4282558	ERR4282610	ERR4282614	ERR4282640	ERR4282658	ERR4282684	ERR4282699	ERR4282705	ERR4282721	ERR4282747	ERR4282771	ERR4282799	ERR4282817	ERR4282848	ERR4282853	ERR4282868	ERR4282957
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0	0.0	0.0	0.0	0.0167735136559234	0.0	0.0	0.0	7.084762093688894e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.790249202145719e-05	0.0	0.0411682293350576	0.0	0.0	7.290755322251386e-05	0.0933852140077821	0.0	0.0	0.0	0.0007672634271099	3.1528833117886304e-05	0.0003303912776702	0.0004697356059589	0.5202385128025254	0.0	0.0	0.0	0.0	0.0	0.0	5.237933111594165e-05	0.0	0.063152533740769	0.3421090216615091	0.0623627580149319	9.07008911362554e-05	0.0	0.1093344857389801	0.0	0.0	0.0	0.0	0.0	0.0	0.2529754959159861	0.0001533507130808	0.0003824335521703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001515917129863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.747758386913353e-05	0.0	0.0	0.0	0.0030175612169181	0.0	0.0	0.0	0.0	0.542440142863442	0.0	0.00305314378399	0.0	0.0	0.2624538972215392	0.0	0.1412715412325966	0.0	0.3423540448870607	0.0	0.0004707464694014	0.009038245731097	0.0	0.0	0.6069635202519464	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	0.0022985029487373	0.1558732010890704	0.001010101010101	0.0	0.0607710547115131	0.0	0.0	0.0003204101249599	4.2508572562133366e-05	0.0	0.0	0.183985778876995	0.0840637114444631	0.1133815216384023	0.0084092501751927	0.0103663033680242	0.1403543307086614	0.1129835312140942	0.0102997822810249	0.1361444965030216	0.1857962133710425	0.1036210798577433	0.0522137404580152	0.013385898963968	0.1152668416447944	0.105289975912544	0.0	0.0614301040160455	0.0617802174147024	0.0997953964194373	0.0	0.1051588238070515	0.0481143470675077	0.0861452122062434	0.1093386120167676	0.1174959871589085	0.1178957951386835	0.0749617053867755	0.1600780868716447	0.0813432412502127	0.0840688264410863	0.0716122048575874	0.1162783295136236	0.0798619376338966	0.1843591191417278	0.0357588263304686	0.0299311583358276	0.1170514878380046	0.0248265485246175	0.0219076241695666	0.2346990026548037	0.0	0.0726537747186714	0.0246339601693151	0.0824581874756903	0.1237540254562183	0.2026897826502644	0.0	0.0392666666666666	0.0889586074283979	0.2437045220770315	0.0864800476474091	0.113240705145807	0.1859092257490359	0.1199158763541129	0.1407781707933299	0.1024470813230756	0.0175322020036802	0.0836277353018718	0.2332746478873239	0.0042387444151678	0.0693002333682822	0.0554174067495559	0.0118393234672304	0.1399678074042969	0.1469877945303831	0.1321348904343262	0.0192648487966615	0.138133881427407	0.0657543532601788	0.1273806579272817	0.1469178569733782	0.1760240392218883	0.0845281604348233	0.1400223143130379	0.1120860708144098	0.0652277524341254	0.0185096841904398	0.0859626020542533	0.0361507417722958	0.0621588394393902	0.0977792962077212	0.0849965923473858	0.1748734686154865	0.0676192538067402	0.0867310443490701	0.0132481506388702	0.1969609656971278	0.0888038662907772	0.0019749367736068	0.0208380719097191	0.0878559260160623	0.2560959241197262
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	0.0028428852260698	0.0816478672371321	0.0005050505050505	0.0	0.0454904715904101	0.0	0.0	0.2652283812168464	0.0	0.0	0.1089009287925696	0.0509332611972021	0.1035310972526546	0.0586599944398109	0.0091100210231254	0.0415471605342948	0.0437992125984252	0.1549853185241925	0.1356556690671579	0.046784817002784	0.092662424385262	0.0219312425907964	0.0245583424209378	0.033373063170441	0.0230752405949256	0.0077357791365573	0.0903811252268602	0.0504687718643593	0.0251139095181717	0.0369820971867007	0.021345020020809	0.0326143389814508	0.0971681653469333	0.0127323746054016	0.0458197484862599	0.0430889958979846	0.0987344017978591	0.0187643604799591	0.042016061049736	0.0648079868398661	0.0182541968939056	0.0318652323929368	0.0335179526355996	0.0383956200904546	0.0203588681849551	0.0221990431055985	0.0592636935049386	0.0631971025229452	0.1630861823957201	0.006485289465359	0.0205926670015067	0.0941532694110013	0.0125641866054845	0.0425369509402539	0.0361726954492415	0.0667075601901548	0.009943272356428	0.0354192166462668	0.1036666666666666	0.0166481125392166	0.0186673778048687	0.0546158427635497	0.0343786039870393	0.0308810442005339	0.1001944367287012	0.0313794845881758	0.0647194332159777	0.091494581885095	0.022251515950435	0.0322769953051643	0.0689082369114446	0.0682517671728616	0.0024077363331359	0.0266854592435987	0.0538876058506543	0.0212453495202663	0.024624939859161	0.0433887840850626	0.0584358056628512	0.0137694360886328	0.0286915656690576	0.0213068855881934	0.0515050872476145	0.010730015931028	0.01163532036978	0.0198421447153754	0.091305235922925	0.0092548420952199	0.0423141076288297	0.0403569601546069	0.0357019916400295	0.0702425691834643	0.0592444747346899	0.0823991296532803	0.0240311755791296	0.0354077253218884	0.004303967720242	0.0198659427982166	0.0203047388911263	0.0326361853883095	0.0304960195958358	0.0617459931161561	0.0183436982685338
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__bromii	0.0332678058369877	0.0263516141579152	0.0	0.0	0.0480372354439272	0.0	0.0	0.1152764427355904	2.833904837475557e-05	2.680246582685607e-05	0.0506965944272445	0.0668160915098349	0.0	0.0763599295709387	0.0014015416958654	0.1771285749405883	0.0638287401574803	0.0	0.0818958298442471	0.0311672438378488	0.0	0.0437547149477314	8.724100327153762e-05	0.0477674887686806	0.0904418197725284	0.0168612191958495	0.0494166450609281	0.0638555902793973	0.0017220966526746	0.0001023017902813	6.305766623577261e-05	0.0180299240100061	0.0018118373372701	0.0	0.0002911038658593	0.0206170857856251	0.0	0.0	0.0105151071476108	0.0525838107663509	0.0067569337139564	0.0422501860496583	0.0485739750445632	0.0759819090692692	0.0389296693644519	0.018117503004467	0.0661051011245563	0.0027163847388566	0.0	0.000237266687757	0.0195881466599698	0.0713719270420301	0.0	0.0355978072305877	0.0707895760404511	0.0375709247047998	0.0429600356937982	0.0665544675642594	0.0730666666666666	0.0050602165772695	0.0181721208426987	0.0	0.0277884562578944	0.0516760605161673	0.0	0.0723597776654876	0.0	0.050449805765692	0.0021618771421038	0.0	0.0939970214228434	0.0435959008353908	0.0622064337872508	0.0880902043692741	0.0385611309398838	0.0200052215912799	0.0184577701963871	0.0333276167609901	0.0030121549310748	0.0069482692878023	0.1673015087806084	0.0064063019029089	0.0414360272022774	0.0069346827851185	0.0	0.0108470391110719	0.0	0.0137391470279553	0.0404881046440172	0.0289888023645768	0.0	0.0099077553809361	0.0540843150618245	0.0200085142613878	0.0	0.0	0.0398789509078681	0.0032756058354311	0.0292656732447308	0.0056690631127276	0.0031143382031318	0.0155755658311024	0.0135116997002371
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0.0144866172690155	0.1127965772073123	0.0	0.0	0.2282427329410731	0.0	0.0	0.0	0.0	8.040739748056821e-05	0.0386222910216718	0.0789117749352707	0.0	0.0	0.0042046250875963	4.0973531098910105e-05	0.0165846456692913	0.2215626196859441	0.0149891140512476	0.021389284986759	0.1188624400974153	0.0146028666882207	0.103773173391494	0.0407994865682589	0.1487678623505395	0.025106540670743	0.0952035260565206	0.2938103456317925	0.0	0.0	0.2989879244569158	0.1407938830414877	0.0912629177291638	0.0	0.1295994410805775	0.0781166399143927	0.2873026199065586	0.1709216236916007	0.1585695904875992	0.1436837029893924	0.1932273524867087	0.0452608077937893	0.052807486631016	0.0474172815996191	0.0583788192483844	0.1135801909253758	0.1673579338948988	0.1114952463267069	0.1079160745632366	0.1486080354318253	0.1925808997632202	0.2950760579626559	0.1281547033759423	0.05176601207411	0.0	0.1028983284772274	0.1139651985467525	0.2213892288861689	0.2116666666666666	0.1444185811152717	0.032458379366833	0.0101250744490768	0.3479598000988522	0.0003263126668644	0.0507122733224872	0.0596766043456291	0.0	0.0	0.0542051146849459	0.0613914971309337	0.0	0.2461189840024351	0.034339846062759	0.1815832746065304	0.0	0.0658573200182755	0.2396885798014259	0.1829303149831361	0.1730040043942025	0.0694403253823666	0.0193420727182785	0.0475964504342049	0.0	0.1032236903757848	0.0	0.0313505886502932	0.0	0.0115446999332124	0.0	0.2185528335133292	0.217457585443816	0.1148616330714041	0.0688345828059585	0.3301641360389764	0.0281446200476293	0.0206545064377682	0.133422999327505	0.0399745230657244	0.2399315344341522	0.0721207126822198	0.0276266293412649	0.1659075896116538	0.1513578810791463
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis	0.0	0.0	0.0007575757575757	0.0	0.0201984719416878	0.0002083246531394	6.841349114045289e-05	0.1640499839794937	0.0	0.0	0.1181501547987616	0.0	0.0	0.0164488925956815	0.0	0.0	0.0005413385826771	0.0	0.0	0.0	0.0322491947521407	0.0	0.0	0.1643898413862657	0.058326042578011	0.0023161015378914	0.0877884366087632	0.0178179952423154	0.0256520647221325	0.2004092071611253	0.0	0.0	0.0	0.0	0.0149045179319981	0.0396290351346531	0.0113253297060736	0.0293592034720449	0.0008873508141443	0.0	0.0367179111122751	0.0	9.549274255156608e-05	0.0	0.044042913608131	0.0598172377043604	0.0162483430965921	0.0	0.0152971662626431	0.0710218285352736	0.0027983066657099	0.0	0.0	0.0	0.0	0.0	0.0938874370578112	0.0	0.045	0.0	0.0	0.0	0.0001098357954857	0.0002076535152773	0.0098011983651442	0.0	0.0881036206371973	0.0	0.0	0.0160732916014606	0.0	0.0400108228768559	0.0263272153147819	0.0340615456894526	0.0516481209321856	0.0058416552444357	0.0	0.0	0.0358977993550444	0.0	0.019688350234974	0.0	0.0	0.0352825414675288	0.0	0.0	0.0	0.0401679229081194	0.1714335879202879	0.0	0.0	0.1615305773829859	0.0	0.0329218106995884	0.0	0.0	0.0807666442501681	0.0068241788238148	0.0330245670559806	0.0	0.0	0.0203733963772902	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0100217030511936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0090719019100605	0.0458416303012328	0.0	0.0	0.0326321893615899	0.0045450285821385	0.0172935926043991	0.0270294104678336	0.0109620753046912	0.0069649842572273	0.0	0.0069345762519183	0.0242439144332431	0.0	0.1151299776068542	0.0148053545243839	0.0658872771884246	0.0	0.0173503698722259	0.0	0.0030205396697543	0.0084822824017504	0.0	0.012342245245628	0.018388438996018
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__onderdonkii	0.0021472856494783	0.0035654090496564	0.0	0.0	0.002898041626416	0.0	0.0	0.0001780056249777	0.0001275257176864	4.0203698740284106e-05	0.0526315789473684	0.0029756154113691	0.0	0.039523677138356	0.0189208128941836	0.0305662541997869	0.0021653543307086	0.0	0.0059454027801038	0.0317783662660419	0.0032995522036295	0.0	0.0115158124318429	9.168423947923352e-05	0.0	0.0027329998147118	0.0	0.0157656607117869	0.0010404333943242	0.0040920716112531	0.0097108806003089	0.0023599376976447	0.0943497517111797	0.0019642230796211	0.0	0.0	0.0035779762256786	0.0883329078376308	0.0547495452327077	0.0293266776334448	0.0250373202734201	0.0050402543806237	0.0465367965367965	0.0082123303975244	0.0092540309931614	0.0286388063762726	0.1193611835635182	0.0136436597110754	0.0	0.1800063271116735	0.0	0.0	0.0043701518627772	0.0001387828741933	0.0083236094904706	0.0248428155190921	0.0240933137867295	0.0814718482252142	0.0016	0.0102722396518571	0.0189340546306526	0.0013698630136986	0.0179581525619199	0.0	0.0103567318757192	0.0261748357756442	0.0026948320076498	0.0	0.005009227524387	0.0532081377151799	0.0020620918776492	0.0120742719924239	0.0091178211959739	0.0027719050974864	0.0030792917628945	0.0	0.009185146306259	0.0296118447378951	0.0091427761437329	0.0084734991314663	0.0011377689834281	0.0001898163526787	0.0142864673941694	0.0093711929528629	0.16114121772394	0.0	0.1736229318444883	0.0335845816238908	0.0164340268633131	0.0020462684022054	0.0	0.0161940553467714	0.0133385259468406	0.0	0.0035361189290611	0.0	0.0300605245460659	0.1060629037639137	0.0099006578064169	0.1690346963712312	0.0135946111451316	0.0025032159371414	0.0496174667800098
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__	0.0009073037955542	0.0109555296253079	0.0	0.0	0.0046544304909106	0.0	0.0	0.0106803374986649	9.918666931164451e-05	2.680246582685607e-05	0.0302631578947368	0.0110136414576651	0.0	0.009081642109165	0.0077084793272599	0.0056953208227485	0.0068405511811023	0.0178092684795097	0.0182967677106012	0.0056359068377809	0.0166156021682771	0.0005927362862377	0.0096401308615049	0.0066012652425048	0.0055045202682997	0.0020381693533444	0.0087632875291677	0.0069965949904379	0.0096509166576974	0.0068542199488491	0.002490777816313	0.0126964648133289	0.0054355120118104	0.0103823219922834	0.0061714019562179	0.0093097913322632	0.0178603110769412	0.0173602246617309	0.0130884245086294	0.0068069657949968	0.0090878139486158	0.0124484135038224	0.0044563279857397	0.0053320637943346	0.0221783047870004	0.0116777397337928	0.0066703724291272	0.0149812734082397	0.0362785254534815	0.0386744701043973	0.0050943531606515	0.014346478264004	0.0117994100294985	0.0194989938241621	0.0070789576040451	0.009967796350253	0.0181655937280897	0.0091034271725826	0.0150666666666666	0.0030361299463617	0.0105146862737628	0.0145324597974985	0.0059860508539733	0.000118659151587	0.0393238363557001	0.0028297119757453	0.0325553092537053	0.0046514005315886	0.0049037701028209	0.0106611893583724	0.0086493298201397	0.0061893327019988	0.0005131241365699	0.0090204369274136	0.001889565399958	0.007538672410417	0.0168394348948082	0.0017721374263991	0.0014529217902831	0.0183027581239672	0.0319564679693297	0.0040810515825938	0.0042174073488323	0.0021553743791584	0.0082881734140898	0.000837779443538	0.0005446993940219	0.0	0.0090597840400316	0.0031830841812084	0.0059995082370297	0.0	0.0006328497712004	0.0	0.0051237641625171	0.0	0.0	0.0004549452549209	0.0024499932876896	0.0008666988718706	0.0012247397428046	0.0105691339568195	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Gemmiger; s__formicilis	0.0017843641312566	0.0613574484636328	0.0	0.0	0.0233599718977781	0.0	0.0	0.0004628146249421	0.0002550514353728	0.0	0.0670665634674922	0.0005023766278934	0.0470672509691555	0.0317857473820776	0.0	0.0992788658526592	0.1186515748031496	0.0044682752457551	0.0049405459721989	0.0021049772526651	0.0103307408280304	0.0198297230304989	0.0473282442748091	0.0860456587512606	0.0271580635753864	0.0282564387622753	0.0001555613170858	0.0076496105228788	0.0005740322175582	0.0084398976982097	0.0	0.0131212535989049	0.0084552409072607	0.0183795159593125	0.0170586865393572	0.0117710005350454	0.020876456325034	0.0161794740873117	0.0156617418696481	0.0075160247319757	0.0172851792682607	0.0254380623773763	0.0076394194041252	0.0101404427517257	0.0288913984566158	0.0126300990907235	0.015542822935819	0.0104745441824093	0.062358940065201	0.0290256248022777	0.0177226088828298	0.000144185711196	0.002294329727958	0.0132537644854624	0.0152469856087125	0.0331237540254562	0.0445535088278411	0.0325122399020807	0.0084666666666666	0.0169011233680801	0.0147053221075088	0.0115544967242406	0.0004393431819429	0.076742806288935	0.0	0.0437089439110662	0.0	0.0388468615824984	0.0184023200632744	0.0182576943140323	0.0056707526635353	0.0182297832042479	0.0022498519834221	0.0288466055907916	0.0050388410665546	0.0090725148489002	0.0259808424091326	0.0488766935345566	0.025833658173571	0.0275388721772656	0.0	0.0493047976083139	0.0	0.00477930840596	0.0	0.0100533533224569	0.042758902430721	0.0	0.0013695022386094	0.0308077076109816	0.012146545365134	0.0	0.0306201927757764	0.0	0.0	0.0484620886981402	0.0	0.0008492311425191	0.0029198550140958	0.0050154869142678	0.0044615519202169	0.0109863366130097	0.0123484407856471
