,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4282579,0.09008008,0.19710223,0.08972002,0.11720537,0.052850068,0.08569461,0.12435311,0.13797043,0.048356477,0.056667667
ERR4282580,0.0888229,0.155564,0.06428664,0.13262703,0.05517887,0.123462625,0.14635415,0.12228153,0.040985722,0.07043652
ERR4282581,0.08993235,0.20462902,0.094746724,0.1143662,0.052110866,0.080316424,0.12011914,0.14006007,0.049450193,0.054269005
ERR4282582,0.091255434,0.10532603,0.07624144,0.074540295,0.21784315,0.14673583,0.05684741,0.07307691,0.09812158,0.060011942
ERR4282583,0.090040915,0.1765305,0.076359324,0.12488824,0.054338727,0.10243446,0.13564186,0.13137741,0.044799354,0.06358917
ERR4282584,0.036306642,0.04767904,0.0849881,0.05189226,0.24026865,0.056437436,0.06250243,0.13610767,0.26385126,0.019966505
ERR4282585,0.09401077,0.17152403,0.07238918,0.12066863,0.0722428,0.13352309,0.12089629,0.0912632,0.040693067,0.08278893
ERR4282586,0.14689253,0.111593485,0.057305425,0.066106424,0.19390468,0.15441443,0.041832965,0.079623304,0.09318546,0.05514129
ERR4282587,0.088723905,0.13344517,0.060163885,0.13752475,0.053662635,0.14737917,0.14939564,0.11898944,0.03229839,0.07841701
ERR4282588,0.14629239,0.09858389,0.06165596,0.06758972,0.17688079,0.19657066,0.043852087,0.07463743,0.07783284,0.056104284
ERR4282589,0.1475872,0.11167209,0.05736174,0.067334026,0.18880501,0.16227819,0.040940866,0.07955208,0.089084305,0.055384528
ERR4282590,0.09208784,0.1485727,0.058869764,0.13292642,0.058826257,0.14008698,0.14013308,0.11331336,0.038630642,0.07655289
ERR4282591,0.08849884,0.21672168,0.10520591,0.10802835,0.05172217,0.06974055,0.114000775,0.14337511,0.05305524,0.049651388
ERR4282592,0.090585,0.11601212,0.077679485,0.13041863,0.06023473,0.16957542,0.13389426,0.10930243,0.024564521,0.08773343
ERR4282593,0.15844332,0.12089317,0.055533294,0.07168885,0.16368465,0.17956415,0.037797768,0.0806474,0.07485889,0.056888517
ERR4282594,0.09840906,0.12067878,0.0814125,0.12152948,0.0716926,0.17374414,0.11465678,0.102424055,0.027539331,0.08791324
ERR4282595,0.089430206,0.2129907,0.10095512,0.11073379,0.05145811,0.0740304,0.11558459,0.1422974,0.0510482,0.05147152
ERR4282596,0.09041013,0.1860762,0.08192622,0.12194375,0.05332486,0.095366806,0.1300613,0.13439919,0.045929782,0.06056178
ERR4282597,0.08917481,0.21637672,0.10355664,0.1092217,0.05117683,0.07156213,0.113738105,0.14314763,0.051700827,0.0503446
ERR4282598,0.08894336,0.21852529,0.10536001,0.108141944,0.051053453,0.069863096,0.112599224,0.14369673,0.052231524,0.04958545
ERR4282599,0.08845911,0.14427525,0.05687867,0.13683125,0.054245155,0.13722382,0.15108757,0.118346915,0.03734145,0.07531079
ERR4282600,0.08916535,0.2138667,0.102076694,0.10995272,0.051612806,0.07279949,0.11526357,0.14261392,0.051645577,0.051003195
ERR4282601,0.089434676,0.21299623,0.10094829,0.110741064,0.05145194,0.074041046,0.11557765,0.14229634,0.051038858,0.051473904
ERR4282602,0.08931411,0.21452722,0.10213804,0.11004281,0.05133614,0.072893396,0.11475055,0.14268914,0.05135237,0.050956305
ERR4282603,0.08958942,0.20691082,0.09691109,0.11292679,0.052221224,0.07784772,0.11909595,0.14081657,0.05037614,0.05330433
ERR4282604,0.095011555,0.111147866,0.08572835,0.12332164,0.067755796,0.18036291,0.118922465,0.10351212,0.023381164,0.09085621
ERR4282605,0.09032457,0.18860832,0.0837459,0.12081673,0.053271458,0.092968956,0.12881339,0.13526258,0.04656271,0.059625436
ERR4282606,0.14767087,0.11223521,0.05723365,0.06645976,0.19197726,0.15595673,0.041563533,0.079684794,0.09193942,0.05527881
ERR4282607,0.08959017,0.21036732,0.09901336,0.11185469,0.05168971,0.07592012,0.11702582,0.1416252,0.050581858,0.052331768
ERR4282608,0.0894318,0.2129333,0.1009172,0.11075387,0.051465906,0.07406471,0.11561779,0.14228421,0.05104261,0.051488537
ERR4282609,0.09048699,0.17841245,0.07672081,0.125116,0.05354749,0.102568716,0.13389969,0.13171953,0.04419228,0.0633361
ERR4282610,0.042154707,0.09959695,0.08440951,0.025912246,0.17862456,0.02276478,0.16921218,0.15121719,0.20910297,0.017004875
ERR4282611,0.11509523,0.08648796,0.057784256,0.051230732,0.27098012,0.10143342,0.04991285,0.07254602,0.14652744,0.048002012
ERR4282612,0.089757085,0.20787364,0.097125314,0.112968996,0.05186758,0.07783695,0.118365444,0.14095291,0.050072853,0.053179234
ERR4282613,0.113178395,0.17357339,0.084254175,0.088829026,0.12852801,0.13686284,0.069958426,0.06889636,0.05725462,0.07866474
ERR4282614,0.09004431,0.20248657,0.09317622,0.11529784,0.052253354,0.08201215,0.12126255,0.13944957,0.04901671,0.05500072
