,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282635,0.17804652,0.11608811,0.46295154,0.07359353,0.08681073,0.0825096
ERR4282636,0.24675584,0.22432917,0.12850732,0.13315532,0.1138509,0.1534015
ERR4282637,0.25482807,0.2198402,0.12821043,0.13072906,0.11270399,0.15368828
ERR4282638,0.16682756,0.30598587,0.13396467,0.13799416,0.1115518,0.14367598
ERR4282639,0.16722605,0.12834951,0.4380038,0.082410194,0.096692815,0.08731753
ERR4282640,0.177618,0.29379722,0.13374226,0.13726789,0.112008736,0.14556578
ERR4282641,0.06740403,0.1869706,0.2177357,0.24333607,0.18858883,0.09596469
ERR4282642,0.17422014,0.118772425,0.4564291,0.07723085,0.08976215,0.08358528
ERR4282643,0.22632396,0.24089125,0.13009396,0.13610083,0.114601955,0.15198815
ERR4282644,0.17040734,0.12485868,0.4452121,0.07973099,0.093800165,0.08599068
ERR4282645,0.2196845,0.2475942,0.13076058,0.13629854,0.11433444,0.15132783
ERR4282646,0.24259278,0.22382763,0.12797667,0.136454,0.11570886,0.15344013
ERR4282647,0.17467707,0.12268733,0.45140636,0.07534054,0.090717755,0.08517104
ERR4282648,0.24308929,0.22955602,0.12935203,0.13204077,0.11296292,0.15299897
ERR4282649,0.25263897,0.2146473,0.1268,0.13591227,0.115916625,0.15408483
ERR4282650,0.15820955,0.12811029,0.4299113,0.094701566,0.102022916,0.087044396
ERR4282651,0.17845258,0.1154482,0.46413895,0.07332758,0.08638608,0.08224658
ERR4282652,0.22828318,0.24109538,0.13035819,0.13453203,0.11373527,0.15199599
ERR4282653,0.17846571,0.115423076,0.4641837,0.0733204,0.08637093,0.08223621
ERR4282654,0.09923983,0.2824506,0.22836356,0.0951692,0.16886598,0.12591082
ERR4282655,0.17831092,0.11571019,0.46366957,0.07340806,0.08654672,0.08235449
ERR4282656,0.1185924,0.36674735,0.13220002,0.14160234,0.10861542,0.13224249
ERR4282657,0.120386444,0.35699105,0.13141812,0.14623709,0.11150159,0.13346565
ERR4282658,0.1326899,0.34996328,0.13355651,0.13903601,0.108811304,0.13594298
ERR4282659,0.17446263,0.12255707,0.4514248,0.07563946,0.09079896,0.085117154
ERR4282660,0.22402507,0.22586566,0.14389029,0.12881954,0.12558448,0.15181494
ERR4282661,0.19685794,0.22870632,0.16571088,0.12507598,0.13654564,0.14710322
ERR4282662,0.21793935,0.2503325,0.13112678,0.13568766,0.113849916,0.1510638
ERR4282663,0.25296053,0.22123562,0.12836939,0.13102874,0.11280641,0.1535993
ERR4282664,0.14261238,0.33494356,0.13369194,0.13979834,0.110331826,0.13862191
ERR4282665,0.22683229,0.2439748,0.13081671,0.13357969,0.11305738,0.15173914
ERR4282666,0.25465474,0.19183195,0.12553263,0.14586408,0.12696645,0.1551501
ERR4282667,0.14301682,0.33242965,0.13341248,0.14109293,0.111137226,0.138911
ERR4282668,0.18063888,0.2902322,0.1336066,0.13722269,0.11222009,0.14607951
ERR4282669,0.15872462,0.13662407,0.41963628,0.09045364,0.10420363,0.09035773
ERR4282670,0.1779871,0.11634617,0.46254566,0.073579684,0.086925484,0.08261591
ERR4282671,0.24999392,0.2238899,0.12871535,0.13120688,0.11277739,0.15341657
ERR4282672,0.23208234,0.23891304,0.13029937,0.13331266,0.11318289,0.15220964
ERR4282673,0.17846484,0.11542473,0.4641807,0.07332086,0.08637192,0.08223689
ERR4282674,0.14689474,0.2730214,0.123522416,0.1819764,0.1335495,0.14103559
ERR4282675,0.19692318,0.24208988,0.15822378,0.122065276,0.13196915,0.1487287
ERR4282676,0.22842062,0.24077968,0.1303049,0.13465285,0.113818504,0.15202352
ERR4282677,0.21447709,0.25518125,0.13170609,0.13490784,0.1131534,0.15057437
ERR4282678,0.17084463,0.12996046,0.43837467,0.07762205,0.09514722,0.08805094
ERR4282679,0.20891531,0.25924438,0.13182893,0.13627888,0.113651685,0.15008077
ERR4282680,0.12429768,0.3338457,0.12921202,0.15791951,0.11860982,0.13611518
ERR4282681,0.16166276,0.30897135,0.13351709,0.1403557,0.11251241,0.14298072
ERR4282682,0.17803046,0.29199326,0.13349591,0.13814577,0.11257467,0.14575998
ERR4282683,0.17836614,0.11561537,0.46384212,0.07337442,0.086486466,0.08231547
ERR4282684,0.13831823,0.3393841,0.13338229,0.1407759,0.11045183,0.13768774
ERR4282685,0.2212141,0.248368,0.1311041,0.13463347,0.113390155,0.1512902
ERR4282686,0.25576115,0.21812034,0.12788616,0.13130596,0.11311551,0.15381081
ERR4282687,0.17846571,0.115423076,0.4641837,0.0733204,0.08637093,0.08223621
ERR4282688,0.17836858,0.115607955,0.46385434,0.073373966,0.086482786,0.08231242
ERR4282689,0.23911779,0.23293898,0.12971584,0.13247034,0.11302949,0.1527276
ERR4282690,0.25355238,0.22070757,0.12829913,0.13099399,0.11281235,0.1536346
ERR4282691,0.255374,0.21928021,0.12812686,0.1307503,0.112743005,0.1537256
ERR4282692,0.23779751,0.23399496,0.12981632,0.13266727,0.11308432,0.15263955
ERR4282693,0.23278062,0.19878352,0.12561546,0.1571389,0.13390227,0.1517793
ERR4282694,0.13980325,0.33182073,0.1326182,0.14442465,0.11274742,0.13858572
ERR4282695,0.20883599,0.25931302,0.13183253,0.13629152,0.11365438,0.15007254
ERR4282696,0.17846571,0.115423076,0.4641837,0.0733204,0.08637093,0.08223621
ERR4282697,0.25145304,0.22251035,0.12852944,0.13116969,0.11282402,0.1535134
ERR4282698,0.18997073,0.2638253,0.1301183,0.14786646,0.11935845,0.14886075
ERR4282699,0.13188866,0.33544856,0.13132457,0.14941178,0.11473425,0.13719204
ERR4282700,0.1712085,0.12048076,0.45174488,0.08032772,0.09199039,0.08424772
ERR4282701,0.21504061,0.20283505,0.14379442,0.14234518,0.14328514,0.15269957
ERR4282702,0.24419816,0.22862343,0.1292491,0.13191737,0.112941004,0.15307097
ERR4282703,0.16544181,0.3045776,0.13348542,0.14009778,0.112695456,0.14370184
ERR4282704,0.17846571,0.115423076,0.4641837,0.0733204,0.08637093,0.08223621
ERR4282705,0.17846571,0.115423076,0.4641837,0.0733204,0.08637093,0.08223621
ERR4282706,0.20974281,0.25927988,0.13194199,0.13563079,0.11330394,0.15010059
ERR4282707,0.17836897,0.11561039,0.46385115,0.07337273,0.086483344,0.082313426
ERR4282708,0.17370577,0.12371729,0.44929385,0.07613516,0.09157431,0.085573666
ERR4282709,0.17423213,0.123702645,0.44970596,0.07551458,0.09127233,0.085572444
ERR4282710,0.18286073,0.28769654,0.13350888,0.13714652,0.112346195,0.14644115
ERR4282711,0.12443013,0.1309735,0.37066144,0.16289225,0.1216148,0.08942787
ERR4282712,0.19317894,0.27551004,0.13283743,0.13723522,0.113168284,0.14807007
ERR4282713,0.2506631,0.22328137,0.12863618,0.13117227,0.112787716,0.1534593
ERR4282714,0.12307274,0.35867313,0.13234283,0.14248903,0.10968868,0.13373366
ERR4282715,0.13723628,0.3355542,0.13258682,0.14430848,0.11239828,0.13791592
ERR4282716,0.25026348,0.22282456,0.12849112,0.13177298,0.11314908,0.15349872
ERR4282717,0.22696196,0.24314575,0.13065335,0.13406183,0.11336647,0.1518106
ERR4282718,0.15933852,0.31352818,0.13381578,0.13929847,0.11166853,0.14235063
ERR4282719,0.17062804,0.19736506,0.08015394,0.38226432,0.13180114,0.0377875
ERR4282720,0.15769061,0.12500867,0.43335393,0.09679527,0.101347595,0.08580398
ERR4282721,0.12581366,0.3557694,0.132659,0.14174183,0.10959039,0.13442573
ERR4282722,0.062357064,0.17084065,0.21238948,0.27697647,0.18663369,0.09080269
ERR4282723,0.18002482,0.23428267,0.16664249,0.12546374,0.14625601,0.14733024
ERR4282724,0.13367397,0.13713938,0.3822684,0.13666329,0.11915423,0.091100775
ERR4282725,0.17422333,0.12294943,0.45071605,0.07578739,0.09105183,0.085272044
ERR4282726,0.06684059,0.18515004,0.2171996,0.246976,0.1884261,0.09540772
ERR4282727,0.2559401,0.21745113,0.1277466,0.13165341,0.1133491,0.15385967
ERR4282728,0.15986788,0.3128916,0.13381383,0.13926986,0.11169982,0.14245702
ERR4282729,0.17817806,0.115885876,0.46332887,0.07350582,0.08667481,0.08242659
ERR4282730,0.14680952,0.32748526,0.13348503,0.14096467,0.11145158,0.13980399
