,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2802,0.5013,0.7957
1,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2802,0.5013,0.7957
2,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2802,0.5013,0.7957
3,0.1657,1.0,0.0016,1.0,0.9984,1.0,0.1646,0.281,0.5013,0.7957
4,0.169,1.0,0.0057,1.0,0.9943,1.0,0.1652,0.2819,0.5013,0.7957
5,0.2011,1.0,0.0434,1.0,0.9566,1.0,0.1708,0.2902,0.5013,0.7957
6,0.2464,1.0,0.0953,1.0,0.9047,1.0,0.1791,0.3023,0.5013,0.7957
7,0.3044,1.0,0.1636,1.0,0.8364,1.0,0.1895,0.3177,0.5013,0.7957
8,0.3627,0.9794,0.237,0.9794,0.763,0.9794,0.1997,0.3311,0.5013,0.7957
9,0.4249,0.9656,0.3127,0.9656,0.6873,0.9656,0.2164,0.3527,0.5013,0.7957
10,0.4742,0.9612,0.3723,0.9612,0.6277,0.9612,0.2331,0.3742,0.5013,0.7957
11,0.5124,0.9568,0.4179,0.9568,0.5821,0.9568,0.2524,0.3973,0.5013,0.7957
12,0.5559,0.8917,0.4767,0.8917,0.5233,0.8917,0.3071,0.4263,0.5013,0.7957
13,0.5736,0.8518,0.5041,0.8518,0.4959,0.8518,0.3195,0.4172,0.5013,0.7957
14,0.5877,0.8326,0.5252,0.8326,0.4749,0.8326,0.3236,0.4197,0.5013,0.7957
15,0.6165,0.8107,0.5647,0.8107,0.4353,0.8107,0.3322,0.4269,0.5013,0.7957
16,0.6593,0.7945,0.62,0.7945,0.38,0.7945,0.3538,0.4491,0.5013,0.7957
17,0.6841,0.7111,0.6666,0.7111,0.3334,0.7111,0.3557,0.4402,0.5013,0.7957
18,0.7095,0.6596,0.7078,0.6596,0.2921,0.6596,0.358,0.4332,0.5013,0.7957
19,0.7302,0.6357,0.738,0.6357,0.262,0.6357,0.3689,0.4389,0.5013,0.7957
20,0.7524,0.5836,0.775,0.5836,0.225,0.5836,0.377,0.4329,0.5013,0.7957
21,0.7818,0.5545,0.8158,0.5545,0.1842,0.5545,0.4116,0.4437,0.5013,0.7957
22,0.7985,0.5264,0.8427,0.5264,0.1573,0.5264,0.4286,0.4461,0.5013,0.7957
23,0.8086,0.4933,0.8614,0.4933,0.1386,0.4933,0.436,0.4381,0.5013,0.7957
24,0.82,0.4455,0.884,0.4455,0.116,0.4455,0.4521,0.4181,0.5013,0.7957
25,0.8286,0.4271,0.8986,0.4271,0.1014,0.4271,0.481,0.419,0.5013,0.7957
26,0.83,0.3987,0.9059,0.3987,0.0941,0.3987,0.4772,0.3987,0.5013,0.7957
27,0.834,0.3795,0.915,0.3795,0.085,0.3795,0.4745,0.3884,0.5013,0.7957
28,0.8353,0.3644,0.9199,0.3644,0.0802,0.3644,0.4708,0.3794,0.5013,0.7957
29,0.8353,0.3644,0.9199,0.3644,0.0802,0.3644,0.4708,0.3794,0.5013,0.7957
30,0.8353,0.296,0.934,0.296,0.066,0.296,0.603,0.32,0.5013,0.7957
31,0.8348,0.2436,0.9422,0.2436,0.0578,0.2436,0.445,,0.5013,0.7957
32,0.8349,0.2251,0.9463,0.2251,0.0537,0.2251,0.4249,,0.5013,0.7957
33,0.8349,0.2141,0.9487,0.2141,0.0513,0.2141,0.419,,0.5013,0.7957
34,0.8402,0.1953,0.9592,0.1953,0.0408,0.1953,0.4178,,0.5013,0.7957
35,0.8436,0.1251,0.9759,0.1251,0.0241,0.1251,0.3609,,0.5013,0.7957
36,0.8451,0.121,0.9792,0.121,0.0208,0.121,0.3538,,0.5013,0.7957
37,0.8464,0.121,0.9808,0.121,0.0192,0.121,0.3816,,0.5013,0.7957
38,0.8452,0.111,0.9816,0.111,0.0184,0.111,0.2692,,0.5013,0.7957
39,0.8461,0.111,0.9833,0.111,0.0167,0.111,0.2712,,0.5013,0.7957
40,0.8461,0.111,0.9833,0.111,0.0167,0.111,0.2712,,0.5013,0.7957
41,0.8461,0.111,0.9833,0.111,0.0167,0.111,0.2712,,0.5013,0.7957
42,0.8481,0.111,0.9858,0.111,0.0142,0.111,0.2755,,0.5013,0.7957
43,0.8488,0.111,0.9866,0.111,0.0134,0.111,0.2778,,0.5013,0.7957
44,0.8483,0.1044,0.9883,0.1044,0.0117,0.1044,0.2803,,0.5013,0.7957
45,0.849,0.101,0.99,0.101,0.01,0.101,0.2846,,0.5013,0.7957
46,0.849,0.0977,0.9908,0.0977,0.0092,0.0977,0.2863,,0.5013,0.7957
47,0.8503,0.0977,0.9925,0.0977,0.0075,0.0977,0.2928,,0.5013,0.7957
48,0.8477,0.0844,0.9925,0.0844,0.0075,0.0844,0.2879,,0.5013,0.7957
49,0.8463,0.0777,0.9925,0.0777,0.0075,0.0777,0.285,,0.5013,0.7957
50,0.8463,0.0744,0.9933,0.0744,0.0067,0.0744,0.2874,,0.5013,0.7957
51,0.8477,0.0744,0.995,0.0744,0.005,0.0744,0.2963,,0.5013,0.7957
52,0.8396,0.0177,0.9992,0.0177,0.0008,0.0177,0.3,,0.5013,0.7957
53,0.8372,0.0044,1.0,0.0044,0.0,0.0044,0.1667,,0.5013,0.7957
54,0.8372,0.0044,1.0,0.0044,0.0,0.0044,0.1667,,0.5013,0.7957
55,0.8372,0.0044,1.0,0.0044,0.0,0.0044,0.1667,,0.5013,0.7957
56,0.8372,0.0044,1.0,0.0044,0.0,0.0044,0.1667,,0.5013,0.7957
57,0.8372,0.0044,1.0,0.0044,0.0,0.0044,0.1667,,0.5013,0.7957
58,0.8372,0.0044,1.0,0.0044,0.0,0.0044,0.1667,,0.5013,0.7957
59,0.8372,0.0044,1.0,0.0044,0.0,0.0044,0.1667,,0.5013,0.7957
60,0.8366,0.0,1.0,0.0,0.0,0.0,0.0,,0.5013,0.7957
