,ROC-AUC,F-max
root:12M,0.7713,0.5271
root:3Y,0.6211,0.346
root:4M,0.8984,0.6531
root:5Y,0.8375,0.5
root:B,0.8583,0.5532
root:M,0.7875,0.4286
root:12M:C,0.7048,0.0198
root:12M:V,0.6227,0.4533
root:3Y:C,0.6042,0.0117
root:3Y:V,0.5677,0.4089
root:4M:C,0.8446,0.0488
root:4M:V,0.75,0.5899
root:5Y:C,0.6753,0.0192
root:5Y:V,0.5765,0.3489
root:B:C,0.99,0.4
root:B:V,0.188,0.2064
