t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,209,0,43,0.1706,1.0,0.0,1.0,1.0,1.0,0.1706,0.2915,0.7584,0.4773
0.01,0,209,0,43,0.1706,1.0,0.0,1.0,1.0,1.0,0.1706,0.2915,0.7584,0.4773
0.02,0,209,0,43,0.1706,1.0,0.0,1.0,1.0,1.0,0.1706,0.2915,0.7584,0.4773
0.03,1,208,0,43,0.1746,1.0,0.0048,1.0,0.9952,1.0,0.1713,0.2925,0.7584,0.4773
0.04,1,208,0,43,0.1746,1.0,0.0048,1.0,0.9952,1.0,0.1713,0.2925,0.7584,0.4773
0.05,3,205,0,43,0.1833,1.0,0.0144,1.0,0.9856,1.0,0.1734,0.2955,0.7584,0.4773
0.06,8,200,0,43,0.2032,1.0,0.0385,1.0,0.9615,1.0,0.177,0.3007,0.7584,0.4773
0.07,18,191,0,43,0.2421,1.0,0.0861,1.0,0.9139,1.0,0.1838,0.3105,0.7584,0.4773
0.08,82,127,6,37,0.4722,0.8605,0.3923,0.8605,0.6077,0.8605,0.2256,0.3575,0.7584,0.4773
0.09,111,98,6,37,0.5873,0.8605,0.5311,0.8605,0.4689,0.8605,0.2741,0.4157,0.7584,0.4773
0.1,128,81,8,35,0.6468,0.814,0.6124,0.814,0.3876,0.814,0.3017,0.4403,0.7584,0.4773
0.11,139,70,13,30,0.6706,0.6977,0.6651,0.6977,0.3349,0.6977,0.3,0.4196,0.7584,0.4773
0.12,148,60,14,29,0.7052,0.6744,0.7115,0.6744,0.2885,0.6744,0.3258,0.4394,0.7584,0.4773
0.13,156,53,15,27,0.7291,0.6429,0.7464,0.6429,0.2536,0.6429,0.3375,0.4426,0.7584,0.4773
0.14,170,38,19,24,0.7729,0.5581,0.8173,0.5581,0.1827,0.5581,0.3871,0.4571,0.7584,0.4773
0.15,179,30,20,22,0.8008,0.5238,0.8565,0.5238,0.1435,0.5238,0.4231,0.4681,0.7584,0.4773
0.16,183,25,21,21,0.816,0.5,0.8798,0.5,0.1202,0.5,0.4565,0.4773,0.7584,0.4773
0.17,191,18,27,15,0.8207,0.3571,0.9139,0.3571,0.0861,0.3571,0.4545,0.4,0.7584,0.4773
0.18,199,9,36,7,0.8207,0.1628,0.9567,0.1628,0.0433,0.1628,0.4375,0.2373,0.7584,0.4773
0.19,205,3,39,3,0.832,0.0714,0.9856,0.0714,0.0144,0.0714,0.5,0.125,0.7584,0.4773
0.2,206,2,41,2,0.8287,0.0465,0.9904,0.0465,0.0096,0.0465,0.5,0.0851,0.7584,0.4773
0.21,206,2,41,2,0.8287,0.0465,0.9904,0.0465,0.0096,0.0465,0.5,0.0851,0.7584,0.4773
0.22,208,1,42,1,0.8294,0.0233,0.9952,0.0233,0.0048,0.0233,0.5,0.0444,0.7584,0.4773
0.23,208,1,43,0,0.8254,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.7584,0.4773
0.24,208,1,43,0,0.8254,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.7584,0.4773
0.25,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.26,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.27,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.28,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.29,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.3,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.31,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.32,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.33,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.34,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.35,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.36,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.37,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.38,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.39,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.4,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.41,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.42,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.43,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.44,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.45,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.46,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.47,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.48,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.49,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.5,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.51,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.52,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.53,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.54,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.55,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.56,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.57,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.58,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.59,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.6,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.61,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.62,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.63,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.64,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.65,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.66,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.67,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
0.68,209,0,43,0,0.8294,0.0,1.0,0.0,0.0,0.0,0.0,,0.7584,0.4773
