,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.0984,1.0,0.0,1.0,1.0,1.0,0.0984,0.1772,0.3048,0.6752
1,0.0984,1.0,0.0,1.0,1.0,1.0,0.0984,0.1772,0.3048,0.6752
2,0.1232,1.0,0.0297,1.0,0.9703,1.0,0.104,0.185,0.3048,0.6752
3,0.1573,1.0,0.068,1.0,0.932,1.0,0.1094,0.193,0.3048,0.6752
4,0.2471,0.9396,0.1718,0.9396,0.8282,0.9396,0.1176,0.2046,0.3048,0.6752
5,0.3105,0.888,0.2477,0.888,0.7523,0.888,0.1262,0.2148,0.3048,0.6752
6,0.3569,0.8468,0.303,0.8468,0.697,0.8468,0.1344,0.2232,0.3048,0.6752
7,0.4482,0.8199,0.4046,0.8199,0.5954,0.8199,0.1431,0.2343,0.3048,0.6752
8,0.515,0.7608,0.4833,0.7608,0.5167,0.7608,0.1436,,0.3048,0.6752
9,0.5688,0.6972,0.5516,0.6972,0.4483,0.6972,0.1616,,0.3048,0.6752
10,0.616,0.6642,0.6066,0.6642,0.3934,0.6642,0.1711,,0.3048,0.6752
11,0.6697,0.6217,0.6696,0.6217,0.3304,0.6217,0.1787,,0.3048,0.6752
12,0.7172,0.5596,0.73,0.5596,0.27,0.5596,0.1862,,0.3048,0.6752
13,0.7494,0.4796,0.7734,0.4796,0.2266,0.4796,0.1641,,0.3048,0.6752
14,0.7707,0.4491,0.8,0.4491,0.2,0.4491,0.1699,,0.3048,0.6752
15,0.7823,0.4097,0.8171,0.4097,0.1829,0.4097,0.1683,,0.3048,0.6752
16,0.7922,0.3691,0.8332,0.3691,0.1668,0.3691,0.1636,,0.3048,0.6752
17,0.8108,0.3041,0.8602,0.3041,0.1398,0.3041,0.1613,,0.3048,0.6752
18,0.8342,0.2493,0.8918,0.2493,0.1082,0.2493,0.1756,,0.3048,0.6752
19,0.8547,0.1535,0.9286,0.1535,0.0714,0.1535,0.1324,,0.3048,0.6752
20,0.862,0.1126,0.9419,0.1126,0.0581,0.1126,0.1036,,0.3048,0.6752
21,0.8677,0.0945,0.9503,0.0945,0.0497,0.0945,0.1063,,0.3048,0.6752
22,0.8783,0.056,0.9659,0.056,0.0341,0.056,0.0511,,0.3048,0.6752
23,0.8836,0.0533,0.9722,0.0533,0.0278,0.0533,0.0594,,0.3048,0.6752
24,0.8852,0.0485,0.9745,0.0485,0.0255,0.0485,0.0602,,0.3048,0.6752
25,0.8935,0.0208,0.9875,0.0208,0.0125,0.0208,0.0548,,0.3048,0.6752
26,0.9003,0.0046,0.9983,0.0046,0.0017,0.0046,0.0333,,0.3048,0.6752
27,0.9008,0.0046,0.9987,0.0046,0.0013,0.0046,0.05,,0.3048,0.6752
28,0.9008,0.0046,0.9987,0.0046,0.0013,0.0046,0.05,,0.3048,0.6752
29,0.9008,0.0046,0.9987,0.0046,0.0013,0.0046,0.05,,0.3048,0.6752
30,0.902,0.0046,1.0,0.0046,0.0,0.0046,0.1,,0.3048,0.6752
31,0.902,0.0046,1.0,0.0046,0.0,0.0046,0.1,,0.3048,0.6752
32,0.902,0.0046,1.0,0.0046,0.0,0.0046,0.1,,0.3048,0.6752
33,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
34,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
35,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
36,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
37,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
38,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
39,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
40,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
41,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
42,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
43,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
44,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
45,0.9016,0.0,1.0,0.0,0.0,0.0,0.0,,0.3048,0.6752
