,ROC-AUC,F-max
root:12M,0.7443,0.4412
root:3Y,0.5958,0.3188
root:4M,0.79,0.5079
root:5Y,0.8125,0.4935
root:B,0.7812,0.5079
root:M,0.7316,0.5319
root:12M:C,0.4326,0.1935
root:12M:V,0.7304,0.2623
root:3Y:C,0.7111,0.3226
root:3Y:V,0.6996,0.2174
root:4M:C,0.7164,0.4
root:4M:V,0.6429,0.2439
root:5Y:C,0.8173,0.4314
root:5Y:V,0.7986,0.2727
root:B:C,0.8807,0.6207
root:B:V,0.3229,0.0837
