t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,215,0,36,0.1434,1.0,0.0,1.0,1.0,1.0,0.1434,0.2509,0.8352,0.4854
0.01,10,204,0,36,0.184,1.0,0.0467,1.0,0.9533,1.0,0.15,0.2609,0.8352,0.4854
0.02,45,169,0,36,0.324,1.0,0.2103,1.0,0.7897,1.0,0.1756,0.2988,0.8352,0.4854
0.03,58,156,0,36,0.376,1.0,0.271,1.0,0.729,1.0,0.1875,0.3158,0.8352,0.4854
0.04,91,123,0,35,0.506,1.0,0.4252,1.0,0.5748,1.0,0.2215,0.3627,0.8352,0.4854
0.05,103,111,0,35,0.5542,1.0,0.4813,1.0,0.5187,1.0,0.2397,0.3867,0.8352,0.4854
0.06,114,100,1,34,0.5944,0.9714,0.5327,0.9714,0.4673,0.9714,0.2537,0.4024,0.8352,0.4854
0.07,122,92,3,32,0.6185,0.9143,0.5701,0.9143,0.4299,0.9143,0.2581,0.4025,0.8352,0.4854
0.08,134,80,3,32,0.6667,0.9143,0.6262,0.9143,0.3738,0.9143,0.2857,0.4354,0.8352,0.4854
0.09,140,74,4,31,0.6867,0.8857,0.6542,0.8857,0.3458,0.8857,0.2952,0.4429,0.8352,0.4854
0.1,142,72,4,31,0.6948,0.8857,0.6636,0.8857,0.3364,0.8857,0.301,0.4493,0.8352,0.4854
0.11,149,65,6,29,0.7149,0.8286,0.6963,0.8286,0.3037,0.8286,0.3085,0.4496,0.8352,0.4854
0.12,155,59,8,27,0.7309,0.7714,0.7243,0.7714,0.2757,0.7714,0.314,0.4463,0.8352,0.4854
0.13,157,57,8,27,0.739,0.7714,0.7336,0.7714,0.2664,0.7714,0.3214,0.4538,0.8352,0.4854
0.14,159,55,8,27,0.747,0.7714,0.743,0.7714,0.257,0.7714,0.3293,0.4615,0.8352,0.4854
0.15,161,53,8,27,0.755,0.7714,0.7523,0.7714,0.2477,0.7714,0.3375,0.4696,0.8352,0.4854
0.16,163,51,9,26,0.759,0.7429,0.7617,0.7429,0.2383,0.7429,0.3377,0.4643,0.8352,0.4854
0.17,164,50,10,25,0.759,0.7143,0.7664,0.7143,0.2336,0.7143,0.3333,0.4545,0.8352,0.4854
0.18,171,43,10,25,0.7871,0.7143,0.7991,0.7143,0.2009,0.7143,0.3676,0.4854,0.8352,0.4854
0.19,173,41,12,23,0.7871,0.6571,0.8084,0.6571,0.1916,0.6571,0.3594,0.4646,0.8352,0.4854
