,ROC-AUC,F-max
root:12M,0.6019,0.3605
root:3Y,0.6859,0.3636
root:4M,0.7091,0.4655
root:5Y,0.7081,0.3652
root:B,0.8213,0.5429
root:M,0.6828,0.3846
root:12M:C,0.5634,0.3697
root:12M:V,0.419,0.0444
root:3Y:C,0.7018,0.4029
root:3Y:V,0.72,0.0741
root:4M:C,0.6815,0.486
root:4M:V,0.8478,0.2
root:5Y:C,0.7042,0.3958
root:5Y:V,0.7593,0.1053
root:B:C,0.8001,0.5347
root:B:V,0.614,0.0278
