,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2811,0.4137,0.7015
1,0.2282,0.9722,0.0813,0.9722,0.9186,0.9722,0.1706,0.2898,0.4137,0.7015
2,0.3693,0.9221,0.2618,0.9221,0.7382,0.9221,0.1945,0.3203,0.4137,0.7015
3,0.4513,0.8865,0.367,0.8865,0.633,0.8865,0.2134,0.3426,0.4137,0.7015
4,0.4813,0.8616,0.4073,0.8616,0.5926,0.8616,0.2194,0.3484,0.4137,0.7015
5,0.5193,0.838,0.4576,0.838,0.5424,0.838,0.2293,0.3587,0.4137,0.7015
6,0.5833,0.7465,0.5527,0.7465,0.4473,0.7465,0.2465,0.3678,0.4137,0.7015
7,0.6047,0.7207,0.5837,0.7207,0.4163,0.7207,0.2549,0.373,0.4137,0.7015
8,0.6267,0.6722,0.6186,0.6722,0.3814,0.6722,0.2608,0.3703,0.4137,0.7015
9,0.6413,0.6602,0.6386,0.6602,0.3614,0.6602,0.2714,0.3772,0.4137,0.7015
10,0.6527,0.6523,0.6537,0.6523,0.3462,0.6523,0.2789,0.3823,0.4137,0.7015
11,0.6673,0.6315,0.6755,0.6315,0.3245,0.6315,0.2858,0.3845,0.4137,0.7015
12,0.6847,0.6038,0.7021,0.6038,0.2979,0.6038,0.2954,0.3861,0.4137,0.7015
13,0.69,0.5744,0.7147,0.5744,0.2853,0.5744,0.2919,0.376,0.4137,0.7015
14,0.7027,0.557,0.7331,0.557,0.2669,0.557,0.2998,0.3776,0.4137,0.7015
15,0.7113,0.557,0.7435,0.557,0.2565,0.557,0.3077,0.3839,0.4137,0.7015
16,0.7173,0.5225,0.7562,0.5225,0.2438,0.5225,0.3063,0.3734,0.4137,0.7015
17,0.7233,0.5173,0.764,0.5173,0.236,0.5173,0.3125,0.3764,0.4137,0.7015
18,0.7413,0.494,0.7887,0.494,0.2113,0.494,0.3243,0.3809,0.4137,0.7015
19,0.75,0.4888,0.7997,0.4888,0.2003,0.4888,0.3329,0.3856,0.4137,0.7015
20,0.7533,0.4631,0.8084,0.4631,0.1916,0.4631,0.3303,0.3768,0.4137,0.7015
21,0.762,0.4493,0.8211,0.4493,0.1789,0.4493,0.3396,0.3775,0.4137,0.7015
22,0.7627,0.4311,0.825,0.4311,0.175,0.4311,0.3349,0.3683,0.4137,0.7015
23,0.7707,0.4259,0.8354,0.4259,0.1646,0.4259,0.3427,0.3711,0.4137,0.7015
24,0.7707,0.4078,0.8385,0.4078,0.1615,0.4078,0.3362,0.3602,0.4137,0.7015
25,0.7727,0.3948,0.8433,0.3948,0.1567,0.3948,0.3326,0.3524,0.4137,0.7015
26,0.776,0.3905,0.8481,0.3905,0.1519,0.3905,0.3381,0.3529,0.4137,0.7015
