,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.0972,1.0,0.0,1.0,1.0,1.0,0.0972,0.1666,0.2641,0.6811
1,0.1922,0.9688,0.1134,0.9688,0.8866,0.9688,0.1076,0.1797,0.2641,0.6811
2,0.3488,0.9266,0.2958,0.9266,0.7042,0.9266,0.1241,0.1988,0.2641,0.6811
3,0.4514,0.8813,0.4166,0.8813,0.5834,0.8813,0.1451,0.2206,0.2641,0.6811
4,0.5198,0.8033,0.4996,0.8033,0.5004,0.8033,0.1594,0.2318,0.2641,0.6811
5,0.5675,0.775,0.5582,0.775,0.4418,0.775,0.1689,0.2367,0.2641,0.6811
6,0.6068,0.6733,0.6089,0.6733,0.3911,0.6733,0.1675,0.229,0.2641,0.6811
7,0.6431,0.6459,0.6546,0.6459,0.3454,0.6459,0.1734,0.2289,0.2641,0.6811
8,0.6719,0.6346,0.6887,0.6346,0.3113,0.6346,0.1803,0.2333,0.2641,0.6811
9,0.6953,0.5241,0.7195,0.5241,0.2805,0.5241,0.1851,,0.2641,0.6811
10,0.7069,0.4622,0.741,0.4622,0.259,0.4622,0.1727,,0.2641,0.6811
11,0.7236,0.4096,0.7629,0.4096,0.2371,0.4096,0.1772,,0.2641,0.6811
12,0.7442,0.4,0.7867,0.4,0.2133,0.4,0.184,,0.2641,0.6811
13,0.7564,0.366,0.8027,0.366,0.1973,0.366,0.2104,,0.2641,0.6811
14,0.7683,0.3372,0.818,0.3372,0.182,0.3372,0.2136,,0.2641,0.6811
15,0.7772,0.3021,0.8309,0.3021,0.1691,0.3021,0.21,,0.2641,0.6811
16,0.791,0.2747,0.8466,0.2747,0.1534,0.2747,0.241,,0.2641,0.6811
17,0.7981,0.2671,0.8554,0.2671,0.1446,0.2671,0.2416,,0.2641,0.6811
18,0.8056,0.2605,0.8646,0.2605,0.1354,0.2605,0.2412,,0.2641,0.6811
19,0.81,0.2477,0.8715,0.2477,0.1285,0.2477,0.2382,,0.2641,0.6811
20,0.814,0.2298,0.8794,0.2298,0.1206,0.2298,0.2657,,0.2641,0.6811
21,0.8167,0.2124,0.8853,0.2124,0.1147,0.2124,0.2552,,0.2641,0.6811
22,0.8198,0.1983,0.8916,0.1983,0.1084,0.1983,0.249,,0.2641,0.6811
23,0.8234,0.1959,0.8963,0.1959,0.1037,0.1959,0.2596,,0.2641,0.6811
24,0.8251,0.1887,0.8995,0.1887,0.1005,0.1887,0.2481,,0.2641,0.6811
25,0.835,0.1868,0.9108,0.1868,0.0892,0.1868,0.1639,,0.2641,0.6811
26,0.8393,0.1776,0.9168,0.1776,0.0832,0.1776,0.1691,,0.2641,0.6811
27,0.8424,0.1297,0.9212,0.1297,0.0788,0.1297,0.1442,,0.2641,0.6811
28,0.8484,0.127,0.9288,0.127,0.0713,0.127,0.1547,,0.2641,0.6811
29,0.8484,0.127,0.9288,0.127,0.0713,0.127,0.1547,,0.2641,0.6811
30,0.8568,0.1175,0.9394,0.1175,0.0606,0.1175,0.124,,0.2641,0.6811
31,0.8576,0.1175,0.9403,0.1175,0.0597,0.1175,0.124,,0.2641,0.6811
32,0.8584,0.1175,0.9411,0.1175,0.0589,0.1175,0.124,,0.2641,0.6811
